action_0,action_1,action_2,action_3,action_4,action_5,action_6
-0.563498,-0.813274,-0.799395,-0.265535,0.305024,-0.00953581,-0.294578
-0.544625,-0.825121,-0.807008,-0.35673,0.357984,-0.0695087,-0.261008
-0.50071,-0.833984,-0.813864,-0.446416,0.335836,-0.0529482,-0.239518
-0.471124,-0.838434,-0.818025,-0.397837,0.354168,0.0740412,-0.237468
-0.486462,-0.835829,-0.821992,-0.39105,0.364151,0.0526169,-0.242461
-0.497057,-0.830427,-0.827807,-0.375439,0.378661,-0.0228887,-0.292846
-0.497793,-0.825196,-0.829297,-0.391387,0.369874,-0.108089,-0.325222
-0.488944,-0.826152,-0.829364,-0.463104,0.38521,-0.111903,-0.339668
-0.48422,-0.830209,-0.831053,-0.493025,0.420303,-0.126218,-0.334992
-0.469298,-0.834486,-0.836345,-0.520902,0.405627,-0.140698,-0.325543
-0.434392,-0.837311,-0.841413,-0.493631,0.325595,-0.067625,-0.283183
-0.429828,-0.836999,-0.843328,-0.525492,0.298906,-0.0575869,-0.246207
-0.44466,-0.835697,-0.845778,-0.525447,0.282455,-0.0498074,-0.227653
-0.474098,-0.834063,-0.847065,-0.549011,0.302156,-0.0761723,-0.250843
-0.520653,-0.834242,-0.849641,-0.532054,0.368946,-0.105848,-0.305748
-0.548634,-0.832757,-0.849731,-0.513124,0.422987,-0.192063,-0.329696
-0.572586,-0.832597,-0.851413,-0.492839,0.449207,-0.228796,-0.35344
-0.575122,-0.832858,-0.852395,-0.491553,0.434166,-0.224057,-0.304529
-0.654307,-0.279881,-0.486521,-0.21435,0.505621,0.196419,0.156299
-0.638663,-0.253693,-0.484939,-0.297999,0.499292,0.211274,0.140766
-0.63242,-0.31684,-0.468341,-0.213306,0.485382,0.276423,0.118633
-0.622813,-0.248496,-0.385026,0.0621765,0.416986,0.318348,0.109769
-0.693105,0.0530709,-0.246659,0.198172,0.150233,0.111562,0.278802
-0.716112,-0.173031,-0.453497,0.104839,0.148924,-0.0693249,0.321805
-0.718441,-0.130881,-0.436816,0.229242,0.0705817,0.102385,0.320138
-0.714448,0.125769,-0.393942,0.346999,-0.043518,0.0622627,0.371391
-0.750613,-0.133093,-0.514517,0.304298,0.0580705,-0.298961,0.362253
-0.741661,-0.241742,-0.552841,0.268243,0.169931,-0.441178,0.280651
-0.73738,-0.180875,-0.531997,0.221049,0.229817,-0.482818,0.21482
-0.741723,-0.181912,-0.518907,0.12345,0.257038,-0.515212,0.17646
-0.734464,-0.150934,-0.487466,0.04123,0.317145,-0.518873,0.208671
-0.72487,-0.20136,-0.445486,0.132492,0.396493,-0.451216,0.290536
-0.696461,-0.193784,-0.330158,0.0337598,0.384775,-0.330444,0.388928
-0.759888,0.00397627,-0.502894,-0.125834,0.218106,-0.426203,0.339801
-0.76159,0.044727,-0.528365,-0.170441,0.214802,-0.467679,0.345697
-0.772342,-0.0523482,-0.55057,0.103739,0.208524,-0.552447,0.298085
-0.760643,-0.0184508,-0.556284,0.174695,0.114833,-0.550841,0.315092
-0.765916,-0.0113776,-0.570641,0.196761,0.112992,-0.52387,0.366033
-0.778328,0.0501268,-0.586458,0.041665,0.146965,-0.500323,0.399553
-0.786331,-0.0345891,-0.586047,-0.0898468,0.219175,-0.49519,0.381951
-0.781156,-0.202234,-0.577769,0.0349995,0.304755,-0.462669,0.425245
-0.77404,-0.273457,-0.579577,0.134715,0.288714,-0.419919,0.466911
-0.775427,-0.266749,-0.580562,0.211121,0.250533,-0.384422,0.495086
-0.77803,-0.270494,-0.576753,0.135815,0.281228,-0.426326,0.498208
-0.785873,-0.242428,-0.557072,0.101371,0.314706,-0.471076,0.486185
-0.789895,-0.283124,-0.561114,0.238223,0.335648,-0.474183,0.492226
-0.787099,-0.321145,-0.579237,0.349598,0.29488,-0.454121,0.496527
-0.786793,-0.349135,-0.57605,0.388253,0.291374,-0.420742,0.52908
-0.786347,-0.375594,-0.546363,0.331964,0.348913,-0.413935,0.535895
-0.789353,-0.350631,-0.499328,0.295824,0.385438,-0.444226,0.516848
-0.788672,-0.371065,-0.492987,0.351603,0.389723,-0.42702,0.511478
-0.787274,-0.40593,-0.498348,0.397574,0.396285,-0.398089,0.518018
-0.78316,-0.4022,-0.481784,0.412045,0.386411,-0.367789,0.534503
-0.788371,-0.416705,-0.445974,0.392692,0.424409,-0.357934,0.526383
-0.789573,-0.42381,-0.400931,0.37728,0.440029,-0.34256,0.511581
-0.788601,-0.408772,-0.385009,0.391626,0.439696,-0.33224,0.494881
-0.788455,-0.408766,-0.395563,0.413424,0.434975,-0.307344,0.487582
-0.786312,-0.389737,-0.378381,0.438737,0.431645,-0.29211,0.486213
-0.784478,-0.378592,-0.326336,0.44358,0.450852,-0.272365,0.460384
-0.779218,-0.368427,-0.232321,0.450202,0.467826,-0.222603,0.438274
-0.771101,-0.342061,-0.086663,0.465265,0.471757,-0.130429,0.400071
-0.753319,-0.29922,0.0565387,0.4592,0.483745,-0.0795515,0.380706
-0.735483,-0.218302,0.14111,0.482697,0.479012,0.0425101,0.35569
-0.711975,-0.187602,0.213746,0.490054,0.443454,0.110494,0.252313
-0.650868,-0.185151,0.349371,0.472166,0.385355,0.217626,0.239823
-0.617055,-0.204004,0.407309,0.438869,0.283558,0.37828,0.228188
-0.611071,-0.195599,0.441079,0.450888,0.103165,0.466274,0.249004
-0.593507,-0.0835847,0.479562,0.456118,-0.0548534,0.49348,0.221379
-0.59391,-0.0647108,0.47202,0.448946,-0.0713269,0.49035,0.159097
-0.580346,-0.0630178,0.415563,0.465457,-0.0551634,0.434302,0.259364
-0.554235,-0.108876,0.36985,0.467792,-0.0702791,0.343201,0.353002
-0.548162,-0.172899,0.346181,0.426727,-0.0698412,0.0644682,0.408152
-0.50552,-0.165388,0.382793,0.40497,-0.100743,-0.14301,0.416347
-0.347111,-0.153012,0.480299,0.359142,0.0622593,0.0370438,0.36548
-0.239159,-0.256319,0.477939,0.280295,0.189716,0.0894264,0.388321
-0.0767525,-0.243245,0.504774,0.222699,0.32773,0.305073,0.478619
0.0580652,-0.218624,0.522295,0.315294,0.422464,0.390737,0.558636
0.0910874,-0.252429,0.508927,0.216424,0.351385,0.381579,0.567512
-0.00754726,-0.310352,0.487595,0.0513221,0.15084,0.35346,0.524248
-0.0840422,-0.273953,0.526827,0.258812,0.0174332,0.381395,0.515372
-0.145239,-0.259753,0.55694,0.305376,0.0412324,0.394395,0.500751
-0.0575597,-0.288579,0.543795,0.373179,-0.0909985,0.372137,0.497257
3.03974e-05,-0.261782,0.501216,0.381869,-0.107589,0.27087,0.530705
-0.021418,-0.223982,0.460561,0.347428,-0.0557198,0.168409,0.515091
-0.0851434,-0.237591,0.454193,0.341756,-0.167638,0.0184622,0.494332
-0.120231,-0.226108,0.434138,0.367515,-0.199695,-0.0574807,0.471576
-0.0358185,-0.199492,0.426403,0.360299,-0.18795,0.0635151,0.481423
0.0671031,-0.185727,0.416954,0.33322,-0.126473,0.188658,0.500756
0.127514,-0.136658,0.419926,0.330303,-0.0378308,0.26125,0.52118
0.153028,-0.0883214,0.400905,0.339644,-0.0528248,0.266712,0.540957
0.0945735,-0.0819721,0.364316,0.345041,-0.194519,0.133694,0.532758
0.0397741,-0.116877,0.348421,0.350378,-0.278441,0.0775973,0.511016
-0.0741999,-0.163574,0.391575,0.340674,-0.223279,-0.0909616,0.493244
-0.0961942,-0.171958,0.397049,0.323913,-0.198514,-0.168102,0.480758
0.00183014,-0.143814,0.360061,0.332536,-0.236389,-0.0194799,0.491512
0.0812114,-0.0916052,0.354705,0.359522,-0.179606,0.0506663,0.51541
0.125841,-0.0691539,0.390005,0.351216,-0.0310174,0.187694,0.538287
0.149882,-0.0734936,0.386098,0.309399,-0.0366213,0.242179,0.553485
0.139294,-0.0723647,0.345442,0.304231,-0.165985,0.129277,0.535839
0.076927,-0.112921,0.30455,0.295876,-0.257036,-0.0105256,0.509534
0.000235204,-0.161325,0.323336,0.282944,-0.247698,-0.073301,0.489341
-0.0806669,-0.177118,0.331542,0.27159,-0.243391,-0.11599,0.470724
-0.0476645,-0.146201,0.299209,0.304748,-0.235683,-0.012096,0.489553
0.0550346,-0.13128,0.329926,0.290685,-0.156656,0.186184,0.531673
0.116222,-0.111977,0.367735,0.321245,-0.0850928,0.247443,0.550958
0.123366,-0.107381,0.349854,0.320925,-0.120528,0.305127,0.55514
0.0877082,-0.127683,0.296865,0.274275,-0.188032,0.32885,0.541851
0.0359292,-0.17403,0.304094,0.212096,-0.185336,0.319095,0.515628
-0.0567322,-0.222732,0.301945,0.123188,-0.1677,0.260287,0.492236
-0.0869496,-0.233428,0.300782,0.120906,-0.184625,0.218926,0.482898
-0.123938,-0.210003,0.268182,0.109536,-0.239068,0.254929,0.47675
-0.159086,-0.167374,0.239733,0.0868586,-0.298556,0.327721,0.481632
-0.146228,-0.132132,0.211378,0.0698606,-0.338875,0.365196,0.501701
-0.109301,-0.110985,0.206925,0.068152,-0.365786,0.392322,0.511519
-0.0952643,-0.0951903,0.151135,0.104026,-0.397612,0.411671,0.512409
-0.0882744,-0.0647199,0.0695173,0.160046,-0.436787,0.414483,0.498651
-0.0844769,-0.0447508,-0.00396828,0.183595,-0.451408,0.398235,0.480823
-0.0535509,-0.0353567,-0.0428904,0.217021,-0.457538,0.395297,0.464828
-0.00358851,-0.0278352,-0.0595482,0.260687,-0.475073,0.412811,0.446582
0.0460727,-0.0700974,-0.0420466,0.266319,-0.50437,0.431136,0.420002
0.098329,-0.115167,-0.0315212,0.278488,-0.519679,0.433125,0.408378
0.126925,-0.136956,-0.0231479,0.283488,-0.524402,0.437831,0.400323
0.153189,-0.164406,-0.0544825,0.280983,-0.522831,0.430141,0.395782
0.164449,-0.191408,-0.0879302,0.262467,-0.518219,0.409189,0.397948
0.169094,-0.209579,-0.114007,0.240566,-0.513146,0.384271,0.400821
0.173443,-0.219768,-0.117045,0.228065,-0.506969,0.371911,0.39838
0.189179,-0.231211,-0.100557,0.229791,-0.503187,0.371599,0.385832
0.198213,-0.232933,-0.0781053,0.225026,-0.499079,0.384877,0.366064
0.205102,-0.228914,-0.0777098,0.228495,-0.496418,0.39304,0.354804
0.203199,-0.207965,-0.100699,0.221117,-0.491733,0.399664,0.350889
0.199503,-0.188316,-0.142581,0.20999,-0.484471,0.401536,0.357194
0.203709,-0.194265,-0.175318,0.193777,-0.478269,0.388223,0.366204
0.209788,-0.19923,-0.186021,0.172886,-0.47403,0.373679,0.363604
0.220812,-0.207726,-0.173861,0.1605,-0.470218,0.361237,0.353355
0.208519,-0.205503,-0.178869,0.132193,-0.467273,0.35696,0.34058
0.181153,-0.176418,-0.196649,0.0939586,-0.462133,0.363492,0.326907
0.14342,-0.138499,-0.227101,0.0394689,-0.454767,0.368204,0.320283
0.0819756,-0.0960525,-0.27577,-0.0222256,-0.447912,0.374391,0.330952
0.00937366,-0.0653329,-0.326589,-0.0748956,-0.447991,0.376336,0.347956
-0.051103,-0.0283045,-0.37546,-0.165434,-0.460785,0.369712,0.35524
