set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6
1.3898838,-0.8554993,-1.316803,-1.034681,1.8736844,1.4789752,-0.78504723,1.4537311,-0.88935995,-1.2657096,-0.97736514,1.9078307,1.4235822,-0.83067226
1.3739731,-0.8418344,-1.3301191,-1.0478376,1.8803186,1.4784033,-0.7761397,1.44029,-0.88219595,-1.2764518,-0.99009573,1.9023013,1.4281732,-0.8289757
1.3608639,-0.8385869,-1.3466696,-1.0604719,1.8822525,1.481937,-0.7722052,1.4263415,-0.87460184,-1.2890728,-1.0030252,1.8972621,1.4326268,-0.8269234
1.3478392,-0.8352497,-1.3599644,-1.0750444,1.8746661,1.486398,-0.7698729,1.4121242,-0.8669486,-1.3026035,-1.016039,1.8928676,1.4369603,-0.8245449
1.3343104,-0.83874774,-1.3740067,-1.0898641,1.8746984,1.4889735,-0.7663104,1.3978724,-0.85997915,-1.3163383,-1.0291425,1.8891482,1.4411832,-0.8218746
1.3218042,-0.86297417,-1.3857788,-1.10245,1.8968937,1.4963089,-0.7647548,1.3838115,-0.8553958,-1.3297908,-1.0422784,1.8867373,1.4453222,-0.8189573
1.314029,-0.88273066,-1.390624,-1.1118242,1.9248846,1.4971864,-0.77448845,1.3703151,-0.85466814,-1.3423946,-1.0552026,1.8865962,1.4493562,-0.81591797
1.3308481,-0.89763063,-1.3697083,-1.1213585,1.9232495,1.4921982,-0.7985403,1.3588462,-0.8582158,-1.3525264,-1.067671,1.8886962,1.4532357,-0.81300735
1.3696457,-0.9109994,-1.3698964,-1.1374078,1.9275934,1.4893618,-0.8474627,1.3520274,-0.86549807,-1.3594768,-1.079878,1.8926024,1.4569455,-0.8107004
1.3995911,-0.93879104,-1.4228829,-1.1486821,1.9250621,1.4865103,-0.85598487,1.3517509,-0.8761573,-1.3659599,-1.0919935,1.8975348,1.4604455,-0.8092041
1.4149586,-0.95258176,-1.4370085,-1.1631079,1.9428835,1.4604627,-0.84980744,1.3579135,-0.8893113,-1.3740795,-1.1042138,1.9032474,1.4634954,-0.8084364
1.4235213,-0.96813273,-1.4452964,-1.1689388,1.9625726,1.42825,-0.8421558,1.368753,-0.9039111,-1.3843582,-1.1163121,1.9099326,1.4657747,-0.8082228
1.4347337,-0.9831992,-1.4552085,-1.1748465,1.9651922,1.4415178,-0.8489178,1.3820872,-0.91906977,-1.3963878,-1.1278726,1.9173522,1.4673349,-0.8085022
1.4506481,-0.9979293,-1.4673234,-1.18893,1.9663414,1.4587561,-0.8525859,1.3962722,-0.9341769,-1.4094551,-1.1389486,1.9250083,1.4684182,-0.8092518
1.463698,-1.0127444,-1.4803045,-1.1960437,1.9663159,1.4690158,-0.8519065,1.4102454,-0.9489398,-1.4229076,-1.1495553,1.9323783,1.4692403,-0.8104143
1.4774779,-1.0274166,-1.4931532,-1.2070276,1.9667845,1.4752269,-0.84571713,1.4235454,-0.96331644,-1.4362876,-1.1598302,1.9390693,1.4699365,-0.8118725
1.4881496,-1.0417969,-1.5061537,-1.2116245,1.9711437,1.4695941,-0.83844745,1.4360251,-0.9774003,-1.449372,-1.1696798,1.944982,1.4705182,-0.81348515
1.4981619,-1.0562966,-1.5173173,-1.2165548,1.9682722,1.4750067,-0.8340347,1.4477229,-0.9913459,-1.4620464,-1.1789132,1.9499888,1.4710256,-0.81513786
1.5082169,-1.0701877,-1.5298551,-1.2196211,1.9614999,1.4785597,-0.82619315,1.4587951,-1.0052688,-1.4743564,-1.1872998,1.953857,1.47151,-0.8167162
1.515227,-1.0848733,-1.542566,-1.2180979,1.957044,1.4775524,-0.8102249,1.4693027,-1.0192688,-1.4864452,-1.1944772,1.9564586,1.4719774,-0.8180542
1.5203645,-1.1014417,-1.5578356,-1.2134594,1.9435651,1.4790063,-0.8028088,1.4791636,-1.0334995,-1.4985893,-1.2000066,1.9575229,1.4724313,-0.8190479
1.5243678,-1.1164886,-1.5727932,-1.2127193,1.9394228,1.4792305,-0.79735315,1.4882255,-1.0480239,-1.5110538,-1.2037946,1.9570689,1.47287,-0.81965446
1.5192739,-1.1325846,-1.5868752,-1.2155546,1.9477277,1.4781358,-0.79917264,1.4959579,-1.062865,-1.5239627,-1.2062322,1.9557128,1.4732782,-0.81990814
1.484878,-1.1475362,-1.602552,-1.2335756,1.9396617,1.4638362,-0.8043831,1.5004516,-1.0779617,-1.537379,-1.2086221,1.9537406,1.4735337,-0.81990623
1.4440296,-1.1608659,-1.6149145,-1.2718517,1.9725751,1.4462126,-0.83226806,1.4993663,-1.0931346,-1.551152,-1.2133771,1.9523845,1.4734441,-0.81991863
1.4378858,-1.1692415,-1.6192579,-1.2699568,2.0101445,1.5098132,-0.87456566,1.4927325,-1.107949,-1.5646522,-1.2208692,1.9533324,1.4734422,-0.82035446
