joint_0_raw,joint_0_standard_sg,joint_0_realtime_sg,joint_1_raw,joint_1_standard_sg,joint_1_realtime_sg,joint_2_raw,joint_2_standard_sg,joint_2_realtime_sg,joint_3_raw,joint_3_standard_sg,joint_3_realtime_sg,joint_4_raw,joint_4_standard_sg,joint_4_realtime_sg,joint_5_raw,joint_5_standard_sg,joint_5_realtime_sg,joint_6_raw,joint_6_standard_sg,joint_6_realtime_sg
0.788096,0.7880741717171716,0.7900381515151504,0.00669183,0.00666650353535353,0.010100719307359292,1.33426,1.3342625252525255,1.344977186147184,1.22812,1.2281119191919188,1.235270303030301,1.61825,1.6182734343434337,1.6346978354978332,-0.895242,-0.895217686868687,-0.8791324718614706,1.58463,1.5846537373737377,1.6026244588744565
0.789325,0.7893532626262626,0.7901636969696959,0.008879,0.00891309686868686,0.010304197359307344,1.34122,1.3412144949494953,1.3455697835497817,1.23282,1.232828585858585,1.2356339393939375,1.62909,1.629051616161616,1.6355182251082225,-0.884624,-0.8846621868686867,-0.8783294978354966,1.59649,1.596451919191919,1.6035216017315994
0.790543,0.7905639011544012,0.7898873246753234,0.0109442,0.010968138643578635,0.00981501545454544,1.34751,1.3475092568542573,1.344020432900431,1.23688,1.2368918759018748,1.2345925541125522,1.63836,1.638346572871573,1.6331188311688287,-0.875547,-0.8755639834054831,-0.8806796709956697,1.60663,1.6066128715728714,1.600896493506491
0.791704,0.7916989458874459,0.7896967012987002,0.0128438,0.012834792900432894,0.009491360259740246,1.35318,1.3531842857142862,1.3430258008657987,1.24037,1.2403685064935053,1.233952510822509,1.6463,1.6463168398268397,1.6316529870129848,-0.867786,-0.867767647186147,-0.88211399134199,1.61529,1.6153128571428568,1.5992951948051926
0.792777,0.7927512554112542,0.7896112813852804,0.0145493,0.01451622367965366,0.009350459177489164,1.35827,1.3582770562770543,1.3425926839826823,1.24334,1.2433251948051929,1.233686839826838,1.65309,1.65312095238095,1.6310415151515127,-0.861148,-0.8611177489177477,-0.882712675324674,1.6227,1.6227281385281362,1.5986263203463182
0.793745,0.7936063636363624,0.7897001991341981,0.0160471,0.01600050086580084,0.009497966753246738,1.36283,1.3627851082251063,1.3430227272727253,1.24584,1.2458332034632016,1.2339614285714267,1.65891,1.6588996536796512,1.6316563636363612,-0.855469,-0.8554601515151503,-0.8821117012987001,1.62903,1.6290212121212098,1.5992969264069241
0.794576,0.794288238095237,0.7903211385281375,0.017319,0.017347527705627683,0.010525948354978342,1.36688,1.3667525541125523,1.3461122510822492,1.24794,1.247989783549782,1.2358960173160156,1.66389,1.663814978354976,1.6360653246753223,-0.850616,-0.8506257359307348,-0.8777983722943711,1.63443,1.634371991341989,1.6041131601731577
0.795273,0.7950644935064923,0.7913628484848473,0.0184228,0.018591175324675295,0.012233747705627688,1.37042,1.370303593073591,1.351286233766232,1.24972,1.2498487012986996,1.2390809090909072,1.66814,1.6680569264069238,1.6433569696969672,-0.846463,-0.8464303073593061,-0.870668108225107,1.63905,1.638977835497833,1.612072597402595
0.796026,0.7963059264069252,0.7927512554112541,0.0194872,0.019697636363636334,0.014516223679653661,1.37358,1.3736234632034612,1.3582770562770543,1.2513,1.2514410389610373,1.2433251948051929,1.67183,1.6718623809523785,1.65312095238095,-0.842895,-0.8425141471861459,-0.8611177489177477,1.64305,1.6430728138528115,1.6227281385281362
0.797771,0.7983335584415573,0.7936063636363625,0.0205014,0.020533591774891745,0.01600050086580084,1.37675,1.3769189177489156,1.3627851082251061,1.25262,1.252723073593072,1.2458332034632014,1.67532,1.6754752380952356,1.6588996536796512,-0.839687,-0.8380259567099555,-0.8554601515151503,1.64678,1.6469062770562748,1.6290212121212098
0.800997,0.8013042424242413,0.794288238095237,0.0209688,0.02086916926406923,0.017347527705627683,1.38024,1.3803863636363616,1.366752554112552,1.2534,1.2534744588744573,1.2479897835497817,1.67895,1.6791093939393913,1.663814978354976,-0.836759,-0.8352649047619036,-0.8506257359307346,1.65056,1.6506974458874435,1.634371991341989
0.805233,0.8051756103896093,0.7950644935064923,0.0206116,0.020402164242424213,0.018591175324675295,1.38407,1.384154025974024,1.370303593073591,1.25352,1.2533509956709938,1.2498487012986996,1.68282,1.6828991341991317,1.6680569264069238,-0.834466,-0.8360621948051936,-0.8464303073593061,1.65453,1.6546065367965346,1.6389778354978328
0.809903,0.8097063593073581,0.7963059264069253,0.0191623,0.01889107839826837,0.019697636363636337,1.38819,1.388232554112552,1.3736234632034612,1.25254,1.2520891341991325,1.251441038961037,1.68689,1.6868863636363614,1.6718623809523785,-0.835464,-0.8412388744588732,-0.8425141471861459,1.6587,1.6587150649350626,1.6430728138528112
0.814594,0.8144741125541114,0.7983335584415573,0.0165256,0.0163073672251082,0.020533591774891745,1.39252,1.3925080952380933,1.3769189177489158,1.24999,1.2496270562770544,1.252723073593072,1.69107,1.6910249350649327,1.6754752380952354,-0.850255,-0.8506206883116871,-0.8380259567099555,1.66302,1.6630163636363613,1.6469062770562746
0.819192,0.8191391774891763,0.8013042424242413,0.0128282,0.01282928058008656,0.02086916926406923,1.3969,1.3968434199134179,1.3803863636363616,1.24612,1.2461245887445869,1.2534744588744569,1.69527,1.6952499567099542,1.6791093939393917,-0.865427,-0.8631042640692629,-0.8352649047619035,1.66747,1.6674709090909066,1.6506974458874435
0.823635,0.8235658787878776,0.8051756103896092,0.00856446,0.00872296562337661,0.02040216424242421,1.4012,1.4011401298701278,1.384154025974024,1.24171,1.2418880952380933,1.2533509956709938,1.69951,1.6995222943722919,1.6828991341991317,-0.878652,-0.876797346320345,-0.8360621948051936,1.67203,1.6720403030303004,1.6546065367965344
0.827775,0.8277069870129858,0.8097063593073581,0.00418663,0.004327225861471855,0.018891078398268372,1.40533,1.4053142857142835,1.3882325541125522,1.23721,1.2373238095238077,1.2520891341991325,1.70379,1.7038081818181792,1.6868863636363611,-0.889635,-0.8893148268398254,-0.8412388744588734,1.67668,1.6766893073593048,1.6587150649350626
0.831625,0.8315892683982672,0.8144741125541114,-0.000237689,-0.00012693472294372305,0.016307367225108203,1.40933,1.4093294372294352,1.3925080952380933,1.23289,1.2328802164502146,1.2496270562770544,1.70812,1.7080987878787854,1.6910249350649327,-0.898451,-0.8987789177489165,-0.8506206883116871,1.6814,1.6813888311688285,1.663016363636361
0.835241,0.8352538658008646,0.8191391774891763,-0.00458755,-0.00454641872727272,0.01282928058008656,1.41319,1.413180909090907,1.396843419913418,1.22889,1.2288898701298683,1.2461245887445866,1.71244,1.7123932467532441,1.6952499567099544,-0.905326,-0.9070298051948038,-0.8631042640692628,1.68613,1.686106926406924,1.6674709090909068
0.838649,0.8387415151515139,0.8235658787878776,-0.00878427,-0.008910289354978342,0.00872296562337661,1.41685,1.4168698268398248,1.401140129870128,1.22538,1.225584718614717,1.2418880952380935,1.71669,1.716689913419911,1.6995222943722916,-0.910497,-0.9118214069264056,-0.8767973463203449,1.69083,1.6908205627705604,1.6720403030303006
0.842037,0.842086134199133,0.8277069870129858,-0.0131227,-0.013198134658008637,0.0043272258614718544,1.42039,1.4203945021645001,1.4053142857142835,1.22282,1.2231109523809507,1.2373238095238075,1.72098,1.7209979220779197,1.7038081818181794,-0.913593,-0.9115498268398257,-0.8893148268398255,1.69551,1.695511861471859,1.676689307359305
0.845306,0.8452786883116871,0.8315892683982672,-0.0174326,-0.017347819744588718,-0.00012693472294372397,1.42374,1.4237358008657988,1.409329437229435,1.22126,1.2214745021645004,1.2328802164502148,1.72531,1.725328268398266,1.7080987878787854,-0.911729,-0.9057346450216438,-0.8987789177489165,1.70016,1.7001687012986988,1.681388831168829
0.848342,0.848290398268397,0.8352538658008645,-0.0214134,-0.021314020476190444,-0.004546418727272721,1.42688,1.4268819047619028,1.4131809090909067,1.22056,1.2205392640692623,1.2288898701298683,1.7297,1.7297037662337638,1.7123932467532441,-0.8948,-0.8949488701298689,-0.9070298051948039,1.70479,1.7047864069264045,1.686106926406924
0.851125,0.8510872510822499,0.838741515151514,-0.0250723,-0.025040761601731566,-0.008910289354978342,1.42981,1.4298030735930713,1.4168698268398248,1.22021,1.220056969696968,1.2255847186147169,1.73414,1.7341352380952355,1.7166899134199107,-0.877982,-0.8806690735930724,-0.9118214069264056,1.70937,1.70935411255411,1.6908205627705604
0.853658,0.8536327056277044,0.842086134199133,-0.0284513,-0.028453646753246714,-0.01319813465800864,1.4325,1.4324711255411233,1.4203945021645001,1.21985,1.2197252813852797,1.2231109523809507,1.73861,1.7386087012986988,1.7209979220779195,-0.863182,-0.8651227056277044,-0.9115498268398255,1.71389,1.713863809523807,1.6955118614718587
0.85599,0.8559606017316006,0.8452786883116872,-0.0316231,-0.03158726190476186,-0.017347819744588718,1.43494,1.4348819047619026,1.4237358008657985,1.21933,1.2193064502164486,1.2214745021645004,1.74313,1.743121428571426,1.7253282683982656,-0.850612,-0.8509561601731589,-0.9057346450216437,1.71835,1.7183204329004305,1.7001687012986988
0.85816,0.858143515151514,0.8482903982683969,-0.0345651,-0.034534276623376575,-0.021314020476190444,1.43708,1.4370585714285693,1.4268819047619028,1.21863,1.2186369264069246,1.2205392640692625,1.74768,1.747674415584413,1.7297037662337635,-0.84011,-0.8402204199134187,-0.8949488701298689,1.72276,1.7227484415584389,1.7047864069264043
0.860233,0.8602626623376611,0.8510872510822498,-0.0373274,-0.037369638095238036,-0.025040761601731566,1.43905,1.439046580086578,1.4298030735930713,1.2177,1.2176492640692624,1.220056969696968,1.75227,1.7522725541125515,1.7341352380952355,-0.831434,-0.8314363376623364,-0.8806690735930723,1.72719,1.7271964069264043,1.7093541125541099
0.862344,0.862392805194804,0.8536327056277044,-0.0400767,-0.040147427272727215,-0.02845364675324671,1.44088,1.440905974025972,1.4324711255411235,1.2164,1.2163163203463185,1.2197252813852797,1.75692,1.7569257142857118,1.7386087012986988,-0.824228,-0.8241362207792196,-0.8651227056277044,1.73169,1.7317159740259715,1.713863809523807
0.864563,0.864587450216449,0.8559606017316005,-0.0428741,-0.04289760043290037,-0.031587261904761854,1.4427,1.4427177489177467,1.4348819047619026,1.21467,1.2146338961038943,1.2193064502164488,1.76164,1.761641125541123,1.7431214285714263,-0.81811,-0.8179727445887433,-0.850956160173159,1.73633,1.736359610389608,1.7183204329004302
0.866898,0.8668902077922065,0.8581435151515138,-0.0456862,-0.04565505887445881,-0.03453427662337657,1.44453,1.4445538961038942,1.4370585714285693,1.21257,1.212601948051946,1.2186369264069246,1.76642,1.7664276623376596,1.747674415584413,-0.812835,-0.812641857142856,-0.8402204199134187,1.74114,1.741161255411253,1.722748441558439
0.869334,0.8693268787878776,0.8602626623376611,-0.0484469,-0.048430010389610326,-0.03736963809523804,1.4464,1.4464383116883097,1.439046580086578,1.21021,1.2102414718614702,1.2176492640692624,1.77128,1.771284545454543,1.7522725541125515,-0.808278,-0.8077154805194793,-0.8314363376623365,1.74611,1.7461265367965342,1.7271964069264045
