action_0,action_1,action_2,action_3,action_4,action_5,action_6
0.786284,-0.61269,-0.646228,-0.596862,0.909411,-0.356281,0.851475
0.783504,-0.587776,-0.645651,-0.584115,0.907845,-0.212767,0.85045
0.77975,-0.56354,-0.64715,-0.573183,0.906211,-0.0822935,0.847826
0.774868,-0.54729,-0.651779,-0.565193,0.904594,0.0288317,0.842161
0.768995,-0.532295,-0.657409,-0.557801,0.902698,0.12673,0.835291
0.762666,-0.51306,-0.662599,-0.54885,0.900386,0.216139,0.828952
0.756262,-0.493006,-0.667544,-0.539611,0.898086,0.295362,0.822504
0.75052,-0.475455,-0.672201,-0.531309,0.896075,0.362721,0.817091
0.746042,-0.456295,-0.675656,-0.522907,0.894289,0.420404,0.813692
0.742769,-0.43015,-0.677237,-0.512722,0.892402,0.470178,0.812319
0.740294,-0.405613,-0.677944,-0.502746,0.890601,0.508296,0.811706
0.738072,-0.398392,-0.679745,-0.497525,0.889563,0.522087,0.810619
0.735775,-0.404046,-0.682593,-0.497241,0.889356,0.477549,0.808687
0.733603,-0.407157,-0.684433,-0.498203,0.889239,0.350779,0.808377
0.731479,-0.40104,-0.684263,-0.497773,0.888762,0.21014,0.810428
0.729223,-0.396266,-0.683332,-0.497248,0.888336,0.0709876,0.813408
0.726565,-0.402189,-0.683352,-0.499525,0.888629,-0.0580518,0.816028
0.723306,-0.411137,-0.683005,-0.503774,0.889472,-0.173896,0.818647
0.719133,-0.412342,-0.680265,-0.507106,0.890119,-0.276096,0.822499
0.714146,-0.408776,-0.676758,-0.50916,0.890457,-0.365186,0.826519
0.709122,-0.412928,-0.677514,-0.512315,0.890688,-0.441687,0.828418
0.703571,-0.424189,-0.682014,-0.51634,0.890898,-0.506743,0.828226
0.697084,-0.429605,-0.686872,-0.518467,0.890717,-0.561321,0.827651
0.689671,-0.414631,-0.690217,-0.515537,0.889448,-0.606115,0.828121
0.680773,-0.381813,-0.693,-0.508164,0.887304,-0.642166,0.828197
0.669735,-0.356445,-0.697071,-0.499885,0.884931,-0.671413,0.826019
0.656468,-0.34194,-0.702016,-0.491816,0.882617,-0.695463,0.821272
0.64142,-0.312524,-0.706203,-0.481063,0.879664,-0.713553,0.816761
0.623766,-0.25033,-0.709302,-0.465533,0.875512,-0.72463,0.812646
0.601755,-0.190231,-0.712311,-0.447958,0.870771,-0.730379,0.806363
0.573473,-0.16479,-0.7161,-0.432461,0.866388,-0.733288,0.794856
0.538841,-0.165994,-0.720354,-0.418374,0.862284,-0.733509,0.777659
0.49942,-0.159353,-0.724297,-0.401904,0.857478,-0.727075,0.762274
0.452557,-0.13532,-0.72779,-0.382096,0.851795,-0.711207,0.751182
0.393504,-0.116349,-0.731201,-0.361425,0.846147,-0.688296,0.74004
0.321091,-0.120834,-0.734845,-0.343438,0.84149,-0.665598,0.725496
0.245866,-0.132366,-0.73863,-0.326169,0.836765,-0.644036,0.712331
0.17162,-0.132112,-0.74224,-0.304916,0.830664,-0.611961,0.705546
0.0988332,-0.119572,-0.745661,-0.280369,0.823545,-0.572001,0.702876
0.0278884,-0.112607,-0.749025,-0.255907,0.816828,-0.532848,0.700336
-0.0392157,-0.117139,-0.752425,-0.233566,0.810576,-0.507257,0.698585
-0.101344,-0.122189,-0.7558,-0.209493,0.803472,-0.48594,0.698627
-0.158226,-0.123475,-0.759111,-0.180596,0.794532,-0.467151,0.700101
-0.210704,-0.12162,-0.76232,-0.147701,0.784408,-0.452938,0.702992
-0.259303,-0.118195,-0.765442,-0.112311,0.77412,-0.44614,0.706102
-0.304014,-0.11469,-0.768495,-0.0753484,0.76307,-0.448267,0.708854
-0.34496,-0.118109,-0.771563,-0.0388784,0.752524,-0.458154,0.709651
-0.382523,-0.132176,-0.774703,-0.00540847,0.74463,-0.475734,0.707723
-0.416966,-0.150917,-0.77786,0.0262644,0.738257,-0.497227,0.703813
-0.448664,-0.167697,-0.780941,0.058951,0.73142,-0.518689,0.698415
-0.477944,-0.184825,-0.783957,0.091546,0.725193,-0.539463,0.69038
-0.505271,-0.205818,-0.786922,0.12263,0.722436,-0.557849,0.678603
-0.530847,-0.228222,-0.789795,0.152602,0.721869,-0.573665,0.663347
-0.554883,-0.248985,-0.792496,0.183061,0.72133,-0.584844,0.645362
-0.577245,-0.270008,-0.795038,0.21316,0.720997,-0.591258,0.623353
-0.598237,-0.29314,-0.797455,0.241595,0.723108,-0.591825,0.595865
-0.617949,-0.31613,-0.799699,0.269158,0.725954,-0.584698,0.566261
-0.636342,-0.337023,-0.801719,0.296766,0.727443,-0.566249,0.535107
-0.653568,-0.356299,-0.803476,0.324264,0.728304,-0.520883,0.504935
-0.669575,-0.375851,-0.805045,0.350234,0.730017,-0.43894,0.475338
-0.684484,-0.395208,-0.806385,0.374993,0.731668,-0.328427,0.450256
-0.698348,-0.412916,-0.807461,0.399221,0.731649,-0.209144,0.430329
-0.71113,-0.429893,-0.808338,0.422307,0.730857,-0.093937,0.417724
