pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.73899,-1.03159,-1.84387,-1.10188,1.97698,1.17804,-0.857444,1.76993,-1.05641,-1.82234,-1.11322,1.94717,1.13216,-0.901614,1.78025,-1.06468,-1.81517,-1.117,1.93724,1.11687,-0.916337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531056,-0.454454,0.694265,0.574566,0.175193,0.15261,0.784788,0,0,0,2.99211,-0.47565,0.120223,-3.61945,0.0844207,5.32961,-3.79217,0.0101095,4.83162,-0.412533,0.330948,-0.287025,0.151178,0.397453,0.611799,0.58893,1
1.73848,-1.0199,-1.8376,-1.11818,1.98308,1.17279,-0.859741,1.74918,-1.03694,-1.83513,-1.10974,1.96857,1.16144,-0.872741,1.78025,-1.06468,-1.81517,-1.117,1.93724,1.11687,-0.916337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531056,-0.454454,0.694265,0.574566,0.175193,0.15261,0.784788,0,0,0,2.95623,-0.474255,0.176193,-3.6729,0.142872,5.73027,-3.73963,0.0530571,5.19333,-0.417674,0.44776,-0.22432,-0.0117667,0.458371,0.559268,0.565964,1
1.72657,-1.00753,-1.79355,-1.08444,1.98315,1.16769,-0.852857,1.73563,-1.01973,-1.82815,-1.10567,1.98157,1.17283,-0.857445,1.77866,-1.06341,-1.81627,-1.11642,1.93876,1.11921,-0.914077,-0.316663,0.254041,-0.220321,0.116045,0.30509,0.469623,0.452069,-0.105554,0.0846804,-0.0734405,0.0386817,0.101697,0.156541,0.15069,0.529825,-0.455357,0.694913,0.574755,0.174417,0.151874,0.784965,-0.229375,-0.177823,0.120949,2.92115,-0.47262,0.233103,-3.55382,0.165613,5.7641,-3.65174,0.101735,5.45805,-0.52089,0.558811,0.227217,0.319837,0.443831,0.484732,0.612202,1
1.70261,-0.997328,-1.8264,-1.05889,1.98915,1.17078,-0.84649,1.72356,-1.00807,-1.81277,-1.08649,1.98463,1.16974,-0.852986,1.773,-1.05844,-1.81995,-1.11498,1.94443,1.12738,-0.906111,-0.864137,0.779736,-0.550355,0.190156,0.875503,1.23537,1.21037,-0.3936,0.344592,-0.256892,0.102067,0.393531,0.568329,0.554147,0.528781,-0.456118,0.695462,0.574915,0.173757,0.151254,0.785114,-0.194535,-0.150024,0.10243,2.88616,-0.471299,0.290236,-3.43706,0.129703,5.61222,-3.57196,0.134664,5.62355,-0.703955,0.611084,-0.064496,0.560939,0.447201,0.434059,0.596217,1
1.69911,-0.979835,-1.77678,-1.07357,2.00218,1.17525,-0.833068,1.70772,-0.995505,-1.80578,-1.06894,1.99091,1.17112,-0.844726,1.76417,-1.0497,-1.82318,-1.11287,1.95327,1.13878,-0.894304,-1.0351,1.08704,-0.180265,0.261131,1.02646,1.23495,1.3369,-0.738633,0.706941,-0.316981,0.18911,0.735686,0.979978,0.999781,0.518619,-0.461648,0.702602,0.57582,0.166605,0.145502,0.787085,-0.75169,-0.349675,0.682274,2.85238,-0.469775,0.348171,-3.36954,0.152079,5.77907,-3.49539,0.147067,5.69938,-0.650565,0.698654,0.464071,0.393006,0.489089,0.364644,0.612362,1
1.69197,-0.966946,-1.77413,-1.07426,2.01004,1.181,-0.821963,1.6982,-0.980986,-1.78852,-1.07007,2.00089,1.17557,-0.833647,1.75423,-1.03942,-1.82223,-1.10788,1.96176,1.14796,-0.883171,-1.11236,1.13684,0.343039,0.776135,0.829452,0.789953,1.09485,-1.00386,1.00121,-0.129194,0.409141,0.910473,1.08675,1.21404,0.510535,-0.465254,0.710731,0.577675,0.16006,0.141083,0.787889,-0.854409,-0.423147,0.988368,2.81882,-0.467857,0.404676,-3.46085,0.197742,5.8269,-3.43604,0.156403,5.72033,-0.622599,0.724694,0.481027,0.336195,0.482756,0.330428,0.61208,1
1.67977,-0.954951,-1.77191,-1.05762,2.01923,1.19072,-0.81316,1.6907,-0.967169,-1.77424,-1.06993,2.01037,1.18199,-0.822538,1.7431,-1.0286,-1.81848,-1.09912,1.96921,1.15434,-0.873346,-1.28317,1.20045,0.460465,1.09467,0.787064,0.608633,1.0381,-1.14354,1.14144,0.207746,0.710645,0.880993,0.877844,1.15662,0.501268,-0.469781,0.720874,0.581482,0.152719,0.136486,0.787355,-0.992523,-0.542271,1.12924,2.78471,-0.466597,0.459688,-3.36218,0.124237,5.42297,-3.40214,0.154879,5.6761,-0.633267,0.736508,0.465691,0.415053,0.500177,0.36376,0.601867,1
1.66351,-0.943087,-1.77796,-1.04086,2.02968,1.20139,-0.809692,1.67876,-0.954983,-1.77398,-1.05759,2.01954,1.19096,-0.814494,1.73161,-1.01699,-1.81223,-1.09074,1.97689,1.15978,-0.863533,-1.21189,1.30593,0.859902,0.749762,0.870356,0.572552,1.08399,-1.20247,1.21441,0.554469,0.873522,0.828957,0.657046,1.07231,0.491658,-0.473329,0.732128,0.584815,0.144732,0.131692,0.787211,-0.92994,-0.254723,1.22906,2.75084,-0.465394,0.513648,-3.20136,0.113713,5.10091,-3.38294,0.149886,5.58342,-0.680987,0.739042,0.342716,0.498824,0.527894,0.416051,0.538404,1
1.65162,-0.930383,-1.77352,-1.03242,2.03862,1.20869,-0.803037,1.66461,-0.942877,-1.77534,-1.04294,2.0293,1.20055,-0.808895,1.72099,-1.00466,-1.80332,-1.08486,1.98515,1.16524,-0.853356,-1.09846,1.35995,1.05476,0.541613,0.914796,0.60746,1.11778,-1.19784,1.28878,0.791708,0.795348,0.857405,0.596215,1.07996,0.482601,-0.474541,0.743974,0.586168,0.136046,0.126785,0.788558,-0.860299,-0.0456439,1.26229,2.71728,-0.463807,0.566452,-3.43819,0.16258,5.40877,-3.38171,0.143992,5.45536,-0.69365,0.7428,0.297981,0.524373,0.534733,0.434502,0.503189,1
1.64746,-0.923365,-1.76636,-1.0332,2.04127,1.20627,-0.796148,1.65356,-0.931804,-1.77284,-1.03473,2.03705,1.20626,-0.802978,1.71634,-0.998907,-1.79885,-1.08257,1.98902,1.16782,-0.848625,-0.929872,1.15123,0.892874,0.458487,0.774395,0.514229,0.946224,-1.08008,1.27237,0.935844,0.583287,0.853182,0.564747,1.04933,0.478569,-0.474638,0.749449,0.58641,0.131923,0.124565,0.789432,-0.936004,-0.170613,1.21057,2.68366,-0.462297,0.61887,-3.43268,0.154211,5.35265,-3.3774,0.139112,5.35152,-0.688783,0.755428,0.324894,0.493661,0.522489,0.384507,0.524766,1
