ball_x,ball_y,ball_z
0.031142,-0.0686123,0.272
0.0304444,-0.0686464,0.272149
0.0297621,-0.0686805,0.272306
0.0290952,-0.0687147,0.27247
0.0284443,-0.06875,0.272638
0.0278101,-0.0687868,0.272807
0.0271927,-0.0688254,0.272976
0.0265925,-0.0688661,0.273143
0.0260097,-0.0689091,0.273307
0.0254446,-0.0689543,0.273467
0.0248972,-0.0690023,0.273622
0.0243679,-0.0690524,0.273771
0.0238568,-0.0691055,0.273913
0.0233645,-0.0691597,0.274048
0.022891,-0.0692166,0.274175
0.0224371,-0.0692744,0.274297
0.0220031,-0.0693323,0.274412
0.0215887,-0.0693899,0.27452
0.0211937,-0.0694469,0.274619
0.0208179,-0.0695037,0.274707
0.0204607,-0.0695604,0.274784
0.0201235,-0.0696166,0.274848
0.0198075,-0.0696719,0.274898
0.019513,-0.0697263,0.274935
0.0192397,-0.0697795,0.274959
0.0189868,-0.0698312,0.274971
0.0187536,-0.0698814,0.274973
0.0185391,-0.0699301,0.274966
0.0183423,-0.0699772,0.274951
0.0181624,-0.0700227,0.274928
0.0179987,-0.0700668,0.274898
0.0178508,-0.0701092,0.274862
0.0177181,-0.0701501,0.274822
0.0176004,-0.0701892,0.274776
0.0174977,-0.0702266,0.274725
0.0174096,-0.070262,0.274669
0.0173357,-0.0702958,0.274609
0.0172753,-0.070328,0.274543
0.0172281,-0.0703586,0.274474
0.0171937,-0.0703876,0.2744
0.0171714,-0.070415,0.274322
0.0171609,-0.0704407,0.274242
0.0171618,-0.0704647,0.274159
0.017174,-0.0704868,0.274074
0.0171973,-0.0705069,0.273987
0.0172312,-0.070525,0.273898
0.0172757,-0.070541,0.273808
0.0173305,-0.0705547,0.273717
0.0173954,-0.0705663,0.273625
0.0174701,-0.0705755,0.273532
0.0175544,-0.0705823,0.273439
0.0176479,-0.0705867,0.273345
0.0177504,-0.0705887,0.273252
0.0178617,-0.0705882,0.273159
0.0179818,-0.070585,0.273068
0.0181104,-0.070579,0.272978
0.0182475,-0.0705701,0.27289
0.018393,-0.0705581,0.272804
0.0185468,-0.0705428,0.272721
0.0187086,-0.0705243,0.272641
0.0188779,-0.0705026,0.272563
0.0190545,-0.070478,0.272488
0.0192381,-0.0704507,0.272414
0.0194284,-0.0704207,0.272342
0.0196246,-0.0703886,0.272271
0.0198265,-0.0703542,0.272201
0.0200337,-0.0703176,0.272134
0.0202461,-0.0702788,0.272068
0.0204632,-0.0702379,0.272005
0.0206848,-0.0701951,0.271944
0.0209107,-0.0701502,0.271886
0.0211407,-0.0701034,0.271831
0.0213746,-0.0700547,0.271778
0.0216122,-0.0700042,0.271727
0.0218532,-0.0699518,0.271679
0.0220976,-0.0698977,0.271633
0.0223451,-0.0698417,0.271589
0.0225955,-0.069784,0.271549
0.0228487,-0.0697246,0.271511
0.0231045,-0.0696633,0.271477
0.0233629,-0.0696003,0.271446
0.0236236,-0.0695356,0.271417
0.0238866,-0.0694691,0.271392
0.0241516,-0.0694009,0.27137
0.0244185,-0.069331,0.271351
0.0246872,-0.0692595,0.271335
0.0249575,-0.0691862,0.271323
0.0252295,-0.0691112,0.271315
0.0255026,-0.0690345,0.271309
0.0257767,-0.0689562,0.271308
0.0260519,-0.0688764,0.271309
0.0263276,-0.0687951,0.271314
0.0266038,-0.0687123,0.271322
0.0268804,-0.068628,0.271334
0.0271571,-0.0685422,0.27135
0.0274339,-0.0684549,0.27137
0.0277107,-0.0683659,0.271394
0.0279875,-0.0682753,0.271422
0.0282643,-0.0681828,0.271455
0.0285408,-0.0680889,0.271491
0.0288169,-0.0679939,0.271532
0.0290922,-0.067898,0.271576
0.0293666,-0.0678007,0.271626
0.0296408,-0.0677013,0.27168
0.0299151,-0.0676,0.271738
0.0301898,-0.0674973,0.271799
0.030463,-0.0673949,0.271864
0.0307337,-0.0672937,0.271932
0.0310016,-0.0671936,0.272003
0.0312674,-0.0670933,0.272077
0.0315315,-0.0669928,0.272155
0.0317942,-0.0668918,0.272234
0.0320555,-0.0667907,0.272315
0.0323151,-0.0666896,0.272397
0.0325729,-0.0665891,0.272481
0.0328286,-0.0664893,0.272566
0.0330818,-0.0663908,0.272651
0.0333321,-0.066294,0.272738
