         67443 function calls (67411 primitive calls) in 6.575 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      507    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:1315(_replace_dtype_fields)
     7274    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      345    0.001    0.000    0.001    0.000 /usr/lib/python3.8/threading.py:341(notify)
      338    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(shape)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/zipfile.py:1330(_RealGetContents)
      169    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:3205(__getitem__)
       10    0.000    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      169    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:3751(fill_value)
      170    0.001    0.000    0.001    0.000 {arcLength}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/encodings/__init__.py:70(search_function)
      514    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3212    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      169    0.000    0.000    0.001    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
     2068    0.001    0.000    0.001    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:986(_find_and_load)
      169    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:4508(count)
      169    0.001    0.000    0.001    0.000 /usr/lib/python3.8/threading.py:1071(is_alive)
     1183    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      507    0.001    0.000    0.001    0.000 {method 'view' of 'numpy.generic' objects}
     1521    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:3405(dtype)
     1724    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      169    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:644(get_masked_subclass)
