X,Y,Z,timestamp,vx,vy,vz,speed
2.9855085887616957,-0.4952797744369403,1.2958730717802858,1741372786.4542727,-4.782183240884553,0.035562100320799275,4.5672374577778125,6.6128813090894845
2.961665768020291,-0.49510010357941087,1.3186851587959485,1741372786.4592729,-4.692413204288681,0.0281140978961221,4.445347150355274,6.46379481183113
2.938191893142156,-0.4949767920723238,1.340883665236984,1741372786.464273,-4.603305712585961,0.020809228798644604,4.324943653268921,6.31632758107754
2.93324441701112,-0.49493666950346366,1.3456385445535726,1741372786.469273,-4.517915740957449,0.013710030085100484,4.208913641292825,6.174682554364787
2.892214729175741,-0.4948426228007973,1.38381181739601,1741372786.4742732,-4.43888539958101,0.006868023525387215,4.0997310830147535,6.042478441285326
2.87813631018145,-0.4948429955113714,1.3967294320229808,1741372786.4792733,-4.3682605116843956,0.0003223483282392327,3.999283124975557,5.922496561042811
2.854841343687285,-0.4948591491166153,1.4180052040878577,1741372786.4842734,-4.307423388497992,-0.005901046899518892,3.908797839331505,5.816582469018786
2.8371325576300377,-0.4948951208632938,1.434036403257497,1741372786.4892735,-4.257128045499107,-0.011789618017845449,3.82886227931715,5.725684635469
2.8153890881848787,-0.4949706090758479,1.453514964467164,1741372786.4942737,-4.217618970046786,-0.017343824233281537,3.759515575109817,5.650006012760592
2.793021790721694,-0.49507677154658286,1.473355384047225,1741372786.4992738,-4.188808722701197,-0.022576086757489868,3.7003974230925927,5.589236914275617
2.7730858254384576,-0.49518429105559625,1.490950118182905,1741372786.504274,-4.170476871863284,-0.027509073645611455,3.650921346726983,5.542820650884003
2.7473477574409872,-0.4953758054697272,1.5132529174201312,1741372786.509274,-4.16244209336227,-0.032173271715909287,3.610432735109159,5.510189092468133
2.7279391232457773,-0.4955347079456463,1.5299463418730637,1741372786.5142741,-4.164660375412783,-0.03660382225184295,3.578312572634811,5.490906732937025
2.703047741352304,-0.4957636988364515,1.551134636663902,1741372786.5192742,-4.177217017690707,-0.04083666602665867,3.554000398377528,5.484681255811011
2.6828069232057126,-0.495965111532647,1.5681562054088294,1741372786.5242743,-4.200204870754118,-0.044904183204908486,3.5369308708218212,5.491230948243602
2.6622720546131786,-0.4961843611177748,1.5852629196356345,1741372786.5292745,-4.23350980128382,-0.04883069656342718,3.5264018075591004,5.510036241518665
2.645212967348835,-0.4963900793904782,1.599308589183447,1741372786.5342746,-4.276548562939124,-0.052628349389292596,3.5214108550932597,5.540033552669583
2.623563589535928,-0.4966708919674217,1.6169370168761972,1741372786.5392747,-4.328015234093515,-0.05629387076572857,3.5205057485218036,5.579323040639106
2.605076357859508,-0.49692125363193823,1.6318319802712968,1741372786.5442748,-4.385684780726942,-0.05980655406155011,3.521685190740466,5.624951057786134
2.575967418927436,-0.49735326569778293,1.6550043981955413,1741372786.549275,-4.446300063694321,-0.06312747526399388,3.522367221261713,5.672798266813327
2.554940003365792,-0.49764387185448455,1.671575169064187,1741372786.554275,-4.505545550288538,-0.06619975318447131,3.5194211534088873,5.717573643435515
2.532722805473584,-0.49795988097145344,1.6889114846759776,1741372786.5592752,-4.55810179431349,-0.06894966999855763,3.5092499782102053,5.752902001067382
2.5086476974216154,-0.4983439437814545,1.707504429532338,1741372786.5642753,-4.59778275327203,-0.07128871176217498,3.487915582614871,5.771502701910316
2.4900111422019364,-0.49864302174202885,1.7217502360235437,1741372786.5692754,-4.617772661156559,-0.07311685618913728,3.4513110557867095,5.765476426851426
2.4659586768559465,-0.4990362758561865,1.739887676195318,1741372786.5742755,-4.61098648843718,-0.07432754315556137,3.3953918570639585,5.72672741129155
2.445875564379087,-0.4993681547848902,1.7547978358004523,1741372786.5792756,-4.570571327835002,-0.07481467772023669,3.3164755470126264,5.647541903586241
2.4266286303913405,-0.49968404615799306,1.7689155983980327,1741372786.5842757,-4.4905464808328155,-0.07448178764173517,3.2116090206128405,5.521321194650068
2.4027090501878123,-0.5000758389771177,1.7860833179226032,1741372786.5892758,-4.366551494426035,-0.07325311648364836,3.078985567137287,5.343434297826495
2.3840397566353237,-0.5003759503017079,1.7992754863605582,1741372786.594276,-4.1966384450190315,-0.07108598906882144,2.918374660776146,5.11211679411904
2.357138492724718,-0.5008047453229839,1.8178407269342012,1741372786.599276,-3.982014043784099,-0.06798329469783254,2.7315095048391282,4.829306549420762
2.341133623213031,-0.5010820739389802,1.8286508399338715,1741372786.6042762,-3.7276170730506255,-0.06400450793776988,2.522366478065596,4.501284069018962
2.326386317803969,-0.5013296243685971,1.8384393313212408,1741372786.6092763,-3.4424115090011456,-0.05927338799082801,2.2972692614042187,4.138980114861647
2.3021183759991763,-0.5017311304796959,1.8542133933099456,1741372786.6142764,-3.1392811676033494,-0.05398034589228953,2.0647551109048927,3.7578203516160236
2.273525731320986,-0.5022157207646073,1.8722116077670077,1741372786.6192765,-2.834424858264677,-0.048377457307167714,1.8351487285557215,3.376992080453243
2.243900295177463,-0.5027149014733429,1.8903645498907273,1741372786.6242766,-2.5461875582484614,-0.04276452316983606,1.6198099772538728,3.0180596827485697
2.2292907419924584,-0.5029622144358868,1.899338361033185,1741372786.6292768,-2.293352355946778,-0.03746593457881421,1.4300738507941102,2.702957628877226
2.226377165262439,-0.5030132904700702,1.901166948084711,1741372786.6342769,-2.0930659354366954,-0.03280048862960888,1.275988795945114,2.4515603785175863
2.230911400667762,-0.5029387429003396,1.8984285379469963,1741372786.639277,-1.9587311560066918,-0.029048974237833033,1.1650546812316211,2.279215653393793
