torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,to_target_0,to_target_1,to_target_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
-3.6662781,-6.693789,-2.6048388,-49.454834,6.8623757,0.8798326,0.4687815,0.9148282,-0.78965765,0.8436748,-0.9606052,0.9769634,-0.99152964,0.9871095,0.86366737,-0.07344979,1.379399,1.1176322,1.7189593,-0.9700352,1.6782002,0.7982732,-0.018875822,1.3210576,1.1840949,1.6512864,-0.89938414,1.608002,0.11885773,-0.5777622,0.6090529,-0.6843632,0.67561936,-0.18706729,0.22253321,3.4083908,-0.46061373,1.2428553,-3.5620396,0,4.5942364,3.0842617,-0.12877893,0.3118695,0.32412902,-0.3318348,0.9309858,0.7996009,-0.041286394,0.5881087,-0.11428853,-0.09464195,0.14744763,0.36883745,1,0,0,0,0,0,0,0,0.53880733,-7.4180956,8.260011,-9.19783,8.612751,-2.3577585,4.240729
-3.3730555,-5.046128,-2.2304163,-47.893753,6.483513,0.89251876,0.4244184,0.91026753,-0.78324276,0.8395532,-0.95954955,0.97621536,-0.99138296,0.98689723,0.86381245,-0.075269304,1.3815054,1.1150074,1.7215738,-0.9707637,1.6790586,0.7987448,-0.021264002,1.3235915,1.1812606,1.6540787,-0.9001566,1.6089394,0.11847816,-0.60344887,0.6406343,-0.7167947,0.705627,-0.19505192,0.23847756,3.3941424,-0.46061373,1.2611134,-3.5620396,0,4.554638,3.070414,-0.12938762,0.32859993,0.32372832,-0.3312261,0.9325135,0.8014537,-0.041946698,0.5859714,-0.11202633,-0.10322294,0.15353757,0.38634437,1,0,0,0,0,0,0,0,0.537347,-6.406337,7.2547193,-8.113115,7.4984426,-1.9743068,3.998473
-3.13334,-3.5922494,-1.907159,-46.505386,6.1465945,0.9059801,0.38439915,0.90541345,-0.7767474,0.8353242,-0.95848334,0.9754344,-0.9912336,0.986684,0.8639346,-0.07718982,1.3837348,1.1122497,1.72431,-0.97152543,1.6799806,0.79921496,-0.023744091,1.3262408,1.178308,1.6569798,-0.90095675,1.6099389,0.118066475,-0.6255291,0.66862124,-0.74537116,0.731707,-0.20161904,0.25349733,3.379894,-0.46061373,1.2792132,-3.5620396,0,4.5150394,3.0565994,-0.13001847,0.34510833,0.3232946,-0.33059525,0.93410486,0.80337036,-0.04262673,0.5837396,-0.109667994,-0.11142233,0.15899834,0.40178332,1,0,0,0,0,0,0,0,0.53218746,-5.504727,6.347775,-7.153064,6.520122,-1.6304998,3.7686524
-2.939394,-2.3099437,-1.6278235,-45.269363,5.8468027,0.91987914,0.34829578,0.90027726,-0.7702104,0.8310175,-0.95741844,0.97462374,-0.99108297,0.98646927,0.8640349,-0.07919924,1.3860741,1.1093739,1.7271527,-0.9723147,1.6809647,0.7996832,-0.026302889,1.3289921,1.1752515,1.6599743,-0.9017793,1.6109946,0.11762336,-0.64439845,0.6933524,-0.7705356,0.7543419,-0.20692153,0.26763952,3.3656456,-0.46061373,1.2971545,-3.5620396,0,4.475441,3.0428162,-0.1306696,0.3614022,0.32282948,-0.32994413,0.93575233,0.80534005,-0.04332432,0.5814233,-0.10722539,-0.11929474,0.16388251,0.41538826,1,0,0,0,0,0,0,0,0.5242638,-4.702031,5.5285687,-6.3037868,5.662292,-1.3249366,3.5505888
-2.7868295,-1.1793218,-1.3881738,-44.16794,5.5797033,0.93432325,0.3156063,0.89476377,-0.763582,0.8265973,-0.95634407,0.97377783,-0.9909306,0.98625135,0.8641062,-0.0812808,1.3885071,1.1063948,1.7300863,-0.9731263,1.6820047,0.80014956,-0.028928563,1.3318341,1.1721034,1.6630509,-0.9026195,1.6121047,0.11713759,-0.66040206,0.7151247,-0.7926807,0.7739583,-0.21110494,0.2809491,3.3513973,-0.46061373,1.3149375,-3.5620396,0,4.4358425,3.0290632,-0.1313386,0.37748796,0.3223341,-0.32927513,0.9374495,0.8073537,-0.04403637,0.5790312,-0.104707204,-0.12689023,0.16823572,0.42736617,1,0,0,0,0,0,0,0,0.5109235,-3.9856133,4.7864017,-5.5526195,4.911005,-1.0555534,3.343731
-2.6685333,-0.1771183,-1.1813068,-43.185356,5.341116,0.94900626,0.28588173,0.88874924,-0.75678235,0.82201093,-0.9552459,0.97288865,-0.9907761,0.9860285,0.8641395,-0.083416894,1.3910189,1.1033257,1.7330989,-0.9739554,1.6830987,0.800614,-0.03161053,1.3347542,1.1688743,1.666198,-0.9034735,1.6132653,0.11659521,-0.6738378,0.7341955,-0.81215364,0.79093033,-0.21430625,0.29347062,3.337149,-0.46061373,1.3325621,-3.5620396,0,4.396244,3.01534,-0.13202405,0.39337122,0.3218089,-0.32858968,0.93919086,0.8094029,-0.044760846,0.57657105,-0.1021235,-0.13424978,0.17209913,0.43789846,1,0,0,0,0,0,0,0,0.49253923,-3.3437011,4.110336,-4.888266,4.252791,-0.82014495,3.1482575
-2.5783103,0.7178564,-1.0011864,-42.307602,5.127286,0.9636969,0.25869954,0.882082,-0.749716,0.81719285,-0.9541063,0.97194785,-0.99061865,0.9857992,0.8641239,-0.08559008,1.3935921,1.1001786,1.7361783,-0.974798,1.6842428,0.80107605,-0.03433932,1.337744,1.1655746,1.6694052,-0.904338,1.6144745,0.11597537,-0.68495905,0.75078917,-0.82926023,0.80558753,-0.21665244,0.30524638,3.3229005,-0.46061373,1.3500283,-3.5620396,0,4.3566456,3.001645,-0.13272333,0.4090585,0.32125548,-0.3278904,0.94096977,0.81147987,-0.045495167,0.57405066,-0.099480316,-0.14140525,0.17551124,0.44714513,1,0,0,0,0,0,0,0,0.46751273,-2.7651486,3.492087,-4.300236,3.6768613,-0.61601394,2.963334
-2.5189269,1.5077939,-0.8505118,-41.52227,4.935652,0.97914684,0.23375325,0.87457937,-0.74241346,0.81203836,-0.9529354,0.9709559,-0.9904585,0.98556495,0.86404574,-0.0877931,1.3962108,1.0969632,1.7393141,-0.975651,1.6854352,0.80153525,-0.037106317,1.3407929,1.1622119,1.6726658,-0.9052092,1.6157286,0.11525276,-0.6939946,0.76509786,-0.8442728,0.8182201,-0.21826078,0.31631696,3.3086522,-0.46061373,1.367336,-3.5620396,0,4.317047,2.9879782,-0.13343501,0.42455292,0.3206739,-0.32717872,0.9427831,0.81357855,-0.046237744,0.57147545,-0.09678728,-0.14839226,0.17850016,0.45524657,1,0,0,0,0,0,0,0,0.43466684,-2.243757,2.9236374,-3.780186,3.1733212,-0.44076142,2.7885287
-2.4913952,2.1989484,-0.73023,-40.818855,4.7636995,0.99589014,0.2107198,0.8659777,-0.73485035,0.8064527,-0.9517421,0.9699035,-0.990295,0.9853261,0.86388564,-0.090015545,1.3988575,1.0936865,1.7424989,-0.9765104,1.6866721,0.8019916,-0.0399038,1.3438923,1.1587958,1.6759713,-0.90608513,1.6170247,0.114394814,-0.70114505,0.77728313,-0.85743403,0.829081,-0.21923849,0.3267234,3.2944038,-0.46061373,1.3844855,-3.5620396,0,4.2774487,2.9743388,-0.13415766,0.43986052,0.32006508,-0.32645607,0.94462496,0.8156925,-0.04698654,0.56885207,-0.09404978,-0.15524343,0.18108715,0.4623281,1,0,0,0,0,0,0,0,0.39283556,-1.7725228,2.396643,-3.3207235,2.732694,-0.29177216,2.6242433
-2.4942355,2.8027601,-0.6387193,-40.188232,4.6089916,1.0141314,0.18924506,0.8559223,-0.7269394,0.8003505,-0.95052135,0.96877867,-0.9901277,0.9850815,0.863618,-0.09224343,1.4015176,1.0903583,1.7457234,-0.9773743,1.6879505,0.8024436,-0.04272474,1.3470337,1.1553321,1.6793149,-0.906963,1.6183608,0.11335735,-0.706579,0.7874824,-0.8689586,0.83839196,-0.21968316,0.33650374,3.2801554,-0.46061373,1.4014765,-3.5620396,0,4.23785,2.9607265,-0.13488841,0.45498395,0.31942892,-0.32572532,0.94649255,0.81781644,-0.047739584,0.5661853,-0.091275394,-0.16199026,0.18328793,0.46849856,1,0,0,0,0,0,0,0,0.33951548,-1.3434886,1.9047855,-2.914816,2.34732,-0.16666202,2.4694054
