X,Y,Z
2.984588146209717,-0.4955268818885088,1.2961132526397705
2.968004941940308,-0.4952664263546467,1.312187910079956
2.9512178897857666,-0.4951929021626711,1.328092336654663
2.934575080871582,-0.4949730746448041,1.3440420627593994
2.9179136753082275,-0.4947464633733035,1.3599053621292114
2.901009559631348,-0.4949129652231932,1.3761017322540283
2.884312868118286,-0.4947347417473794,1.3917758464813232
2.867424488067627,-0.4941409286111594,1.4080580472946167
2.85036301612854,-0.4943192228674889,1.4236547946929932
2.832203149795532,-0.4949123673141003,1.4391086101531982
2.81435775756836,-0.4951898753643036,1.454507827758789
2.796678066253662,-0.4950904045253993,1.4695826768875122
2.7795352935791016,-0.4952703081071377,1.48475980758667
2.7624168395996094,-0.4953892901539803,1.499815583229065
2.745292901992798,-0.4954324886202813,1.5147035121917725
2.72822380065918,-0.4955480061471463,1.529341220855713
2.71122670173645,-0.4957157149910927,1.5439696311950684
2.694136381149292,-0.4957764949649573,1.55875825881958
2.675842761993408,-0.4958854727447033,1.57332444190979
2.658165693283081,-0.4966448526829482,1.587911605834961
2.6409709453582764,-0.4968245811760426,1.602025032043457
2.62410044670105,-0.4968485720455647,1.6161936521530151
2.6068785190582275,-0.4970259554684163,1.6300103664398191
2.5894055366516118,-0.4974519312381745,1.6441216468811035
2.572178363800049,-0.4976068027317524,1.6577942371368408
2.555245876312256,-0.4976878818124533,1.6714602708816528
2.538290977478028,-0.4977805707603694,1.6850013732910156
2.52131724357605,-0.4978893399238587,1.698394775390625
2.5043249130249023,-0.4980044662952424,1.7116531133651731
2.487323522567749,-0.4981496240943671,1.7247533798217771
2.470290422439575,-0.4982834234833718,1.7377288341522217
2.45175838470459,-0.4986370597034693,1.7505173683166504
2.433771848678589,-0.4992197901010514,1.7628341913223269
2.415670394897461,-0.5003960747271776,1.7753229141235352
2.3985471725463867,-0.5007234849035739,1.7872984409332275
2.3815293312072754,-0.5008872337639331,1.7995197772979736
2.3644909858703613,-0.5010665785521268,1.8115829229354856
2.3474457263946533,-0.5012911446392536,1.8234784603118896
2.3303773403167725,-0.5014861896634101,1.8352177143096924
2.313297748565674,-0.501687578856945,1.8468072414398196
2.2962193489074707,-0.5018950626254081,1.858229398727417
2.27911639213562,-0.5021198075264692,1.869478464126587
2.262009859085083,-0.5023582521826028,1.8805592060089111
2.244906187057495,-0.5025883354246616,1.8914697170257568
2.22507643699646,-0.5028781648725271,1.9026257991790767
2.2052931785583496,-0.503179071471095,1.9135708808898928
2.185570240020752,-0.5034805685281754,1.9242916107177732
2.1659157276153564,-0.5037825163453817,1.934797763824463
2.1463069915771484,-0.504082828760147,1.9450805187225344
2.126729249954224,-0.5043708961457014,1.9551610946655276
2.1071982383728027,-0.5046693701297044,1.9650015830993648
2.087740421295166,-0.5049753226339817,1.9746172428131104
2.0679373741149902,-0.5052831340581178,1.9840301275253296
2.047830104827881,-0.5055871270596981,1.9932236671447756
2.0274252891540527,-0.5059038773179054,2.0021822452545166
