torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6,
-8.241153,-14.699493,-7.6767364,-24.692041,3.9048333,1.7695138,0.4434599,-0.7686739,-0.27116436,0.7918464,0.5062501,0.8187222,-0.73972404,-0.8076038,0.6983365,-0.015416846,1.4185109,1.253587,1.6984675,-0.98831016,1.4865761,0.75682205,0.005199246,1.3582846,1.2150954,1.6362027,-0.92993855,1.5501974,-0.615308,-0.22022219,0.6385932,0.4109032,0.66119766,-0.1655608,-0.20339695,-0.6016731,-0.21541119,0.6242752,0.40168762,0.6465912,-0.16126633,-0.19741058,3.295244,-0.49050736,1.3509221,-3.452576,0.20458178,3.9637308,0.3364331,-0.32456827,0.9141804,0.78115726,-0.06970494,0.6066901,-0.129852,-0.064661846,-0.1018055,-0.11577858,1,0,0,0,0,0,-3.995244,0.33050737,-0.7909221,-10.920835,-3.8489401,11.505651,7.3254824,11.6642475,-3.4270346,-4.716611,-11.329651,-3.8646162,11.901855,7.5149536,11.978149,-3.566742,-4.6920776
-8.137964,-14.3464575,-7.6192417,-25.897879,3.9511778,1.7579274,0.39857262,-0.7874433,-0.2888956,0.8118144,0.5162728,0.83757883,-0.75766504,-0.82620347,0.69382656,-0.017912403,1.4232297,1.2563972,1.703209,-0.99055177,1.484101,0.7535595,0.004025582,1.361674,1.2172717,1.6397027,-0.93082833,1.5490959,-0.6646608,-0.23957674,0.69076645,0.44342422,0.7131382,-0.18194006,-0.22600257,-0.65250397,-0.23473278,0.6778717,0.43525696,0.69999695,-0.17795563,-0.22029877,3.277981,-0.48948455,1.370554,-3.452576,0.20458178,3.9139466,0.33608726,-0.32510495,0.91356856,0.78206336,-0.06891807,0.60595316,-0.12824905,-0.07097214,-0.109021224,-0.12438331,1,0,0,0,0,0,-3.977981,0.32948455,-0.81055397,-9.7358465,-3.8752317,10.312104,6.5306306,10.395813,-3.183663,-4.539424,-10.166168,-3.8643181,10.719299,6.713867,10.681152,-3.33786,-4.5776367
-8.21877,-14.380188,-7.734912,-27.037014,4.0105014,1.7641215,0.358855,-0.80228615,-0.30903256,0.8280519,0.5239324,0.85256374,-0.77190965,-0.84090024,0.68937665,-0.020697022,1.4279181,1.2591863,1.7079078,-0.9925811,1.4818238,0.75007147,0.0027528869,1.3653036,1.2195967,1.6434401,-0.93179536,1.5478847,-0.7083119,-0.25953197,0.7372428,0.47213042,0.7589757,-0.19704789,-0.2476099,-0.69761276,-0.25453907,0.7259369,0.4650116,0.7474899,-0.19340515,-0.24223328,3.260718,-0.48846173,1.3899369,-3.452576,0.20458178,3.8641624,0.3357076,-0.3256774,0.91291803,0.7830333,-0.068089314,0.6051521,-0.12654491,-0.077872984,-0.11602697,-0.13170283,1,0,0,0,0,0,-3.9607182,0.32846174,-0.8299369,-8.572769,-3.9942682,9.14793,5.7693243,9.178567,-2.923584,-4.3403983,-9.021759,-3.9612591,9.613037,5.9509277,9.498596,-3.0899048,-4.386902
-8.412224,-14.658827,-7.951572,-28.079172,4.075124,1.7796139,0.32483274,-0.81391585,-0.33091432,0.84131455,0.52998626,0.86448747,-0.78310645,-0.85250264,0.6849582,-0.023720257,1.4326088,1.2619957,1.7125992,-0.9944439,1.4796845,0.7463855,0.0013771065,1.369145,1.2220525,1.6473855,-0.93283296,1.5465696,-0.7465175,-0.28036788,0.77832234,0.4973367,0.7991254,-0.21083315,-0.2681177,-0.73719025,-0.27515605,0.76828,0.49114227,0.7890701,-0.20751953,-0.26302338,3.2434552,-0.48743892,1.409071,-3.452576,0.20458178,3.8143783,0.33529094,-0.3262844,0.91223526,0.7840621,-0.067222506,0.6042883,-0.12475293,-0.08544483,-0.122955784,-0.13782658,1,0,0,0,0,0,-3.9434552,0.32743892,-0.84907097,-7.459688,-4.169464,8.042574,5.0706387,8.043933,-2.6537359,-4.1208506,-7.915497,-4.123396,8.468628,5.2261353,8.31604,-2.822876,-4.15802
-8.658956,-15.054414,-8.209889,-29.007929,4.1372557,1.7979536,0.29569855,-0.82291275,-0.35385394,0.8522035,0.5351413,0.8740024,-0.79175234,-0.8616618,0.6805525,-0.02693121,1.4373213,1.2648637,1.7173057,-0.99617314,1.4776367,0.7425279,-0.00010654254,1.3731734,1.2246226,1.651512,-0.93393445,1.5451562,-0.77960926,-0.30218628,0.81434214,0.51944196,0.8340311,-0.22327183,-0.28748128,-0.7715225,-0.2967298,0.80566406,0.51403046,0.82530975,-0.22029877,-0.28266907,3.2261922,-0.4864161,1.4279561,-3.452576,0.20458178,3.764594,0.33483434,-0.32692623,0.91152567,0.78514653,-0.06632186,0.6033622,-0.12288363,-0.093698,-0.1298915,-0.14288609,1,0,0,0,0,0,-3.9261923,0.3264161,-0.8679561,-6.4116716,-4.36517,7.003331,4.4513702,6.9978237,-2.3797214,-3.8922668,-6.866455,-4.3147507,7.4768066,4.5776367,7.247925,-2.5558472,-3.9291382
-8.870616,-15.398486,-8.422406,-29.821468,4.190345,1.8089967,0.2709984,-0.82976115,-0.3769861,0.8611946,0.5398666,0.88161206,-0.7983488,-0.8688791,0.676147,-0.03026543,1.4420689,1.2678119,1.722041,-0.9978024,1.4756459,0.738522,-0.0017026623,1.3773638,1.2272929,1.6557959,-0.93509316,1.5436513,-0.80796504,-0.3249046,0.8457367,0.5388906,0.8642214,-0.2343688,-0.3056916,-0.8011818,-0.31922397,0.838089,0.5340576,0.856781,-0.23174286,-0.3009796,3.2089293,-0.4853933,1.4465923,-3.452576,0.20458178,3.71481,0.33433393,-0.32760406,0.9107944,0.7862832,-0.06538773,0.6023743,-0.120947465,-0.102546126,-0.13682887,-0.1470312,1,0,0,0,0,0,-3.9089293,0.3253933,-0.8865923,-5.438447,-4.5444846,6.0501337,3.9205074,6.057358,-2.1076202,-3.6617994,-5.9318542,-4.4988337,6.4849854,4.005432,6.2942505,-2.2888184,-3.6621094
-9.014724,-15.609644,-8.557163,-30.531242,4.2311764,1.8098559,0.24961399,-0.8348752,-0.3996176,0.86866236,0.5443622,0.8877057,-0.8033142,-0.87454677,0.67173195,-0.033672072,1.4468567,1.2708418,1.7268124,-0.9993583,1.4736876,0.7343907,-0.003414947,1.3816954,1.2300519,1.6602143,-0.9363024,1.5420587,-0.83198476,-0.34830776,0.8728863,0.55610096,0.8902092,-0.24415007,-0.32275587,-0.8262634,-0.34245694,0.86631775,0.55179596,0.8836746,-0.2418518,-0.31852722,3.1916664,-0.48437047,1.4649796,-3.452576,0.20458178,3.6650257,0.3337874,-0.3283155,0.9100451,0.78746897,-0.06442245,0.60132563,-0.118953444,-0.111873254,-0.14373273,-0.1504068,1,0,0,0,0,0,-3.8916664,0.32437047,-0.90497965,-4.544735,-4.6808243,5.172324,3.4727573,5.2193403,-1.8419683,-3.432572,-5.016327,-4.646593,5.645752,3.5476685,5.378723,-2.0217896,-3.5095215
-9.036855,-15.592377,-8.561096,-31.150782,4.2568216,1.7943538,0.23081556,-0.83858365,-0.42124486,0.87490785,0.5487467,0.8925905,-0.8070021,-0.8789783,0.667304,-0.037114535,1.451688,1.2739516,1.7316215,-1.0008626,1.4717405,0.730154,-0.005245726,1.386149,1.23289,1.664749,-0.937556,1.540385,-0.8520364,-0.3721046,0.89621335,0.5714522,0.9124803,-0.25266173,-0.33870903,-0.84733963,-0.3661558,0.8907318,0.56762695,0.9069443,-0.25072098,-0.33473969,3.1744034,-0.48334765,1.483118,-3.452576,0.20458178,3.6152415,0.33319348,-0.32906127,0.9092811,0.7887012,-0.063427344,0.6002166,-0.116907865,-0.12150802,-0.15050916,-0.15314971,1,0,0,0,0,0,-3.8744035,0.32334766,-0.92311805,-3.724146,-4.758954,4.3783426,3.1002998,4.4787645,-1.5868664,-3.2104135,-4.2152405,-4.7397733,4.8828125,3.1661987,4.6539307,-1.7738342,-3.2424927
-8.954748,-15.361683,-8.451641,-31.70452,4.270366,1.7651551,0.21413358,-0.84115684,-0.4415518,0.8801693,0.55301833,0.8965061,-0.80971926,-0.8824159,0.6628614,-0.04056987,1.4565626,1.2771314,1.7364695,-1.0023335,1.4697918,0.72583,-0.0071957777,1.3907057,1.2357987,1.6693829,-0.9388473,1.538636,-0.8685159,-0.39597762,0.9160664,0.5852372,0.9315327,-0.25997058,-0.35355482,-0.86479187,-0.39001033,0.9113312,0.58174133,0.9267807,-0.258255,-0.34980774,3.1571405,-0.48232484,1.5010076,-3.452576,0.20458178,3.5654573,0.33255076,-0.32984114,0.9085054,0.78997636,-0.062403046,0.5990489,-0.11481923,-0.13130692,-0.1570759,-0.1553601,1,0,0,0,0,0,-3.8571405,0.32232484,-0.94100755,-2.9829502,-4.7735333,3.654027,2.7858257,3.8378954,-1.346612,-2.9888988,-3.490448,-4.7709045,4.119873,2.822876,3.9672852,-1.5068054,-3.0136108
-8.7631235,-14.909502,-8.22424,-32.207287,4.27151,1.7218881,0.19851819,-0.84281594,-0.4603538,0.88463366,0.55711585,0.8996427,-0.81173736,-0.88504577,0.65840477,-0.04402408,1.4614764,1.280368,1.7413543,-1.0037863,1.4678323,0.7214355,-0.009264325,1.395351,1.2387713,1.6741008,-0.940171,1.5368164,-0.88176906,-0.41961685,0.93276286,0.59768116,0.947761,-0.26615658,-0.36734337,-0.87890625,-0.4137094,0.9290695,0.59452057,0.94356537,-0.26474,-0.36392212,3.1398776,-0.48130202,1.5186481,-3.452576,0.20458178,3.5156732,0.33185917,-0.33065224,0.90771997,0.79129213,-0.06135063,0.5978238,-0.112692386,-0.14112657,-0.16334203,-0.15712106,1,0,0,0,0,0,-3.8398776,0.32130203,-0.95864815,-2.3106575,-4.7260284,2.9926538,2.5158644,3.2760143,-1.1238337,-2.7772546,-2.822876,-4.7398148,3.5476685,2.5558472,3.3569336,-1.2969971,-2.822876
