X,Y,Z,vx,vy,vz
2.97431,-0.526154,0.638527,-2.79832,-0.123918,1.31252
2.91812,-0.528982,0.664797,-2.77655,-0.158346,1.30272
2.86031,-0.530915,0.690185,-2.92902,-0.155079,1.25095
2.80368,-0.533064,0.713445,-2.86343,-0.0876784,1.15148
2.74692,-0.535284,0.736094,-2.85201,-0.103247,1.12988
2.69091,-0.537387,0.757764,-2.82714,-0.109571,1.09012
2.63421,-0.539693,0.778663,-2.85378,-0.104368,1.03388
2.57806,-0.542271,0.79846,-2.80457,-0.126922,0.979018
2.52174,-0.545096,0.817272,-2.82452,-0.144058,0.926179
2.46582,-0.547789,0.835033,-2.7941,-0.134712,0.870585
2.40981,-0.550175,0.851733,-2.80173,-0.118625,0.821024
2.35377,-0.55244,0.867337,-2.7905,-0.102884,0.777048
2.29796,-0.554644,0.882275,-2.78935,-0.110364,0.731218
2.24209,-0.55699,0.896259,-2.79305,-0.112754,0.687712
2.1864,-0.559224,0.909429,-2.78206,-0.107956,0.643635
2.13083,-0.561567,0.921328,-2.77383,-0.111079,0.579804
2.07591,-0.564358,0.932494,-2.78325,-0.127691,0.532961
2.02042,-0.566994,0.942622,-2.79639,-0.123233,0.502372
1.96463,-0.568905,0.951039,-2.80499,-0.0854611,0.443953
1.90933,-0.571533,0.95882,-2.76927,-0.115663,0.381887
1.85402,-0.573702,0.965859,-2.7669,-0.101596,0.338662
1.79883,-0.575937,0.971963,-2.75614,-0.107962,0.291276
1.74372,-0.578243,0.976972,-2.76204,-0.119883,0.23576
1.68852,-0.580634,0.980761,-2.75954,-0.119066,0.1746
1.63349,-0.583153,0.983373,-2.74715,-0.121886,0.118804
1.57858,-0.585663,0.985128,-2.7509,-0.129318,0.0804424
1.52355,-0.587849,0.986041,-2.77278,-0.0922024,0.0303805
1.46879,-0.589925,0.986135,-2.74241,-0.10522,-0.00751615
1.41409,-0.592184,0.985271,-2.73565,-0.11602,-0.0619173
1.35947,-0.594235,0.983287,-2.73221,-0.103557,-0.114232
1.30502,-0.596392,0.980117,-2.72044,-0.105947,-0.168878
1.25082,-0.59876,0.975862,-2.71295,-0.117016,-0.226325
1.1967,-0.601062,0.970803,-2.70321,-0.114882,-0.262713
1.14252,-0.603411,0.964909,-2.70842,-0.11999,-0.307
1.08863,-0.605635,0.958011,-2.70075,-0.103062,-0.358468
1.03452,-0.607577,0.950072,-2.71534,-0.0980794,-0.409371
0.980482,-0.609595,0.941068,-2.69196,-0.1082,-0.459915
0.926915,-0.611871,0.931224,-2.68492,-0.116515,-0.498706
0.873342,-0.614142,0.920571,-2.67894,-0.115937,-0.543731
0.819583,-0.616131,0.908953,-2.68353,-0.0945866,-0.593495
0.76597,-0.618096,0.89627,-2.68575,-0.0968158,-0.64531
0.712361,-0.620394,0.882607,-2.67708,-0.11633,-0.69893
0.659115,-0.62272,0.867892,-2.66295,-0.113302,-0.750226
0.605777,-0.625021,0.852091,-2.66445,-0.113577,-0.800645
0.553293,-0.626816,0.835464,-2.58885,-0.0711441,-0.845897
0.500456,-0.628419,0.818227,-2.64848,-0.0927925,-0.875938
0.447467,-0.63051,0.800211,-2.63711,-0.109559,-0.888795
0.393833,-0.63267,0.78029,-2.69592,-0.0916123,-1.01796
0.340713,-0.634724,0.759929,-2.64403,-0.115758,-1.04635
0.287622,-0.636748,0.737988,-2.63115,-0.102198,-1.11578
0.234899,-0.638989,0.715219,-2.64563,-0.107151,-1.14174
0.181617,-0.640674,0.691966,-2.67812,-0.0784934,-1.17134
0.129306,-0.642674,0.667848,-2.62004,-0.0944555,-1.21439
0.0766531,-0.644601,0.642735,-2.63612,-0.095427,-1.26147
0.024219,-0.646242,0.616588,-2.62029,-0.0870109,-1.3187
-0.0282419,-0.648264,0.589249,-2.6206,-0.0982821,-1.38178
-0.080342,-0.650216,0.561038,-2.60938,-0.136679,-1.41487
-0.131708,-0.652363,0.531617,-2.60299,-0.0790894,-1.49357
-0.183883,-0.654268,0.501464,-2.61639,-0.0877738,-1.52381
-0.236326,-0.65593,0.470479,-2.60665,-0.0783563,-1.55593
-0.288238,-0.657641,0.438366,-2.59284,-0.0897527,-1.61314
-0.340161,-0.6595,0.404971,-2.59051,-0.0900149,-1.67514
-0.391304,-0.661446,0.370387,-2.58822,-0.0637352,-1.75653
-0.442084,-0.663049,0.335843,-2.52637,-0.074333,-1.7429
-0.493426,-0.664858,0.300732,-2.58942,-0.117224,-1.8149
-0.541725,-0.666187,0.264945,-2.55866,-0.114644,-1.82293
-0.592652,-0.668282,0.227786,-2.54792,-0.106937,-1.86671
-0.642035,-0.670594,0.191201,-2.54,-0.0854194,-1.93592
-0.69252,-0.67228,0.151568,-2.52811,-0.0724792,-2.00416
-0.743069,-0.673972,0.111097,-2.56778,-0.137293,-2.0042
