X,Y,Z,vx,vy,vz
2.99392,-0.531035,0.62481,-2.40908,-0.0224829,1.21362
2.94752,-0.53214,0.648538,-2.37405,-0.0524402,1.23039
2.90058,-0.532575,0.67162,-2.35083,0.0113368,1.14223
2.85281,-0.533814,0.693538,-2.36859,-0.0508487,1.07408
2.8059,-0.534869,0.714357,-2.38853,-0.027889,1.04308
2.75841,-0.535937,0.734419,-2.39105,-0.0678778,0.996786
2.71167,-0.536252,0.753241,-2.37882,-0.0107229,0.936025
2.66483,-0.537341,0.771182,-2.3458,-0.0436187,0.886482
2.61751,-0.538128,0.788271,-2.33941,-0.0459015,0.837648
2.57061,-0.539008,0.804297,-2.33989,-0.0439465,0.787497
2.52366,-0.53998,0.81941,-2.34864,-0.0523567,0.742638
2.477,-0.540895,0.833381,-2.32835,-0.0449777,0.688112
2.43029,-0.541717,0.846264,-2.337,-0.0417233,0.636202
2.38375,-0.542391,0.857966,-2.31664,-0.0286102,0.566685
2.33692,-0.54317,0.868888,-2.32143,-0.0184119,0.52067
2.29078,-0.544021,0.878887,-2.31175,-0.0480771,0.481558
2.2446,-0.544809,0.887916,-2.30672,-0.0419676,0.44418
2.1984,-0.545459,0.895968,-2.30758,-0.0330567,0.387675
2.15211,-0.546152,0.903138,-2.30665,-0.031364,0.34647
2.10694,-0.547195,0.909364,-2.21157,-0.0502408,0.30182
2.06032,-0.54803,0.914575,-2.33154,-0.0414789,0.250918
2.01412,-0.548665,0.918834,-2.30832,-0.0348985,0.198478
1.96787,-0.549116,0.921786,-2.24792,-0.0384271,0.125581
1.92183,-0.549782,0.924042,-2.30255,-0.027895,0.0956237
1.87607,-0.550452,0.925199,-2.28072,-0.0331044,0.0439882
1.83038,-0.551159,0.925412,-2.2851,-0.0387311,0.000756979
1.78446,-0.552011,0.924692,-2.30125,-0.0486553,-0.0478804
1.73874,-0.55279,0.923058,-2.28034,-0.0410795,-0.0916004
1.69299,-0.553543,0.920371,-2.28513,-0.0385761,-0.147086
1.62466,-0.554855,0.914364,-2.27489,-0.0456154,-0.223637
1.57931,-0.555535,0.909237,-2.28056,-0.0325084,-0.270218
1.55665,-0.555891,0.906297,-2.26629,-0.0356913,-0.29394
1.48868,-0.556914,0.89603,-2.26704,-0.0424385,-0.367016
1.44337,-0.557724,0.887907,-2.26402,-0.0393748,-0.418341
1.39808,-0.55831,0.878834,-2.26303,-0.0285089,-0.464207
1.35273,-0.558993,0.868747,-2.26771,-0.034982,-0.517327
1.33022,-0.559264,0.863418,-2.2507,-0.0270844,-0.532883
1.26257,-0.560091,0.845928,-2.25965,-0.0301838,-0.612175
1.21747,-0.560462,0.83316,-2.24895,-0.0125825,-0.646156
1.17252,-0.560771,0.819305,-2.23757,-0.0176728,-0.702929
1.12768,-0.561238,0.804432,-2.23943,-0.0215888,-0.75525
1.08278,-0.56171,0.788494,-2.24704,-0.0251949,-0.808978
1.03809,-0.562156,0.771523,-2.22814,-0.0214696,-0.861555
0.993531,-0.562798,0.753611,-2.22483,-0.0331461,-0.910062
0.949223,-0.563116,0.734913,-2.19839,-0.00706315,-0.937027
0.904555,-0.563808,0.715074,-2.22411,-0.0190675,-1.00685
0.860225,-0.56417,0.694275,-2.21763,-0.0176013,-1.05194
0.816067,-0.564792,0.672704,-2.20166,-0.0384808,-1.08889
0.77186,-0.56498,0.650107,-2.22479,0.0184,-1.14055
0.727331,-0.565505,0.626063,-2.26869,-0.0435054,-1.23617
0.683165,-0.566166,0.601507,-2.17261,-0.00224113,-1.19624
0.639093,-0.566726,0.576116,-2.24633,-0.0265598,-1.28697
0.595361,-0.567061,0.549922,-2.12995,0.0130355,-1.30605
0.551619,-0.567515,0.522634,-2.18763,-0.0222623,-1.3791
0.508014,-0.567851,0.494463,-2.18056,-0.0107586,-1.4252
0.465122,-0.568157,0.465713,-2.17346,-0.0251353,-1.44775
0.421937,-0.569008,0.435399,-2.17751,-0.0440478,-1.54237
0.377859,-0.568655,0.404352,-2.2273,0.0441432,-1.54286
0.33395,-0.56909,0.372286,-2.15243,-0.0183761,-1.66301
0.290003,-0.569767,0.339389,-2.21483,-0.0572562,-1.65004
0.246598,-0.569617,0.305646,-2.16973,-0.00528693,-1.68909
0.203242,-0.569837,0.270874,-2.17544,-0.0298738,-1.74529
0.160044,-0.570012,0.235202,-2.15957,-0.0122547,-1.79005
0.117095,-0.57015,0.198698,-2.15116,-0.00860095,-1.83795
0.0740978,-0.570353,0.161136,-2.15092,-0.0153899,-1.88986
0.0312633,-0.570617,0.122673,-2.14139,-0.0161052,-1.9311
