ball_qw,ball_qx,ball_qy,ball_qz
0.999985,0.00417278,0.000584929,0.0034346
0.999985,0.00409349,0.000627964,0.00363147
0.999986,0.00408802,0.000605333,0.00343008
0.999986,0.00408386,0.000597028,0.00339841
0.999986,0.00401264,0.000589796,0.00338954
0.999985,0.00419092,0.000601228,0.00346432
0.999985,0.00425968,0.000619221,0.00345992
0.999986,0.00408287,0.000601055,0.00342773
0.999986,0.00405046,0.000601794,0.00330891
0.999985,0.00413665,0.000611226,0.00350595
0.999985,0.00418026,0.000595715,0.00346486
0.999985,0.00427187,0.000639348,0.00353705
0.999986,0.00401948,0.000582353,0.00349803
0.999985,0.00414377,0.000590158,0.00343456
0.999985,0.0040728,0.000580085,0.00349219
0.999986,0.00411582,0.000587354,0.00342588
0.999985,0.00417493,0.0006622,0.00344801
0.999986,0.00409359,0.000554936,0.00342326
0.999986,0.00403192,0.000557686,0.00336667
0.999985,0.00412118,0.000613128,0.00347876
0.999985,0.00417709,0.00063191,0.00357197
0.999984,0.00429222,0.000611208,0.00360014
0.999985,0.0041111,0.00056382,0.00352828
0.999985,0.00421073,0.000625614,0.00357512
0.999985,0.00416438,0.000612478,0.00342494
0.999985,0.00420596,0.000613129,0.00352728
0.999985,0.00422979,0.000602131,0.00351259
0.999987,0.00391053,0.000543629,0.00329538
0.999987,0.00389602,0.000468202,0.00321171
0.999986,0.00404444,0.000550738,0.00346085
0.999986,0.00403724,0.000513778,0.00337371
0.999986,0.00401099,0.000581706,0.00354362
0.999985,0.00423065,0.000586285,0.00353072
0.999985,0.00413038,0.000593081,0.00346753
0.999985,0.00411278,0.000599644,0.00346298
0.999985,0.00413029,0.000610696,0.00364618
0.999985,0.00420257,0.000628058,0.00355836
0.999985,0.00411443,0.00055895,0.00350077
0.999985,0.00412801,0.000614053,0.00345161
0.999986,0.00403949,0.000557975,0.00344587
0.999985,0.00423544,0.000642338,0.00347869
0.999987,0.00399126,0.000587317,0.00322809
0.999986,0.00403258,0.000547602,0.00343599
0.999986,0.00406181,0.000596383,0.00347849
0.999984,0.00415611,0.000530816,0.00372086
0.999985,0.0041123,0.000562727,0.0034526
0.999985,0.00408769,0.000567449,0.00349947
0.999986,0.00409196,0.000586015,0.00344
0.999986,0.00402559,0.000532753,0.00344969
0.999984,0.00424422,0.000547394,0.00383153
0.999986,0.00396667,0.000569631,0.00354424
0.999986,0.00402218,0.000589533,0.00345237
0.999987,0.00391212,0.000553633,0.00336872
0.999986,0.00389502,0.000511148,0.00355205
0.999986,0.0040639,0.000565982,0.00343415
0.999985,0.00405487,0.00055313,0.00356088
0.999985,0.00411326,0.000588233,0.00354852
0.999986,0.0040144,0.000565506,0.00341648
0.999985,0.00414041,0.000593539,0.00356012
0.999986,0.00399099,0.000608473,0.00345053
0.999986,0.00404227,0.000546311,0.00340807
0.999986,0.00392055,0.00050081,0.00351317
0.999986,0.00402821,0.000541352,0.00353802
0.999986,0.00402399,0.000548188,0.00350268
0.999986,0.0039452,0.000490612,0.00344046
0.999986,0.00399082,0.00053248,0.00343422
0.999986,0.00395798,0.000546884,0.00344638
0.999986,0.00404179,0.000535697,0.00346418
0.999987,0.00387621,0.000578704,0.0034067
0.999985,0.00397596,0.000573921,0.00361499
0.999986,0.00396734,0.000539944,0.00340475
0.999987,0.00394658,0.000521114,0.00334191
0.999986,0.00395373,0.000555752,0.00350611
0.999986,0.0039973,0.000559659,0.00355135
0.999986,0.00396247,0.000459278,0.003442
