action_0,action_1,action_2,action_3,action_4,action_5,action_6
-0.45367,0.668799,0.70169,0.695219,0.68457,-0.291952,0.326147
-0.457486,0.666512,0.701111,0.695241,0.684195,-0.293911,0.328148
-0.459879,0.664675,0.700723,0.695349,0.68405,-0.295295,0.329898
-0.462454,0.662776,0.700261,0.695367,0.683764,-0.296817,0.331732
-0.465109,0.660745,0.699768,0.695373,0.683465,-0.298426,0.333657
-0.467775,0.658634,0.69926,0.695391,0.683184,-0.300051,0.335604
-0.470453,0.656443,0.698735,0.69541,0.682909,-0.301703,0.337573
-0.473201,0.654096,0.698241,0.695374,0.682625,-0.303758,0.339662
-0.475995,0.651597,0.69776,0.695285,0.682328,-0.30615,0.341855
-0.478417,0.649175,0.697231,0.69521,0.682071,-0.308502,0.343846
-0.480391,0.646937,0.696758,0.695225,0.681989,-0.310523,0.345548
-0.482044,0.644811,0.696306,0.69529,0.682015,-0.312263,0.347116
-0.483704,0.642598,0.69581,0.69537,0.68204,-0.31394,0.348695
-0.485082,0.640269,0.695315,0.69556,0.682204,-0.315486,0.350271
-0.486065,0.637818,0.694831,0.695862,0.682514,-0.316904,0.351892
-0.486664,0.635225,0.694349,0.69625,0.682944,-0.318246,0.353584
-0.486939,0.632477,0.693864,0.696705,0.683468,-0.319566,0.355343
-0.486638,0.629699,0.693434,0.697286,0.68428,-0.32077,0.357024
-0.486152,0.62789,0.693195,0.697746,0.685073,-0.321283,0.358029
-0.486887,0.627003,0.692974,0.697753,0.685119,-0.321476,0.35854
-0.488034,0.626691,0.692824,0.697614,0.684864,-0.321378,0.358723
-0.488723,0.627014,0.692823,0.697539,0.684684,-0.320753,0.358497
-0.488691,0.627713,0.692925,0.697594,0.684686,-0.31967,0.358062
-0.48788,0.628655,0.693098,0.697821,0.684907,-0.318115,0.357499
-0.486431,0.629687,0.693312,0.698156,0.68532,-0.316326,0.356902
-0.4845,0.63072,0.69355,0.698567,0.685887,-0.314426,0.356315
-0.482231,0.631708,0.693795,0.699031,0.686566,-0.312501,0.355757
-0.47967,0.632642,0.694048,0.699545,0.687342,-0.310571,0.35522
-0.477199,0.633366,0.694243,0.700051,0.688084,-0.308834,0.354833
-0.474875,0.633853,0.694388,0.700552,0.688796,-0.307326,0.354599
-0.472724,0.634069,0.694475,0.701062,0.689488,-0.306062,0.354536
-0.470878,0.63397,0.694489,0.701558,0.690123,-0.305116,0.354671
-0.469303,0.633551,0.694437,0.702052,0.690725,-0.304474,0.355001
-0.468032,0.632844,0.694322,0.70253,0.691286,-0.304126,0.355501
-0.467015,0.631913,0.694148,0.703024,0.691812,-0.303919,0.356124
-0.466166,0.630834,0.693942,0.703504,0.692316,-0.303813,0.35682
-0.465407,0.629654,0.693717,0.703974,0.692816,-0.303783,0.35756
-0.464429,0.62846,0.693514,0.704496,0.693401,-0.303696,0.358271
-0.463549,0.627127,0.693297,0.705009,0.69402,-0.303714,0.359009
-0.46279,0.625601,0.693053,0.705518,0.694653,-0.303874,0.35982
-0.462122,0.62387,0.692773,0.706038,0.695291,-0.304167,0.360723
-0.461444,0.621968,0.692471,0.706578,0.695966,-0.304536,0.361689
-0.460762,0.619969,0.692157,0.70711,0.696648,-0.304985,0.362682
-0.460042,0.617905,0.691838,0.707644,0.697322,-0.305494,0.363684
-0.459153,0.615794,0.691525,0.708213,0.698035,-0.305975,0.364674
-0.458147,0.613631,0.691204,0.708803,0.698767,-0.306441,0.365663
-0.457045,0.611446,0.690884,0.709402,0.699531,-0.306901,0.366617
-0.456109,0.609222,0.690543,0.70997,0.700306,-0.30742,0.367505
-0.455788,0.60669,0.690102,0.710456,0.700918,-0.308084,0.368516
-0.455489,0.604131,0.689687,0.710933,0.701551,-0.308794,0.369489
-0.454768,0.60181,0.689356,0.711452,0.702283,-0.309308,0.37031
-0.453332,0.599791,0.689099,0.712063,0.703185,-0.309457,0.37096
-0.452116,0.597684,0.688765,0.712618,0.703988,-0.309672,0.371679
-0.451413,0.595327,0.688366,0.713073,0.70465,-0.310169,0.372515
-0.451419,0.592651,0.687888,0.713415,0.705142,-0.311034,0.373475
-0.451949,0.589625,0.687348,0.713696,0.705542,-0.312203,0.374536
-0.453153,0.585976,0.686769,0.713925,0.7059,-0.313906,0.37567
-0.4547,0.58174,0.68615,0.714144,0.706279,-0.316002,0.376892
-0.456027,0.577136,0.685535,0.714327,0.706803,-0.318603,0.378275
-0.457144,0.572222,0.684919,0.714475,0.707445,-0.321564,0.379773
-0.457795,0.567139,0.68436,0.714684,0.70833,-0.325119,0.380955
-0.458707,0.561586,0.683694,0.714835,0.709338,-0.328549,0.381993
-0.459542,0.55573,0.683007,0.71498,0.710418,-0.331906,0.383009
-0.460352,0.549568,0.682305,0.715092,0.711512,-0.335369,0.384035
-0.461974,0.542513,0.681447,0.715292,0.712488,-0.33878,0.385218
-0.464016,0.534742,0.680511,0.715651,0.713486,-0.341949,0.386416
-0.466011,0.526583,0.679559,0.715938,0.714521,-0.345266,0.387598
-0.468036,0.517851,0.678496,0.716149,0.715246,-0.34873,0.388922
-0.470003,0.508476,0.677383,0.716356,0.715992,-0.352284,0.390281
