ball_x,ball_y,ball_z
-0.178071,-0.606608,0.116404
-0.178053,-0.606605,0.116405
-0.178054,-0.606617,0.116408
-0.178025,-0.606633,0.116387
-0.178027,-0.606645,0.116375
-0.17801,-0.606654,0.11636
-0.177998,-0.606666,0.116362
-0.178008,-0.606679,0.11633
-0.178008,-0.606688,0.116334
-0.178005,-0.606688,0.11634
-0.178019,-0.606677,0.116338
-0.17802,-0.606662,0.116347
-0.178048,-0.606643,0.116356
-0.178051,-0.606634,0.116366
-0.178042,-0.60662,0.116374
-0.178042,-0.606612,0.116392
-0.178059,-0.606619,0.116396
-0.178049,-0.606622,0.116401
-0.178036,-0.606619,0.116394
-0.178034,-0.606633,0.116389
-0.178024,-0.60665,0.116375
-0.178017,-0.606665,0.116367
-0.178008,-0.606683,0.116349
-0.17801,-0.606673,0.116347
-0.178015,-0.606678,0.116339
-0.178025,-0.606686,0.116347
-0.178022,-0.606669,0.116349
-0.178042,-0.606658,0.116352
-0.178058,-0.606639,0.116367
-0.178064,-0.606636,0.116371
-0.178044,-0.606627,0.116375
-0.178026,-0.606623,0.116373
-0.178052,-0.60663,0.116375
-0.178028,-0.606621,0.116392
-0.178019,-0.606629,0.116387
-0.17801,-0.606641,0.11638
-0.178008,-0.606658,0.116373
-0.177995,-0.60667,0.116376
-0.177993,-0.60667,0.11636
-0.17801,-0.60667,0.116356
-0.178003,-0.606648,0.116359
-0.17802,-0.606656,0.11637
-0.178037,-0.606656,0.116361
-0.178016,-0.606646,0.116361
-0.178016,-0.606635,0.116359
-0.17803,-0.606621,0.116355
-0.178028,-0.606627,0.116341
-0.178034,-0.606633,0.116352
-0.178026,-0.606644,0.116359
-0.178016,-0.606633,0.116366
-0.178036,-0.60664,0.116367
-0.178019,-0.606643,0.116349
-0.178002,-0.606651,0.11637
-0.178028,-0.606666,0.116376
-0.178011,-0.606653,0.116382
-0.178001,-0.606639,0.116382
-0.178029,-0.606646,0.116379
-0.178032,-0.606636,0.116377
-0.17801,-0.606636,0.116374
-0.178009,-0.606639,0.116357
-0.178016,-0.606644,0.116346
-0.178002,-0.606628,0.116348
-0.178016,-0.606635,0.116347
-0.178006,-0.606628,0.116342
-0.178011,-0.606642,0.116337
-0.178002,-0.606637,0.116354
-0.178013,-0.606649,0.116357
-0.178014,-0.606631,0.116368
-0.17802,-0.606641,0.116382
-0.178029,-0.606638,0.116389
-0.178026,-0.606652,0.116393
-0.178031,-0.606646,0.116395
-0.178061,-0.606651,0.116389
-0.178038,-0.606631,0.116387
-0.178044,-0.606632,0.116377
-0.178043,-0.60664,0.116362
-0.178038,-0.606639,0.11636
-0.178034,-0.606637,0.116346
-0.178,-0.606639,0.116328
