pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,eep_vel_x,eep_vel_y,eep_vel_z,ee_vel_offset_x,ee_vel_offset_y,ee_vel_offset_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.82074,-1.08266,-1.78929,-1.06608,2.00539,1.19038,-0.988098,1.82074,-1.08266,-1.78929,-1.06608,2.00539,1.19038,-0.988098,1.78061,-1.07201,-1.81514,-1.11939,1.93717,1.11683,-0.916309,-1.1977e-05,1.19989e-05,0,0,-1.91633e-05,3.5953e-05,0,-1.1977e-05,1.19989e-05,0,0,-1.91633e-05,3.5953e-05,0,0.53343,-0.455804,0.692052,0.572745,0.178241,0.150689,0.785803,-9.43365e-06,1.10263e-06,8.13161e-06,-1.06925e-05,2.66315e-06,8.71407e-06,2.98462,-0.53732,0.139822,-3.85451,0.0538766,4.41361,-3.85451,0.00146436,4.41361,0.401348,-0.106461,0.25852,0.53317,0.682202,0.73557,-0.717889,1
1.81716,-1.06821,-1.78126,-1.0633,2.00383,1.19137,-0.989247,1.81716,-1.06821,-1.78126,-1.0633,2.00383,1.19137,-0.989247,1.78061,-1.07201,-1.81515,-1.11939,1.93717,1.11683,-0.916309,3.5953e-05,-1.19989e-05,0,0,-1.91633e-05,2.39541e-05,0,3.5953e-05,-1.19989e-05,0,0,-1.91633e-05,2.39541e-05,0,0.53343,-0.455804,0.692052,0.572745,0.178241,0.15069,0.785803,1.53122e-05,1.78508e-05,-5.79155e-06,1.46575e-05,1.9256e-05,-5.51041e-06,2.9452,-0.53572,0.186287,-3.94194,0.159997,4.64656,-3.94194,0.0288444,4.64656,0.365538,0.0379977,0.33881,0.560971,0.666563,0.745452,-0.729385,1
1.82357,-1.06994,-1.79034,-1.06168,2.00435,1.18991,-0.988536,1.82357,-1.06994,-1.79034,-1.06168,2.00435,1.18991,-0.988536,1.78061,-1.07201,-1.81515,-1.11939,1.93717,1.11683,-0.916309,-3.5953e-05,1.1977e-05,-1.1977e-05,3.5953e-05,0,0,0,-3.5953e-05,1.1977e-05,-1.1977e-05,3.5953e-05,0,0,0,0.53343,-0.455804,0.692052,0.572745,0.178241,0.15069,0.785803,-2.229e-05,-2.98938e-05,1.09034e-05,-2.26087e-05,-3.06317e-05,1.10923e-05,2.9082,-0.53399,0.233691,-3.70083,0.173068,4.74042,-3.70083,0.0607744,4.74042,0.429629,0.0206978,0.248009,0.577145,0.671845,0.73085,-0.722271,1
1.82359,-1.07083,-1.78081,-1.06201,2.00641,1.18935,-0.986707,1.82359,-1.07083,-1.78081,-1.06201,2.00641,1.18935,-0.986707,1.78064,-1.07193,-1.81506,-1.11943,1.93726,1.11694,-0.916435,0.00673531,0.0134227,0.0176412,-0.00740644,0.0181014,0.023238,-0.0250716,0.00673531,0.0134227,0.0176412,-0.00740644,0.0181014,0.023238,-0.0250716,0.533415,-0.455739,0.69213,0.572762,0.178139,0.150652,0.785821,-0.00054,0.0125821,0.0135551,-0.00229317,0.0130631,0.0144278,2.87237,-0.532614,0.281371,-3.58276,0.137568,4.76802,-3.58276,0.095447,4.76802,0.42955,0.0110359,0.342493,0.574169,0.691498,0.724055,-0.702723,1
1.73535,-1.04519,-1.77489,-1.04858,2.00721,1.19061,-0.993336,1.73535,-1.04519,-1.77489,-1.04858,2.00721,1.19061,-0.993336,1.78067,-1.07163,-1.81359,-1.11831,1.94034,1.12006,-0.920071,-0.0050335,0.0239451,0.184034,0.168538,0.452919,0.447502,-0.529129,-0.0050335,0.0239451,0.184034,0.168538,0.452919,0.447502,-0.529129,0.532494,-0.45601,0.693434,0.574294,0.176117,0.148648,0.78554,-0.102156,-0.0497838,0.151076,-0.135519,-0.0611709,0.168176,2.83617,-0.530576,0.328808,-3.62036,0.203806,4.74365,-3.62036,0.131017,4.74365,-0.45322,0.264352,0.387049,0.697356,0.668777,0.705529,-0.73265,1
1.70963,-1.04582,-1.77709,-1.03983,2.0166,1.18553,-1.00456,1.70963,-1.04582,-1.77709,-1.03983,2.0166,1.18553,-1.00456,1.78105,-1.07249,-1.81103,-1.11482,1.95009,1.12905,-0.930775,0.0736089,-0.128474,0.292434,0.412891,1.14152,1.04817,-1.24036,0.0736089,-0.128474,0.292434,0.412891,1.14152,1.04817,-1.24036,0.530124,-0.45781,0.695658,0.578787,0.171546,0.142312,0.784426,-0.189447,-0.171832,0.20421,-0.26306,-0.208382,0.240674,2.80039,-0.528631,0.375748,-3.57769,0.194496,4.69397,-3.57769,0.158141,4.69397,-0.714156,0.266779,0.339454,0.749921,0.665083,0.564793,-0.737804,1
1.70117,-1.0351,-1.75526,-1.03154,2.02556,1.20087,-1.02013,1.70117,-1.0351,-1.75526,-1.03154,2.02556,1.20087,-1.02013,1.7833,-1.07491,-1.80727,-1.10826,1.96496,1.14256,-0.946357,0.275944,-0.273858,0.389928,0.736964,1.57016,1.41583,-1.62417,0.275944,-0.273858,0.389928,0.736964,1.57016,1.41583,-1.62417,0.527126,-0.460573,0.698581,0.585064,0.164934,0.13212,0.78297,-0.20259,-0.244391,0.251424,-0.306356,-0.298574,0.299295,2.76442,-0.526753,0.422432,-3.59671,0.18782,4.66845,-3.59671,0.176054,4.66845,-0.821259,0.398091,0.520072,0.767252,0.605999,0.58316,-0.737707,1
1.70413,-1.03219,-1.75429,-1.02146,2.03834,1.21273,-1.03472,1.70413,-1.03219,-1.75429,-1.02146,2.03834,1.21273,-1.03472,1.78747,-1.07778,-1.80286,-1.09893,1.98081,1.15706,-0.962187,0.459319,-0.2729,0.469554,0.990413,1.55852,1.42623,-1.53709,0.459319,-0.2729,0.469554,0.990413,1.55852,1.42623,-1.53709,0.524222,-0.463511,0.70211,0.591539,0.15749,0.120569,0.7815,-0.170617,-0.228723,0.326801,-0.284311,-0.282591,0.374904,2.72767,-0.52523,0.468515,-3.6756,0.152278,4.60832,-3.6756,0.178314,4.60832,-0.833417,0.45589,0.485741,0.774702,0.575325,0.556636,-0.725311,1
1.70917,-1.03004,-1.75182,-1.01131,2.05252,1.22519,-1.04796,1.70917,-1.03004,-1.75182,-1.01131,2.05252,1.22519,-1.04796,1.79245,-1.0799,-1.79738,-1.0884,1.9944,1.17009,-0.975529,0.491881,-0.196426,0.564914,1.06764,1.28112,1.24788,-1.26519,0.491881,-0.196426,0.564914,1.06764,1.28112,1.24788,-1.26519,0.521557,-0.465803,0.706447,0.597166,0.149796,0.109714,0.780331,-0.156536,-0.179337,0.39659,-0.266495,-0.222745,0.439317,2.69119,-0.523833,0.512697,-3.64769,0.139654,4.41814,-3.64769,0.175214,4.41814,-0.832774,0.498604,0.455575,0.770928,0.58117,0.550999,-0.724289,1
1.71324,-1.02747,-1.74597,-1.00058,2.06416,1.23483,-1.05804,1.71324,-1.02747,-1.74597,-1.00058,2.06416,1.23483,-1.05804,1.79672,-1.08151,-1.79167,-1.07699,2.00514,1.18018,-0.986639,0.404789,-0.146966,0.569996,1.16511,1.01399,0.932324,-1.0679,0.404789,-0.146966,0.569996,1.16511,1.01399,0.932324,-1.0679,0.518838,-0.468334,0.710988,0.602587,0.142865,0.100206,0.778741,-0.180183,-0.226785,0.421304,-0.277519,-0.264928,0.456229,2.65501,-0.522154,0.555752,-3.61824,0.167894,4.30555,-3.61824,0.172373,4.30555,-0.834776,0.540408,0.457039,0.764073,0.590213,0.546429,-0.71399,1
