action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,to_target_pos0,to_target_pos1,to_target_pos2,to_target_vel0,to_target_vel1,to_target_vel2,ee_orien0,ee_orien1,ee_orien2,ee_orien3,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2
-0.8954461,0.9662024,0.70538735,-0.45465964,-0.7314532,-0.5492281,-0.64109355,0.68471783,-1.5559711,1.7740566,1.2041556,0.85849154,-1.3858167,0.69165885,0.70846635,-1.589873,1.755781,1.2145497,0.87145984,-1.37052,0.7090902,-0.5120637,0.052806523,0.31340665,-0.53563875,-0.97814095,-0.8647393,-1.0194049,1.4286628,0.072534084,1.1741008,-3.984798,-0.13860412,-2.0400178,0.9068248,-0.15569264,0.2547298,-0.2975588,1.3060055,-0.55231667,1.6393113,-4.470119,-0.048752014,-1.9609709,-0.1226573,-0.62485075,0.4652106,-0.48532104,0.08985211,0.07904702,1,0,0,0,0,0,0,0
-0.89006394,0.95654833,0.4875688,-0.3238664,-0.6569361,-0.5499971,-0.63994366,0.6780186,-1.557151,1.7728004,1.1998531,0.8393559,-1.4050773,0.6688813,0.69851947,-1.5899026,1.7592747,1.205901,0.8517224,-1.3898209,0.6860276,-0.6968681,0.105751336,0.098470226,-0.41016763,-0.8549549,-0.8734876,-1.0025345,1.363008,0.06995821,1.139178,-3.9364386,-0.17164312,-2.1515243,0.89828384,-0.16955508,0.25540787,-0.31480765,1.2315044,-0.5531292,1.6045821,-4.470119,-0.048752014,-2.1246848,-0.13150358,-0.6230874,0.46540406,-0.5336803,0.122891106,0.026839476,1,0,0,0,0,0,0,0
-0.893102,0.94089645,0.46770424,-0.1597818,-0.6086168,-0.55453837,-0.66323084,0.66796786,-1.557716,1.7756007,1.1986504,0.82197976,-1.4246637,0.64435554,0.6856131,-1.5901641,1.7612371,1.2004787,0.8334757,-1.4087573,0.66221434,-0.84842783,0.050645925,0.08944087,-0.21114874,-0.8090098,-0.89441246,-1.0352467,1.297934,0.06648779,1.1021429,-3.91017,-0.23254159,-2.2893972,0.8893819,-0.18272322,0.25615925,-0.33165404,1.1570034,-0.5539417,1.5671242,-4.470119,-0.048752014,-2.2883987,-0.14093065,-0.6204295,0.46498132,-0.559949,0.18378958,0.0009984458,1,0,0,0,0,0,0,0
-0.88586086,0.9425699,0.471094,0.101857536,-0.6063663,-0.54421633,-0.6639587,0.65530914,-1.5579202,1.7776815,1.2051008,0.8038431,-1.4429514,0.6204966,0.6696997,-1.5915489,1.7632959,1.2004281,0.8161122,-1.4269595,0.6382512,-1.0184005,-0.014633688,0.097181685,0.12806183,-0.80067444,-0.9056494,-1.0271659,1.2328176,0.061642647,1.0627673,-3.9280128,-0.32401565,-2.4302332,0.8805751,-0.19561759,0.25635654,-0.34727865,1.0825024,-0.55475426,1.5269378,-4.470119,-0.048752014,-2.4521127,-0.15031528,-0.6163969,0.4641706,-0.54210615,0.27526364,-0.02187939,1,0,0,0,0,0,0,0
-0.8809777,0.9220392,0.34940365,0.29399407,-0.42246327,-0.5494847,-0.67048645,0.63956285,-1.5600073,1.7754924,1.2137692,0.7954668,-1.4614847,0.5961233,0.6510224,-1.5931503,1.7634914,1.2062936,0.80379903,-1.445868,0.6139863,-1.1470423,-0.020723075,-0.023397584,0.4133095,-0.55759406,-0.961417,-1.016058,1.1672783,0.0554142,1.0211232,-3.9536526,-0.39176512,-2.5637395,0.8727063,-0.20779572,0.25493264,-0.36085176,1.0080013,-0.5555668,1.4840229,-4.470119,-0.048752014,-2.6158266,-0.15927696,-0.610981,0.46289968,-0.5164664,0.3430131,-0.052087005,1,0,0,0,0,0,0,0
-0.86720616,0.9196805,0.25509113,0.3312545,-0.24853928,-0.55124474,-0.64665,0.6213566,-1.5616894,1.7723957,1.2213254,0.7916531,-1.4805038,0.5733561,0.6309973,-1.5946034,1.7614936,1.2150996,0.7959846,-1.4657393,0.5906904,-1.182195,-0.017074943,-0.124964654,0.49001616,-0.3585417,-0.99220586,-0.96636575,1.1014323,0.048513412,0.97725105,-3.9621348,-0.40820333,-2.70197,0.8658078,-0.21895754,0.25237826,-0.37247768,0.93349934,-0.5563793,1.4383793,-4.470119,-0.048752014,-2.7795405,-0.16793299,-0.60489273,0.46112823,-0.50798404,0.35945132,-0.07757055,1,0,0,0,0,0,0,0
-0.8749871,0.87960917,0.33249748,0.25781563,-0.09466552,-0.54035914,-0.6574486,0.60106534,-1.5645133,1.7730999,1.2267989,0.7913584,-1.499691,0.5493817,0.6112325,-1.5967801,1.7598392,1.2236546,0.79148316,-1.4856131,0.5672996,-1.1375033,-0.08334656,-0.03745888,0.41210517,-0.17384027,-0.98097426,-0.9844255,1.0357127,0.04160595,0.9307362,-3.9366515,-0.39678645,-2.8768456,0.8594187,-0.22893615,0.24807747,-0.38398606,0.85899734,-0.55719185,1.3900073,-4.470119,-0.048752014,-2.9432545,-0.17671537,-0.5987978,0.4592711,-0.5334675,0.34803444,-0.06640886,1,0,0,0,0,0,0,0
-0.8712109,0.8414383,0.31700835,0.29094392,0.110695,-0.5452025,-0.6822245,0.5814297,-1.5679958,1.7709049,1.2368573,0.79689276,-1.5198692,0.52443415,0.5916958,-1.5996349,1.7584,1.232219,0.79319656,-1.5054247,0.5429435,-1.1398959,-0.1209474,-0.040939018,0.43953225,0.1270317,-0.98815316,-1.0161798,0.9702077,0.03467369,0.8814374,-3.924498,-0.40515473,-3.040655,0.85389644,-0.23705277,0.24088477,-0.39577934,0.78449535,-0.5580044,1.3389065,-4.470119,-0.048752014,-3.1069684,-0.18571234,-0.59267807,0.4574691,-0.54562104,0.35640272,-0.06631342,1,0,0,0,0,0,0,0
-0.8662066,0.76871437,0.4444628,0.17363814,0.32884914,-0.53301835,-0.6784015,0.5620642,-1.5733384,1.7739147,1.2400985,0.80926716,-1.5389153,0.5003182,0.57303447,-1.6038414,1.7588199,1.2394073,0.80009353,-1.5252306,0.5189229,-1.0634247,-0.21666835,0.117763795,0.29250637,0.41469342,-0.97533524,-1.0097096,0.9051976,0.027906418,0.8291364,-3.8728263,-0.38359803,-3.234861,0.8491931,-0.24334905,0.23054716,-0.40804452,0.70999336,-0.5588169,1.2850773,-4.470119,-0.048752014,-3.2706823,-0.19520426,-0.5867233,0.45594096,-0.5972927,0.33484602,-0.03582152,1,0,0,0,0,0,0,0
-0.8879704,0.6704733,0.427291,-0.008205938,0.2176806,-0.50031006,-0.669852,0.5426584,-1.5809056,1.7737352,1.2390349,0.8107314,-1.556666,0.4768349,0.555702,-1.6092081,1.7609128,1.2422519,0.80502826,-1.5444694,0.49524686,-1.0080242,-0.25033385,0.12520166,0.024968907,0.25563332,-0.9074846,-1.0136534,0.84106064,0.02182579,0.7742549,-3.8203125,-0.33311957,-3.3680806,0.8435145,-0.2490656,0.220295,-0.42180532,0.6354914,-0.55962944,1.2285196,-4.470119,-0.048752014,-3.4343963,-0.20556927,-0.58145523,0.45426467,-0.6498065,0.28436756,-0.06631563,1,0,0,0,0,0,0,0
