timestamp,body_id,pos_opt_x,pos_opt_y,pos_opt_z,pos_world_x,pos_world_y,pos_world_z,pos_smooth_x,pos_smooth_y,pos_smooth_z,vel_x,vel_y,vel_z,qx,qy,qz,qw
3499658869.290613,1,0.697405,0.523652,-1.395716,2.178716,-0.697405,1.098652,2.178716,-0.697405,1.098652,0.000000,0.000000,0.000000,0.010328,-0.153062,0.931057,0.331057
3499658869.403683,1,0.701094,0.526367,-1.398154,2.181154,-0.701094,1.101367,2.179204,-0.698143,1.099195,0.097518,-0.147552,0.108631,-0.996687,0.077860,0.022322,-0.007418
3499658869.446152,1,0.702850,0.522804,-1.402610,2.185610,-0.702850,1.097804,2.180583,-0.699232,1.099025,0.156935,-0.170964,0.061118,-0.925293,-0.329118,-0.066057,-0.176496
3499658870.121882,1,0.689110,0.535207,-1.399944,2.182944,-0.689110,1.110207,2.179823,-0.697765,1.104809,-0.189897,0.265032,0.406531,0.292091,-0.289644,-0.530224,-0.741385
3499658870.223492,1,0.699322,0.525361,-1.402628,2.185628,-0.699322,1.100361,2.180283,-0.697244,1.105477,-0.071845,0.198143,0.273501,-0.945742,-0.275009,-0.050709,-0.165442
3499658870.242807,1,0.704020,0.531075,-1.397305,2.180305,-0.704020,1.106075,2.180082,-0.697828,1.106417,0.039136,0.171521,0.293338,-0.884592,-0.455889,-0.081137,0.055482
3499658870.275837,1,0.703466,0.530504,-1.396763,2.179763,-0.703466,1.105504,2.180143,-0.699549,1.105301,0.021280,-0.118893,0.032775,-0.891255,-0.447474,-0.060235,0.042474
3499658870.314504,1,0.681897,0.541673,-1.398684,2.181684,-0.681897,1.116673,2.182065,-0.695563,1.107764,0.118793,0.112059,0.152450,-0.421790,0.067221,0.468297,0.773481
3499658870.352985,1,0.681989,0.531073,-1.399925,2.182925,-0.681989,1.106073,2.182061,-0.694139,1.106937,0.131912,0.245971,0.034657,-0.510403,-0.039262,0.601402,0.613403
3499658870.373462,1,0.703640,0.529336,-1.419615,2.202615,-0.703640,1.104336,2.185458,-0.695003,1.107732,0.354371,0.303085,0.162117,-0.718535,-0.455342,-0.493608,-0.180892
3499658870.393401,1,0.681709,0.531906,-1.398854,2.181854,-0.681709,1.106906,2.185768,-0.690540,1.107899,0.246889,0.334841,0.008976,-0.461976,0.105296,0.507299,0.719819
3499658870.420792,1,0.701993,0.535945,-1.392930,2.175930,-0.701993,1.110945,2.185001,-0.690246,1.108987,0.196045,0.259546,0.136637,-0.008918,0.035292,-0.005082,0.999324
3499658870.434693,1,0.703067,0.523085,-1.399231,2.182231,-0.703067,1.098085,2.185111,-0.694480,1.105269,-0.023157,0.034857,-0.164210,-0.919562,-0.343540,-0.057192,-0.181978
3499658870.451067,1,0.700732,0.526157,-1.398035,2.181035,-0.700732,1.101157,2.184733,-0.698228,1.104286,-0.069006,-0.512524,-0.240849,-0.997348,0.070597,0.014478,-0.010165
3499658870.547259,1,0.710239,0.520732,-1.399339,2.182339,-0.710239,1.095732,2.180678,-0.699548,1.102565,-0.288245,-0.620149,-0.428127,-0.872716,-0.488080,0.003576,-0.011502
3499658870.906924,1,0.685257,0.536074,-1.399587,2.182587,-0.685257,1.111074,2.179395,-0.696681,1.108957,-0.089089,0.225751,0.518286,-0.643694,0.077919,0.295025,0.701817
3499658870.940779,1,0.699720,0.528429,-1.394453,2.177453,-0.699720,1.103429,2.179111,-0.697128,1.109920,0.013316,0.213833,0.537824,-0.187677,-0.433914,0.104278,0.874998
3499658870.986063,1,0.701639,0.528994,-1.389107,2.172107,-0.701639,1.103994,2.177792,-0.699650,1.108597,-0.108447,0.036648,0.126263,0.320981,0.356627,0.704271,0.523250
3499658871.073553,1,0.689249,0.539694,-1.396036,2.179036,-0.689249,1.114694,2.179212,-0.697085,1.110635,-0.012153,-0.026965,0.111822,-0.695492,0.151774,0.273801,0.646752
3499658871.142617,1,0.703745,0.530929,-1.396572,2.179572,-0.703745,1.105929,2.178151,-0.695922,1.107824,-0.063992,0.080411,-0.139724,-0.891038,-0.448017,-0.067566,0.027698
3499658871.193202,1,0.701745,0.521668,-1.397923,2.180923,-0.701745,1.096668,2.177818,-0.699219,1.104943,0.001733,0.028723,-0.243584,-0.897981,-0.386330,-0.033808,-0.207931
3499658871.605794,1,0.683675,0.539943,-1.398554,2.181554,-0.683675,1.114943,2.179063,-0.698708,1.105064,-0.034116,0.316016,0.004252,-0.434068,0.012332,0.429235,0.791953
3499658871.659431,1,0.702049,0.535939,-1.392949,2.175949,-0.702049,1.110939,2.179740,-0.698743,1.106461,-0.017289,0.307206,0.082366,-0.008852,0.034985,-0.006195,0.999330
3499658871.678225,1,0.680057,0.532564,-1.398975,2.181975,-0.680057,1.107564,2.180770,-0.694180,1.107388,0.121757,0.528981,0.336922,-0.560222,-0.052835,0.548997,0.618031
3499658871.697127,1,0.695504,0.525354,-1.391750,2.174750,-0.695504,1.100354,2.178785,-0.692937,1.107867,-0.018563,0.384724,0.186805,-0.126087,-0.569856,0.781432,-0.220749
3499658871.715012,1,0.701989,0.529512,-1.389296,2.172296,-0.701989,1.104512,2.177305,-0.692655,1.107662,-0.162342,0.405869,0.080077,0.322951,0.355837,0.703037,0.524235
3499658871.776219,1,0.703741,0.529588,-1.419756,2.202756,-0.703741,1.104588,2.181545,-0.696668,1.105591,0.051686,-0.165865,-0.119781,-0.719362,-0.453455,-0.494182,-0.180778
3499658871.794025,1,0.701833,0.529638,-1.388844,2.171844,-0.701833,1.104638,2.180724,-0.696625,1.104331,0.129299,-0.245835,-0.235697,0.322726,0.356769,0.703364,0.523301
3499658872.741896,1,0.689146,0.537964,-1.401191,2.184191,-0.689146,1.112964,2.184308,-0.699253,1.108908,-0.011353,0.108604,0.330949,-0.652510,0.127880,0.352865,0.658304
3499658872.779499,1,0.704186,0.528565,-1.418563,2.201563,-0.704186,1.103565,2.184304,-0.699260,1.108889,0.110558,0.125064,0.284703,-0.716337,-0.428520,-0.511664,-0.203546
3499658872.813265,1,0.697453,0.523548,-1.395926,2.178926,-0.697453,1.098548,2.185713,-0.699598,1.106746,0.093654,-0.023019,-0.144095,0.010648,-0.155542,0.930329,0.331935
3499658872.843953,1,0.706162,0.535638,-1.398273,2.181273,-0.706162,1.110638,2.184973,-0.698916,1.104873,0.044568,0.022973,-0.267727,-0.955841,-0.024537,0.075073,-0.283074
3499658872.917948,1,0.686675,0.540307,-1.394940,2.177940,-0.686675,1.115307,2.183723,-0.698421,1.105342,-0.040439,0.140948,-0.173310,-0.359343,0.561501,0.454385,0.590866
3499658872.936625,1,0.703782,0.529669,-1.419704,2.202704,-0.703782,1.104669,2.183951,-0.698340,1.105563,-0.117443,0.083827,-0.078916,-0.721117,-0.450780,-0.495285,-0.177427
3499658872.954287,1,0.702171,0.529449,-1.388840,2.171840,-0.702171,1.104449,2.182537,-0.699249,1.106722,-0.162427,-0.022206,0.123264,0.321446,0.360501,0.702458,0.522747
3499658872.989049,1,0.697464,0.523614,-1.395876,2.178876,-0.697464,1.098614,2.182527,-0.699251,1.106736,-0.079754,-0.055304,0.092905,0.011412,-0.154159,0.930739,0.331406
3499658873.007155,1,0.679819,0.534823,-1.397625,2.180625,-0.679819,1.109823,2.182397,-0.693982,1.106573,-0.103612,0.290542,0.067323,-0.520907,-0.132657,0.332227,0.775038
3499658873.106999,1,0.710100,0.545308,-1.402171,2.185171,-0.710100,1.120308,2.183843,-0.698667,1.107573,0.087093,0.038754,0.056698,-0.822951,0.246740,0.185727,-0.476840
3499658873.124777,1,0.690341,0.540177,-1.393160,2.176160,-0.690341,1.115177,2.178534,-0.695979,1.109674,-0.266167,0.218113,0.195924,-0.422164,0.172492,0.528589,0.715973
3499658873.182350,1,0.694998,0.539592,-1.396522,2.179522,-0.694998,1.114592,2.180070,-0.694544,1.111703,-0.155101,-0.037474,0.342032,-0.247098,0.468186,0.238281,0.814228
3499658873.236970,1,0.704080,0.528537,-1.418582,2.201582,-0.704080,1.103537,2.184612,-0.695868,1.112688,0.051249,0.186657,0.340990,-0.717457,-0.425393,-0.512582,-0.203854
3499658873.302331,1,0.697096,0.527559,-1.394502,2.177502,-0.697096,1.102559,2.182298,-0.697761,1.109333,0.148479,-0.214450,-0.157979,-0.184115,-0.462051,0.083664,0.863487
3499658873.318264,1,0.689259,0.541663,-1.399113,2.182113,-0.689259,1.116663,2.183488,-0.697545,1.109631,-0.074900,-0.111814,-0.203803,-0.589827,0.206310,0.289107,0.725230
3499658873.424460,1,0.689746,0.543133,-1.393730,2.176730,-0.689746,1.118133,2.182930,-0.696494,1.110339,-0.060091,0.257843,-0.169632,-0.316482,0.542575,0.099268,0.771750
3499658873.455032,1,0.702461,0.521932,-1.401319,2.184319,-0.702461,1.096932,2.179477,-0.696171,1.109018,-0.188017,0.106036,-0.021047,-0.907052,-0.366761,-0.080923,-0.190246
3499658873.542784,1,0.709622,0.544966,-1.401895,2.184895,-0.709622,1.119966,2.181112,-0.697637,1.110851,-0.158431,-0.006138,0.081340,-0.826239,0.232782,0.184577,-0.478616
3499658873.589968,1,0.702410,0.529462,-1.388837,2.171837,-0.702410,1.104462,2.179979,-0.698700,1.111231,-0.196751,-0.147022,0.059495,0.320805,0.360172,0.703067,0.522549
3499658874.409512,1,0.686285,0.544252,-1.402772,2.185772,-0.686285,1.119252,2.182100,-0.698291,1.112340,0.000550,0.228833,0.110148,-0.320411,-0.119723,0.401760,0.849466
3499658874.447972,1,0.704167,0.528610,-1.418580,2.201580,-0.704167,1.103610,2.189312,-0.699686,1.105837,0.543769,0.101368,-0.192224,-0.716185,-0.428754,-0.511745,-0.203388
3499658874.465334,1,0.686013,0.535495,-1.399179,2.182179,-0.686013,1.110495,2.191347,-0.696454,1.107043,0.616481,0.122511,-0.353175,-0.508811,-0.023795,0.461569,0.726291
3499658874.498906,1,0.701885,0.529437,-1.388987,2.171987,-0.701885,1.104437,2.188844,-0.696393,1.108504,0.191522,0.292434,-0.040778,0.321685,0.358810,0.702335,0.523926
3499658874.514390,1,0.703007,0.522732,-1.400650,2.183650,-0.703007,1.097732,2.188420,-0.699738,1.104200,-0.059481,-0.003440,-0.109181,-0.929523,-0.323490,-0.045579,-0.171064
3499658874.547596,1,0.700692,0.526266,-1.398159,2.181159,-0.700692,1.101266,2.184111,-0.699153,1.103508,-0.482435,-0.179933,-0.235637,-0.997815,0.064700,0.009973,-0.008870
3499658874.582044,1,0.700639,0.526150,-1.398227,2.181227,-0.700639,1.101150,2.180040,-0.698447,1.103016,-0.586936,-0.136917,-0.365818,-0.997284,0.072156,0.011440,-0.009326
3499658874.785036,1,0.688107,0.552272,-1.400346,2.183346,-0.688107,1.127272,2.181664,-0.697972,1.105200,-0.163136,0.078691,0.112811,-0.404132,0.354407,0.323208,0.778851
3499658874.803530,1,0.703586,0.529280,-1.419878,2.202878,-0.703586,1.104280,2.185509,-0.698088,1.106510,0.364601,0.023938,0.232917,-0.717804,-0.462888,-0.485616,-0.186198
3499658874.820796,1,0.704193,0.528678,-1.418551,2.201551,-0.704193,1.103678,2.189588,-0.698788,1.106992,0.679727,0.129309,0.423927,-0.714946,-0.430754,-0.511744,-0.203523
3499658874.888021,1,0.700769,0.523702,-1.398671,2.181671,-0.700769,1.098702,2.189676,-0.698814,1.106503,0.534177,-0.056134,0.086811,-0.924872,-0.306834,-0.130675,-0.182725
3499658875.219810,1,0.700845,0.526227,-1.398236,2.181236,-0.700845,1.101227,2.177885,-0.699476,1.106635,-0.627019,0.060830,0.111740,-0.997681,0.066077,0.013468,-0.009271
3499658876.066479,1,0.688063,0.533189,-1.397522,2.180522,-0.688063,1.108189,2.182980,-0.699405,1.106985,0.351036,0.195765,-0.075601,0.161069,0.730729,-0.601147,0.280562
