timestamp,body_id,pos_opt_x,pos_opt_y,pos_opt_z,pos_world_x,pos_world_y,pos_world_z,vel_x,vel_y,vel_z,qx,qy,qz,qw
3500298908.267767,1,0.029159,0.055449,0.271155,0.511845,-0.029159,0.630449,0.000000,0.000000,0.000000,-0.000713,-0.001134,0.006040,0.999981
3500298908.288419,1,0.029202,0.055397,0.270902,0.512098,-0.029202,0.630397,0.050694,-0.008608,-0.010451,-0.000001,-0.003786,0.008004,0.999961
3500298908.317524,1,0.029117,0.055452,0.271207,0.511793,-0.029117,0.630452,0.013471,-0.000108,-0.003331,0.000232,0.000951,0.005322,0.999985
3500298908.326697,1,0.028971,0.055572,0.271631,0.511369,-0.028971,0.630572,-0.031700,0.012517,0.008148,-0.000848,0.008176,0.000081,0.999966
3500298908.336763,1,0.029148,0.055427,0.271012,0.511988,-0.029148,0.630427,-0.007321,0.003599,0.002009,0.000288,-0.001250,0.007136,0.999974
3500298908.346117,1,0.028872,0.055455,0.271386,0.511614,-0.028872,0.630455,-0.011963,0.016346,0.000232,-0.000059,0.003628,0.005901,0.999976
3500298908.375917,1,0.029353,0.055547,0.271135,0.511865,-0.029353,0.630547,0.033023,-0.025491,-0.001606,0.000534,0.002051,0.003749,0.999991
3500298908.386796,1,0.028963,0.055473,0.271500,0.511500,-0.028963,0.630473,-0.032564,0.012289,0.003066,-0.000543,0.007164,0.002489,0.999971
3500298908.396006,1,0.029328,0.055645,0.271214,0.511786,-0.029328,0.630645,0.011442,-0.030399,0.012664,0.001531,0.000189,0.004685,0.999988
3500298908.414896,1,0.029093,0.055347,0.271101,0.511899,-0.029093,0.630347,0.002327,0.017359,-0.013375,0.000270,-0.000210,0.007984,0.999968
3500298908.434386,1,0.029334,0.055430,0.271060,0.511940,-0.029334,0.630430,0.029318,-0.024687,-0.002906,0.001562,-0.000204,0.005546,0.999983
3500298908.444464,1,0.029259,0.055381,0.271045,0.511955,-0.029259,0.630381,0.011309,0.004604,-0.017582,0.000972,0.000650,0.005033,0.999987
3500298908.453956,1,0.028985,0.055442,0.271503,0.511497,-0.028985,0.630442,-0.026806,0.007184,0.006326,0.000209,0.005876,0.003976,0.999975
3500298908.487764,1,0.029228,0.055611,0.271228,0.511772,-0.029228,0.630611,-0.011174,0.007049,0.012085,0.000164,0.001900,0.003466,0.999992
3500298908.510391,1,0.029415,0.055641,0.271098,0.511902,-0.029415,0.630641,-0.003527,-0.010368,0.017343,0.000354,0.001727,0.002309,0.999996
3500298908.545984,1,0.029381,0.055370,0.270875,0.512125,-0.029381,0.630370,0.041850,-0.026371,-0.004803,0.000370,-0.002573,0.006651,0.999974
3500298908.557350,1,0.029337,0.055410,0.271044,0.511956,-0.029337,0.630410,0.012269,-0.007293,-0.013383,0.001858,0.000303,0.006500,0.999977
3500298908.569156,1,0.029551,0.055613,0.272328,0.510672,-0.029551,0.630613,-0.081996,-0.009083,-0.001888,-0.001524,0.018611,0.000934,0.999825
3500298908.581090,1,0.029302,0.055662,0.271287,0.511713,-0.029302,0.630662,-0.027504,0.005232,0.019461,0.001181,0.001321,0.003757,0.999991
3500298908.593361,1,0.030430,0.056876,0.272956,0.510044,-0.030430,0.631876,-0.127484,-0.072858,0.097723,-0.001323,0.018146,-0.024348,0.999538
3500298908.617211,1,0.029407,0.055471,0.271033,0.511967,-0.029407,0.630471,0.086306,0.009575,-0.009457,0.001873,-0.000175,0.005412,0.999984
3500298908.629251,1,0.030601,0.056961,0.273033,0.509967,-0.030601,0.631961,-0.116384,-0.086576,0.086625,-0.000646,0.018789,-0.025700,0.999493
3500298908.663758,1,0.029257,0.055366,0.271084,0.511916,-0.029257,0.630366,0.124800,0.078208,-0.100675,0.000344,0.001952,0.005066,0.999985
3500298908.676395,1,0.029251,0.055391,0.271176,0.511824,-0.029251,0.630391,-0.009511,0.010409,-0.005376,0.001033,0.001414,0.004290,0.999989
3500298908.688621,1,0.029392,0.055428,0.271070,0.511930,-0.029392,0.630428,0.130886,0.080569,-0.102170,0.001792,0.000235,0.005736,0.999982
3500298908.713822,1,0.029308,0.055420,0.271061,0.511939,-0.029308,0.630420,0.001564,-0.003372,0.003635,0.001742,0.000822,0.005756,0.999982
3500298908.782907,1,0.030706,0.056947,0.272928,0.510072,-0.030706,0.631947,-0.116809,-0.096990,0.103724,-0.001007,0.019312,-0.024778,0.999506
3500298908.817333,1,0.029298,0.055392,0.271071,0.511929,-0.029298,0.630392,-0.000083,0.006262,-0.002437,0.001453,0.001137,0.005210,0.999985
3500298908.864871,1,0.029095,0.055481,0.271381,0.511619,-0.029095,0.630481,-0.021338,0.014172,0.004034,0.001427,0.005595,0.003830,0.999976
3500298908.876014,1,0.029690,0.055713,0.271915,0.511085,-0.029690,0.630713,0.067498,0.067700,-0.082210,0.000611,0.001699,-0.001856,0.999997
3500298908.885875,1,0.029455,0.055619,0.271179,0.511821,-0.029455,0.630619,-0.007170,-0.010419,0.015153,0.001168,0.003094,0.002015,0.999992
3500298908.918930,1,0.030463,0.056937,0.272919,0.510081,-0.030463,0.631937,-0.102550,-0.091219,0.097089,-0.003070,0.019327,-0.024278,0.999514
3500298908.930048,1,0.030522,0.056682,0.272986,0.510014,-0.030522,0.631682,-0.071357,-0.055410,0.064582,-0.001674,0.017310,-0.021441,0.999619
3500298908.983314,1,0.029396,0.055611,0.271221,0.511779,-0.029396,0.630611,-0.002805,0.003915,-0.000516,0.000871,0.003428,0.001533,0.999993
3500298909.003928,1,0.029419,0.055529,0.271131,0.511869,-0.029419,0.630529,0.119223,0.069622,-0.093900,0.001369,0.002488,0.003648,0.999989
3500298909.014102,1,0.029053,0.055510,0.271492,0.511508,-0.029053,0.630510,0.099607,0.097902,-0.078146,0.000212,0.006652,0.001159,0.999977
3500298909.033494,1,0.029355,0.055322,0.270914,0.512086,-0.029355,0.630322,0.020462,0.002758,-0.019291,0.001440,-0.000079,0.007057,0.999974
3500298909.043500,1,0.029023,0.055477,0.271463,0.511537,-0.029023,0.630477,-0.022159,0.026383,-0.003453,-0.000665,0.006845,0.001972,0.999974
3500298909.053602,1,0.029292,0.055386,0.271142,0.511858,-0.029292,0.630386,0.023290,-0.015909,-0.008268,0.000915,0.001557,0.004843,0.999987
