timestamp,body_id,pos_opt_x,pos_opt_y,pos_opt_z,pos_world_x,pos_world_y,pos_world_z,vel_x,vel_y,vel_z,qx,qy,qz,qw
3499664466.771795,1,0.699107,0.527898,-1.397997,2.180997,-0.699107,1.102898,-1.070913,0.460192,0.002909,-0.486070,-0.236757,0.689728,0.481619
3499664466.788350,1,0.698463,0.527292,-1.399449,2.182449,-0.698463,1.102292,-0.972732,0.502495,-0.037372,-0.467950,-0.235559,0.696108,0.490885
3499664470.037793,1,0.698592,0.527226,-1.399490,2.182490,-0.698592,1.102226,-0.965548,0.500456,-0.041342,-0.468758,-0.236852,0.693115,0.493718
3499664470.571705,1,0.698827,0.527380,-1.399397,2.182397,-0.698827,1.102380,-0.979519,0.480100,-0.031467,-0.463591,-0.229849,0.705654,0.484051
3499664470.586237,1,0.697131,0.527906,-1.400394,2.183394,-0.697131,1.102906,-0.907413,0.598284,0.003242,-0.492883,-0.238646,0.668294,0.503486
3499664470.604773,1,0.698597,0.527245,-1.399472,2.182472,-0.698597,1.102245,0.447504,0.158632,-0.531979,-0.469216,-0.235545,0.694533,0.491913
3499664470.639848,1,0.699232,0.526762,-1.399318,2.182318,-0.699232,1.101762,-0.005261,-0.027005,-0.041183,-0.469057,-0.234931,0.691147,0.497100
3499664470.658126,1,0.698651,0.528223,-1.398856,2.181856,-0.698651,1.103223,-0.102536,-0.101336,0.021084,-0.469566,-0.204203,0.711480,0.481253
3499664470.710579,1,0.698630,0.528881,-1.397939,2.180939,-0.698630,1.103881,-0.102210,-0.002213,0.109100,-0.501515,-0.225431,0.683732,0.479765
3499664470.736182,1,0.698817,0.527656,-1.398998,2.181998,-0.698817,1.102656,-0.021338,0.027708,0.059597,-0.475629,-0.216989,0.705843,0.477994
3499664470.754479,1,0.699076,0.527957,-1.397824,2.180824,-0.699076,1.102957,-0.068800,-0.028340,-0.017711,-0.486861,-0.234323,0.691215,0.479876
3499664470.789791,1,0.699182,0.528310,-1.398687,2.181687,-0.699182,1.103310,0.049925,-0.036808,-0.038071,-0.485023,-0.209390,0.699347,0.481480
3499664470.808396,1,0.698589,0.528816,-1.397979,2.180979,-0.698589,1.103816,-0.067933,0.015183,0.077343,-0.502020,-0.225486,0.683437,0.479631
3499664470.824603,1,0.699085,0.527634,-1.398218,2.181218,-0.699085,1.102634,0.026226,-0.000600,-0.021501,-0.487468,-0.240238,0.685399,0.484653
3499664470.840648,1,0.697258,0.527898,-1.400401,2.183401,-0.697258,1.102898,0.114258,0.128293,-0.027450,-0.491943,-0.243005,0.662246,0.510265
3499664470.857411,1,0.699318,0.527893,-1.398908,2.181908,-0.699318,1.102893,0.061957,-0.048625,-0.061587,-0.468809,-0.206400,0.714001,0.477304
3499664470.934973,1,0.697162,0.527886,-1.400391,2.183391,-0.697162,1.102886,0.144927,0.128206,0.016773,-0.489237,-0.241718,0.664890,0.510040
3499664472.641413,1,0.699618,0.544001,-1.406883,2.189883,-0.699618,1.119001,-0.472856,0.429944,1.075971,-0.101823,-0.755043,0.647680,0.007317
3499664472.672621,1,0.698419,0.541752,-1.382610,2.165610,-0.698419,1.116752,-2.094348,0.505972,0.928211,-0.701038,0.023019,0.693917,0.162774
3499664472.724931,1,0.698341,0.541701,-1.382639,2.165639,-0.698341,1.116701,-1.616319,0.085139,-0.153343,-0.701705,0.021855,0.692987,0.164018
3499664474.559831,1,0.697451,0.542416,-1.404563,2.187563,-0.697451,1.117416,-0.630260,0.573921,0.971631,-0.358634,0.399800,-0.434826,0.722819
3499664475.677872,1,0.698956,0.527271,-1.399526,2.182526,-0.698956,1.102271,-0.967073,0.472744,-0.039272,-0.471345,-0.231976,0.687617,0.501203
3499664475.695570,1,0.698507,0.527654,-1.398960,2.181960,-0.698507,1.102654,-0.570146,0.609322,-1.223703,-0.461181,-0.218452,0.710253,0.484904
3499664476.143203,1,0.699945,0.547284,-1.403855,2.186855,-0.699945,1.122284,-0.675265,0.406516,1.297132,-0.481506,0.298837,-0.646220,0.511125
3499664479.793114,1,0.699086,0.527988,-1.397902,2.180902,-0.699086,1.102988,-1.073472,0.464626,0.008802,-0.484720,-0.234793,0.693226,0.478911
3499664480.613514,1,0.698831,0.527820,-1.398167,2.181167,-0.698831,1.102820,-1.055487,0.480553,-0.002845,-0.489325,-0.239939,0.687501,0.479930
3499664480.648531,1,0.698733,0.528234,-1.398823,2.181823,-0.698733,1.103234,-0.368961,1.590216,-0.560546,-0.471088,-0.202765,0.712772,0.478454
3499664480.666988,1,0.699061,0.527925,-1.397968,2.180968,-0.699061,1.102925,-1.066168,0.465671,0.008221,-0.486862,-0.236101,0.690019,0.480723
3499664483.617637,1,0.697879,0.548799,-1.400115,2.183115,-0.697879,1.123799,-0.849056,0.946991,0.400380,-0.499337,0.392300,-0.513646,0.577001
3499664486.494190,1,0.699026,0.527838,-1.398008,2.181008,-0.699026,1.102838,-1.067813,0.469697,0.000040,-0.486571,-0.236921,0.690875,0.479385
3499664486.508790,1,0.699060,0.527953,-1.397998,2.180998,-0.699060,1.102953,-0.181357,0.595387,-0.564269,-0.485175,-0.236940,0.692721,0.478123
3499664486.543744,1,0.697470,0.527937,-1.400333,2.183333,-0.697470,1.102937,-1.046801,1.685691,-0.577096,-0.496114,-0.242816,0.655827,0.514589
3499664486.562314,1,0.698885,0.527453,-1.399075,2.182075,-0.698885,1.102453,0.071081,0.009362,-0.025674,-0.464104,-0.221821,0.706253,0.486426
3499664486.594434,1,0.697086,0.527938,-1.400193,2.183193,-0.697086,1.102938,0.146317,0.131591,-0.000978,-0.490981,-0.238169,0.666320,0.508164
