timestamp,body_id,pos_opt_x,pos_opt_y,pos_opt_z,pos_world_x,pos_world_y,pos_world_z,pos_smooth_x,pos_smooth_y,pos_smooth_z,vel_x,vel_y,vel_z,qx,qy,qz,qw
3499658698.616282,1,0.706769,0.523479,-1.402562,2.185562,-0.706769,1.098479,2.187967,-0.697888,1.109594,0.525388,0.349528,0.586781,-0.917756,-0.367295,-0.057568,-0.139656
3499658698.668731,1,0.709654,0.545013,-1.401894,2.184894,-0.709654,1.120013,2.187096,-0.699392,1.103092,0.119969,-0.035575,-0.297356,-0.826227,0.233086,0.185232,-0.478235
3499658699.144984,1,0.682107,0.536659,-1.396151,2.179151,-0.682107,1.111659,2.181377,-0.697973,1.099453,-0.565885,0.278603,-0.203678,-0.411995,0.073325,0.490299,0.764520
3499658699.164112,1,0.701916,0.529546,-1.388881,2.171881,-0.701916,1.104546,2.181474,-0.691155,1.104135,-0.596372,0.698868,0.203200,0.319767,0.359819,0.703275,0.523148
3499658699.265416,1,0.701550,0.522007,-1.400496,2.183496,-0.701550,1.097007,2.177767,-0.688263,1.108267,-0.652509,0.893844,0.683109,-0.920062,-0.332933,-0.088569,-0.186542
3499658699.326158,1,0.688198,0.545559,-1.401093,2.184093,-0.688198,1.120559,2.177887,-0.690597,1.106236,-0.232699,0.491735,0.452146,-0.463585,0.140260,0.437749,0.757491
3499658699.343576,1,0.704149,0.528582,-1.418566,2.201566,-0.704149,1.103582,2.176502,-0.690911,1.108006,-0.331477,0.016323,0.258065,-0.715957,-0.428265,-0.511994,-0.204589
3499658699.359911,1,0.697657,0.523661,-1.395882,2.178882,-0.697657,1.098661,2.183051,-0.697865,1.107445,0.352312,-0.640120,-0.054781,0.013068,-0.152311,0.931697,0.329501
3499658699.375009,1,0.702767,0.522451,-1.398585,2.181585,-0.702767,1.097451,2.187135,-0.699074,1.106612,0.616557,-0.565087,0.025073,-0.916075,-0.349508,-0.056791,-0.188218
3499658699.430806,1,0.703712,0.529717,-1.419697,2.202697,-0.703712,1.104717,2.187376,-0.697422,1.105011,0.724950,-0.434103,-0.199670,-0.720567,-0.451030,-0.495843,-0.177468
3499658699.504116,1,0.701087,0.526266,-1.398277,2.181277,-0.701087,1.101266,2.189614,-0.699788,1.103624,0.437543,-0.128228,-0.254742,-0.996786,0.076735,0.021165,-0.008998
3499658699.603457,1,0.709616,0.544981,-1.401881,2.184881,-0.709616,1.119981,2.186197,-0.698418,1.100985,-0.078583,-0.066417,-0.268448,-0.826266,0.232533,0.185132,-0.478476
3499658699.639326,1,0.704239,0.528597,-1.418537,2.201537,-0.704239,1.103597,2.186874,-0.698462,1.108473,-0.182696,0.088374,0.323283,-0.714894,-0.432145,-0.510423,-0.204072
3499658699.655174,1,0.702270,0.521988,-1.399556,2.182556,-0.702270,1.096988,2.188833,-0.698407,1.112954,-0.027110,0.419639,1.038680,-0.902512,-0.371432,-0.082695,-0.201674
3499658699.824887,1,0.703629,0.529635,-1.419470,2.202470,-0.703629,1.104635,2.180565,-0.695335,1.099163,-0.446103,0.325823,-0.825438,-0.721815,-0.452019,-0.491826,-0.181023
3499658699.862855,1,0.684312,0.541532,-1.398041,2.181041,-0.684312,1.116532,2.180391,-0.697110,1.101286,-0.603510,0.427360,-0.410989,-0.423197,-0.002256,0.430829,0.797048
3499658699.986998,1,0.689652,0.539188,-1.397903,2.180903,-0.689652,1.114188,2.185165,-0.695946,1.105803,-0.155056,0.385875,0.304735,-0.720254,-0.131340,0.109598,0.672289
