pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,eep_vel_x,eep_vel_y,eep_vel_z,ee_vel_offset_x,ee_vel_offset_y,ee_vel_offset_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.71451,-0.989351,-1.87049,-1.10177,1.99246,1.0645,-0.941536,1.71451,-0.989351,-1.87049,-1.10177,1.99246,1.0645,-0.941536,1.78082,-1.07176,-1.81836,-1.11984,1.93717,1.11684,-0.916285,0,3.5953e-05,0,0,0,0,3.5953e-05,0,3.5953e-05,0,0,0,0,3.5953e-05,0.544559,-0.455279,0.711779,0.572951,0.179244,0.151742,0.785222,-2.31996e-06,1.08832e-05,1.99333e-05,-2.78678e-06,1.30731e-05,2.00912e-05,2.97371,-0.485583,0.316622,-3.52283,0.025332,5.35386,-3.52283,0.0580384,5.35386,-0.66312,0.824123,-0.521296,0.180779,0.552833,-0.523371,-0.252515,1
1.71153,-0.990629,-1.87072,-1.12,1.99353,1.06934,-0.953734,1.71153,-0.990629,-1.87072,-1.12,1.99353,1.06934,-0.953734,1.78082,-1.07176,-1.81836,-1.11984,1.93717,1.11684,-0.916285,-1.1977e-05,1.1977e-05,4.79518e-05,3.5953e-05,0,0,0,-1.1977e-05,1.1977e-05,4.79518e-05,3.5953e-05,0,0,0,0.544558,-0.45528,0.711779,0.572951,0.179244,0.151742,0.785222,-1.41324e-05,-6.30984e-06,3.22991e-05,-1.79377e-05,-6.43284e-06,3.42514e-05,2.93952,-0.48542,0.369515,-3.41876,0.0162989,5.28932,-3.41876,0.0590186,5.28932,-0.692905,0.811339,-0.523518,-0.001579,0.563543,-0.474997,-0.374491,1
1.71254,-0.991193,-1.86839,-1.10382,1.99018,1.08639,-0.96241,1.71254,-0.991193,-1.86839,-1.10382,1.99018,1.08639,-0.96241,1.78078,-1.07171,-1.81841,-1.1198,1.93727,1.11671,-0.916409,-0.00751393,0.00781353,-0.0165379,0.00480557,0.0184457,-0.0260531,-0.0248308,-0.00751393,0.00781353,-0.0165379,0.00480557,0.0184457,-0.0260531,-0.0248308,0.544546,-0.455336,0.711796,0.573039,0.1793,0.151749,0.785143,-0.001776,-0.00941649,-0.00140383,9.34123e-05,-0.0110494,-0.0023007,2.90545,-0.485412,0.421053,-3.40734,0.000789762,5.15377,-3.40734,0.0489703,5.15377,-0.682403,0.805146,-0.499766,0.159719,0.529185,-0.303199,-0.460003,1
1.71266,-0.992023,-1.87195,-1.13327,1.99617,1.08976,-0.95253,1.71266,-0.992023,-1.87195,-1.13327,1.99617,1.08976,-0.95253,1.78023,-1.07157,-1.82059,-1.11876,1.94031,1.11356,-0.918728,-0.0679522,0.0198224,-0.301099,0.131614,0.444655,-0.442253,-0.305414,-0.0679522,0.0198224,-0.301099,0.131614,0.444655,-0.442253,-0.305414,0.544673,-0.457106,0.711139,0.574587,0.18158,0.15142,0.78355,-0.00766449,-0.199143,-0.0791565,0.0223653,-0.24064,-0.093323,2.87096,-0.485043,0.471838,-3.44853,0.0369251,5.07852,-3.44853,0.0377218,5.07852,-0.675695,0.795428,-0.513604,-0.145025,0.558612,-0.237912,-0.338014,1
1.71636,-0.989232,-1.85336,-1.14677,2.00849,1.06834,-0.952005,1.71636,-0.989232,-1.85336,-1.14677,2.00849,1.06834,-0.952005,1.7802,-1.07045,-1.8258,-1.11742,1.94934,1.10613,-0.923074,0.0240769,0.152395,-0.599358,0.107261,1.0426,-0.820892,-0.485829,0.0240769,0.152395,-0.599358,0.107261,1.0426,-0.820892,-0.485829,0.545579,-0.46022,0.70977,0.576816,0.187149,0.150262,0.78082,0.0610362,-0.239795,-0.126355,0.11642,-0.315451,-0.153896,2.83662,-0.484567,0.521315,-3.43406,0.0476032,4.9477,-3.43406,0.0281222,4.9477,-0.638449,0.812218,-0.275612,-0.293506,0.591418,-0.37788,-0.289312,1
1.7257,-0.984651,-1.8231,-1.16108,2.02521,1.04883,-0.946993,1.7257,-0.984651,-1.8231,-1.16108,2.02521,1.04883,-0.946993,1.78027,-1.06738,-1.83438,-1.11716,1.96249,1.09746,-0.929758,-0.019343,0.363479,-0.931593,0.0221953,1.37632,-0.8335,-0.726634,-0.019343,0.363479,-0.931593,0.0221953,1.37632,-0.8335,-0.726634,0.54685,-0.463595,0.707937,0.579824,0.194291,0.149366,0.77701,0.0404272,-0.26891,-0.142253,0.106781,-0.353218,-0.177432,2.80187,-0.484122,0.569838,-3.47559,0.0445336,4.85231,-3.47559,0.0269784,4.85231,-0.545635,0.827252,0.112831,-0.43915,0.627264,-0.48634,-0.17235,1
1.72691,-0.979816,-1.82567,-1.16818,2.04116,1.04751,-0.963331,1.72691,-0.979816,-1.82567,-1.16818,2.04116,1.04751,-0.963331,1.77939,-1.06262,-1.84474,-1.11824,1.97596,1.09119,-0.937623,-0.0982851,0.499395,-1.05349,-0.179217,1.31285,-0.570068,-0.779066,-0.0982851,0.499395,-1.05349,-0.179217,1.31285,-0.570068,-0.779066,0.547507,-0.466646,0.706225,0.583607,0.20052,0.149262,0.772603,0.00105268,-0.206019,-0.145359,0.063169,-0.272171,-0.17998,2.76717,-0.483735,0.617262,-3.46918,0.0386506,4.7424,-3.46918,0.0320941,4.7424,-0.524865,0.828052,0.190631,-0.499411,0.652004,-0.436882,-0.257085,1
1.73229,-0.974794,-1.84635,-1.16537,2.05263,1.06234,-0.980221,1.73229,-0.974794,-1.84635,-1.16537,2.05263,1.06234,-0.980221,1.77748,-1.0571,-1.85375,-1.12191,1.98803,1.08551,-0.944325,-0.240853,0.570691,-0.818279,-0.414017,1.17324,-0.589423,-0.625316,-0.240853,0.570691,-0.818279,-0.414017,1.17324,-0.589423,-0.625316,0.547924,-0.468535,0.70477,0.58637,0.206186,0.149816,0.768903,-0.0373002,-0.119197,-0.0859074,0.022077,-0.173413,-0.120247,2.73296,-0.483418,0.663404,-3.42159,0.0317246,4.61421,-3.42159,0.036723,4.61421,-0.451956,0.823033,0.0740656,-0.43458,0.645962,-0.231695,-0.358959,1
1.7213,-0.969786,-1.88882,-1.14507,2.05886,1.07873,-0.985889,1.7213,-0.969786,-1.88882,-1.14507,2.05886,1.07873,-0.985889,1.77335,-1.05153,-1.85894,-1.12793,1.99934,1.0778,-0.948677,-0.463717,0.538992,-0.407522,-0.678156,1.12493,-0.834506,-0.377524,-0.463717,0.538992,-0.407522,-0.678156,1.12493,-0.834506,-0.377524,0.54777,-0.470027,0.703921,0.587614,0.212262,0.149917,0.766276,-0.0838043,-0.0762347,-0.0446754,-0.0223185,-0.136332,-0.0816934,2.69885,-0.483078,0.70871,-3.41046,0.0340402,4.53064,-3.41046,0.0395943,4.53064,-0.520442,0.817459,-0.298767,-0.171347,0.5952,0.00926659,-0.372124,1
1.71003,-0.967003,-1.89064,-1.14437,2.06597,1.10124,-0.982478,1.71003,-0.967003,-1.89064,-1.14437,2.06597,1.10124,-0.982478,1.76751,-1.04694,-1.85937,-1.13628,2.0104,1.06775,-0.951641,-0.622248,0.431886,0.0734651,-0.885452,1.10518,-1.04873,-0.293417,-0.622248,0.431886,0.0734651,-0.885452,1.10518,-1.04873,-0.293417,0.547348,-0.471074,0.703416,0.587182,0.218952,0.148983,0.764906,-0.10759,-0.0253475,-0.00604959,-0.0500776,-0.0939382,-0.0424914,2.66459,-0.482767,0.753309,-3.42607,0.0310302,4.45983,-3.42607,0.0375364,4.45983,-0.574726,0.799409,-0.312699,-0.0809,0.555755,0.334964,-0.308375,1
1.69527,-0.962698,-1.8742,-1.14236,2.07776,1.08681,-0.985975,1.69527,-0.962698,-1.8742,-1.14236,2.07776,1.08681,-0.985975,1.76047,-1.0431,-1.85687,-1.14596,2.02152,1.05772,-0.955441,-0.724668,0.372958,0.276926,-0.983366,1.11882,-0.947832,-0.418967,-0.724668,0.372958,0.276926,-0.983366,1.11882,-0.947832,-0.418967,0.546458,-0.471912,0.703185,0.586449,0.2253,0.14725,0.76396,-0.150779,-0.0127603,0.00971469,-0.10529,-0.0826741,-0.0209953,2.62997,-0.482336,0.796893,-3.46255,0.0431031,4.35846,-3.46255,0.0359251,4.35846,-0.651982,0.804057,-0.173269,0.035989,0.562361,0.290891,-0.305349,1
1.68682,-0.956478,-1.83687,-1.1557,2.09201,1.07047,-0.997313,1.68682,-0.956478,-1.83687,-1.1557,2.09201,1.07047,-0.997313,1.75289,-1.03906,-1.85548,-1.15389,2.03315,1.05186,-0.961338,-0.762875,0.425379,0.070505,-0.695438,1.17809,-0.443631,-0.644588,-0.762875,0.425379,0.070505,-0.695438,1.17809,-0.443631,-0.644588,0.544368,-0.473625,0.70349,0.587689,0.229653,0.144961,0.762146,-0.265945,-0.14247,0.0688119,-0.249947,-0.209263,0.0552088,2.59586,-0.481987,0.839585,-3.41072,0.0349104,4.26922,-3.41072,0.0351873,4.26922,-0.660659,0.82579,0.186174,-0.0181508,0.588655,0.186071,-0.359748,1
1.68144,-0.952185,-1.82839,-1.15857,2.10493,1.08899,-1.01297,1.68144,-0.952185,-1.82839,-1.15857,2.10493,1.08899,-1.01297,1.7466,-1.03387,-1.85744,-1.15899,2.04457,1.05149,-0.968624,-0.564339,0.553925,-0.287401,-0.444901,1.12685,0.102923,-0.732722,-0.564339,0.553925,-0.287401,-0.444901,1.12685,0.102923,-0.732722,0.54164,-0.475596,0.704438,0.590954,0.231366,0.142993,0.759471,-0.266935,-0.137157,0.109154,-0.272444,-0.181833,0.109569,2.52697,-0.480941,0.92181,-3.46107,0.0471741,4.05641,-3.46107,0.0412102,4.05641,-0.65163,0.81688,0.290506,0.00419416,0.603626,0.374924,-0.443422,1
1.6809,-0.947879,-1.83679,-1.14582,2.1158,1.10211,-1.02551,1.6809,-0.947879,-1.83679,-1.14582,2.1158,1.10211,-1.02551,1.74205,-1.02686,-1.86305,-1.16142,2.05538,1.05518,-0.975456,-0.432354,0.747834,-0.646433,-0.179636,1.07264,0.423341,-0.664134,-0.432354,0.747834,-0.646433,-0.179636,1.07264,0.423341,-0.664134,0.538719,-0.477394,0.706125,0.595442,0.231003,0.141877,0.756278,-0.28482,-0.161575,0.177456,-0.300925,-0.1881,0.185362,2.52697,-0.480941,0.92181,-3.46107,0.0471741,4.05641,-3.46107,0.0412102,4.05641,-0.61156,0.78983,0.262586,0.156013,0.604214,0.469286,-0.500562,1
1.67916,-0.940179,-1.84083,-1.14039,2.12803,1.10755,-1.03742,1.67916,-0.940179,-1.84083,-1.14039,2.12803,1.10755,-1.03742,1.73798,-1.01829,-1.87001,-1.16332,2.06612,1.0588,-0.981966,-0.410314,0.895903,-0.667394,-0.191632,1.07926,0.313048,-0.655158,-0.410314,0.895903,-0.667394,-0.191632,1.07926,0.313048,-0.655158,0.535892,-0.478863,0.708312,0.600243,0.230402,0.141536,0.752723,-0.271512,-0.111083,0.241594,-0.281973,-0.131273,0.246424,2.49268,-0.480526,0.961172,-3.42839,0.0415921,3.93611,-3.42839,0.0436832,3.93611,-0.588153,0.781094,0.291804,0.229355,0.619116,0.48746,-0.554551,1
1.66997,-0.930974,-1.83263,-1.12989,2.13986,1.11114,-1.04844,1.66997,-0.930974,-1.83263,-1.12989,2.13986,1.11114,-1.04844,1.73259,-1.00896,-1.87398,-1.16584,2.07695,1.06146,-0.988614,-0.59299,0.919972,-0.28221,-0.273102,1.08368,0.279058,-0.676147,-0.59299,0.919972,-0.28221,-0.273102,1.08368,0.279058,-0.676147,0.532465,-0.479921,0.711789,0.604941,0.229268,0.140761,0.749446,-0.346877,-0.0817233,0.364242,-0.372224,-0.102694,0.377845,2.42502,-0.479891,1.03686,-3.38542,0.0410348,3.72806,-3.38542,0.0414193,3.72806,-0.626193,0.779844,0.413554,0.359453,0.629079,0.496778,-0.598247,1
