pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,eep_vel_x,eep_vel_y,eep_vel_z,ee_vel_offset_x,ee_vel_offset_y,ee_vel_offset_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.4887,-0.78809,-1.9536,-0.585171,1.91705,1.6534,-1.42075,1.4887,-0.78809,-1.9536,-0.585171,1.91705,1.6534,-1.42075,1.57154,-0.838749,-1.87444,-0.649031,1.96122,1.60419,-1.37421,-0.926799,0.646301,-1.34089,1.06979,-0.941216,1.0328,-0.844525,-0.926799,0.646301,-1.34089,1.06979,-0.941216,1.0328,-0.844525,0.22554,-0.495957,0.915585,0.885298,-0.245551,0.0884267,0.38488,-0.74266,-0.00279495,0.248083,-0.661632,0.0957555,0.193756,1.44349,-0.552806,1.61759,-2.98097,-0.0640452,0.411153,-2.98097,-0.0849898,0.411153,-0.828342,0.506586,-0.791609,0.638599,-0.44178,0.492102,-0.465425,1
1.47969,-0.783876,-1.96662,-0.576049,1.91241,1.6614,-1.43089,1.47969,-0.783876,-1.96662,-0.576049,1.91241,1.6614,-1.43089,1.56257,-0.832446,-1.88763,-0.638495,1.95179,1.61446,-1.38254,-0.882588,0.618281,-1.32217,1.02964,-0.953661,1.02846,-0.830479,-0.882588,0.618281,-1.32217,1.02964,-0.953661,1.02846,-0.830479,0.21915,-0.494918,0.917439,0.888673,-0.254173,0.0971617,0.369076,-0.702769,0.0142635,0.228374,-0.619161,0.108065,0.1722,1.41321,-0.553175,1.62113,-3.02824,-0.0369191,0.354707,-3.02824,-0.0839101,0.354707,-0.828848,0.485703,-0.789939,0.624459,-0.393758,0.469337,-0.483454,1
1.47036,-0.780297,-1.97956,-0.567069,1.91252,1.66609,-1.44092,1.47036,-0.780297,-1.97956,-0.567069,1.91252,1.66609,-1.44092,1.55371,-0.826878,-1.90137,-0.627672,1.94234,1.62455,-1.3908,-0.892931,0.539687,-1.38528,1.10504,-0.938168,1.00327,-0.826632,-0.892931,0.539687,-1.38528,1.10504,-0.938168,1.00327,-0.826632,0.212844,-0.494278,0.918891,0.891773,-0.262309,0.106045,0.353114,-0.727701,-0.0322445,0.196286,-0.638147,0.0549146,0.13955,1.38285,-0.553674,1.62367,-3.03576,-0.0498712,0.253296,-3.03576,-0.0769441,0.253296,-0.833499,0.465806,-0.781905,0.606027,-0.298158,0.415464,-0.501236,1
1.46185,-0.774602,-1.99259,-0.558694,1.92006,1.67068,-1.44977,1.46185,-0.774602,-1.99259,-0.558694,1.92006,1.67068,-1.44977,1.54529,-0.821267,-1.91502,-0.617155,1.93318,1.63442,-1.39917,-0.815679,0.565717,-1.35716,1.02703,-0.90789,0.986075,-0.840606,-0.815679,0.565717,-1.35716,1.02703,-0.90789,0.986075,-0.840606,0.20689,-0.493421,0.920329,0.894371,-0.270271,0.114827,0.337445,-0.662379,0.0182678,0.200564,-0.573234,0.10092,0.142062,1.35278,-0.554428,1.62534,-3.00683,-0.0754118,0.16706,-3.00683,-0.0690969,0.16706,-0.834435,0.466655,-0.775661,0.584614,-0.131137,0.362519,-0.505966,1
1.45301,-0.762437,-2.00357,-0.549586,1.94004,1.66907,-1.45571,1.45301,-0.762437,-2.00357,-0.549586,1.94004,1.66907,-1.45571,1.53713,-0.815636,-1.92863,-0.606743,1.92471,1.64407,-1.40769,-0.833919,0.558299,-1.37093,1.0598,-0.823922,0.952434,-0.857157,-0.833919,0.558299,-1.37093,1.0598,-0.823922,0.952434,-0.857157,0.201064,-0.492455,0.921804,0.896574,-0.278044,0.123301,0.321935,-0.686083,0.0140389,0.208011,-0.595762,0.090716,0.14897,1.32275,-0.55575,1.62615,-3.00317,-0.132197,0.0813603,-3.00317,-0.0705644,0.0813603,-0.841109,0.531997,-0.749368,0.571575,0.153248,0.250044,-0.480175,1
1.44415,-0.751394,-2.01336,-0.54179,1.95335,1.64504,-1.45672,1.44415,-0.751394,-2.01336,-0.54179,1.95335,1.64504,-1.45672,1.52858,-0.810383,-1.94227,-0.596631,1.91738,1.65325,-1.4165,-0.844897,0.517432,-1.35063,0.993133,-0.696119,0.90712,-0.889995,-0.844897,0.517432,-1.35063,0.993133,-0.696119,0.90712,-0.889995,0.195072,-0.491803,0.923119,0.89863,-0.285231,0.131336,0.306365,-0.680239,-0.000182978,0.185343,-0.591817,0.0671527,0.128846,1.29237,-0.556425,1.62565,-3.03777,-0.0675857,-0.0503063,-3.03777,-0.071149,-0.0503063,-0.844206,0.589893,-0.710822,0.548409,0.359753,-0.0821163,-0.402188,1
1.43542,-0.743725,-2.02234,-0.541983,1.95478,1.62163,-1.45986,1.43542,-0.743725,-2.02234,-0.541983,1.95478,1.62163,-1.45986,1.5201,-0.805214,-1.95565,-0.586747,1.912,1.66169,-1.42554,-0.868458,0.513513,-1.34529,0.997891,-0.461797,0.815367,-0.906641,-0.868458,0.513513,-1.34529,0.997891,-0.461797,0.815367,-0.906641,0.188985,-0.491234,0.924563,0.900518,-0.291872,0.138403,0.29107,-0.71203,-0.00934269,0.20302,-0.628439,0.0481147,0.150617,1.26208,-0.55738,1.62407,-3.02956,-0.0954568,-0.157714,-3.02956,-0.0796452,-0.157714,-0.846771,0.614887,-0.666865,0.447637,0.427796,-0.400589,-0.343229,1
1.4254,-0.736884,-2.02544,-0.538639,1.95754,1.61351,-1.46565,1.4254,-0.736884,-2.02544,-0.538639,1.95754,1.61351,-1.46565,1.5109,-0.80005,-1.96918,-0.576979,1.91041,1.66898,-1.43461,-0.917044,0.529284,-1.34311,0.969056,-0.045848,0.688858,-0.905167,-0.917044,0.529284,-1.34311,0.969056,-0.045848,0.688858,-0.905167,0.182159,-0.491043,0.926291,0.902564,-0.297612,0.143975,0.275818,-0.764017,-0.0190147,0.23452,-0.691322,0.0257261,0.190308,1.23161,-0.557547,1.62199,-3.0468,-0.016731,-0.208259,-3.0468,-0.0804588,-0.208259,-0.854988,0.631662,-0.562541,0.383394,0.471333,-0.554762,-0.310363,1
1.41678,-0.731726,-2.01349,-0.545089,1.96205,1.61002,-1.46254,1.41678,-0.731726,-2.01349,-0.545089,1.96205,1.61002,-1.46254,1.50213,-0.794701,-1.98209,-0.567593,1.91358,1.67383,-1.44336,-0.873444,0.528841,-1.28426,0.934373,0.438058,0.37925,-0.858883,-0.873444,0.528841,-1.28426,0.934373,0.438058,0.37925,-0.858883,0.175129,-0.490957,0.928654,0.904803,-0.302028,0.147273,0.261574,-0.766583,-0.0295013,0.280926,-0.709771,-0.00310755,0.251704,1.20116,-0.558909,1.6186,-3.04465,-0.136203,-0.338733,-3.04465,-0.084205,-0.338733,-0.853573,0.629748,-0.31397,0.225036,0.484708,-0.638089,-0.191821,1
1.40806,-0.725857,-2.00624,-0.555629,1.97153,1.60465,-1.46345,1.40806,-0.725857,-2.00624,-0.555629,1.97153,1.60465,-1.46345,1.49301,-0.789843,-1.99511,-0.558752,1.92102,1.6738,-1.45099,-0.91648,0.473185,-1.2964,0.869118,0.835638,-0.132309,-0.727221,-0.91648,0.473185,-1.2964,0.869118,0.835638,-0.132309,-0.727221,0.167827,-0.491869,0.931385,0.907797,-0.303496,0.149143,0.248094,-0.786841,-0.109451,0.292581,-0.73378,-0.109223,0.284127,1.17086,-0.559492,1.61394,-3.03067,-0.0582933,-0.465798,-3.03067,-0.0808407,-0.465798,-0.849502,0.639858,-0.111283,0.0312288,0.505139,-0.691459,-0.124579,1
