pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,eep_vel_x,eep_vel_y,eep_vel_z,ee_vel_offset_x,ee_vel_offset_y,ee_vel_offset_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.83407,-1.05623,-1.7842,-1.06577,2.009,1.18125,-0.980707,1.83407,-1.05623,-1.7842,-1.06577,2.009,1.18125,-0.980707,1.78094,-1.07201,-1.81506,-1.11975,1.93713,1.11684,-0.9163,8.39048e-05,0,1.1977e-05,-3.5953e-05,0,0,2.39541e-05,8.39048e-05,0,1.1977e-05,-3.5953e-05,0,0,2.39541e-05,0.533638,-0.455473,0.691995,0.572464,0.178239,0.150766,0.785993,4.34077e-05,5.81244e-05,-4.2666e-06,4.35487e-05,6.03578e-05,-4.4208e-06,2.98932,-0.522816,0.343583,-3.07405,0.147003,5.39693,-3.07405,0.132564,5.19693,0.531268,0.157869,0.308515,0.539761,0.718671,0.644155,-0.644072,1
1.82733,-1.06714,-1.79009,-1.07112,2.01085,1.18093,-0.979259,1.82733,-1.06714,-1.79009,-1.07112,2.01085,1.18093,-0.979259,1.78094,-1.07201,-1.81506,-1.11975,1.93713,1.11684,-0.9163,4.793e-05,0,-2.39541e-05,-2.39541e-05,0,0,2.39541e-05,4.793e-05,0,-2.39541e-05,-2.39541e-05,0,0,2.39541e-05,0.533638,-0.455473,0.691994,0.572463,0.178239,0.150766,0.785994,2.68138e-05,2.86259e-05,-1.42278e-05,2.80797e-05,2.98668e-05,-1.4917e-05,2.95714,-0.521112,0.396184,-3.21815,0.170404,5.26017,-3.21815,0.156671,5.06017,0.463878,0.048746,0.249619,0.486279,0.737143,0.640886,-0.629584,1
1.81878,-1.0623,-1.79214,-1.07552,2.01063,1.18147,-0.977164,1.81878,-1.0623,-1.79214,-1.07552,2.01063,1.18147,-0.977164,1.78095,-1.072,-1.81505,-1.11978,1.93713,1.11684,-0.916301,0.00143807,0.00190544,0.000778944,-0.00587214,-0.000115049,7.18841e-05,-5.99071e-05,0.00143807,0.00190544,0.000778944,-0.00587214,-0.000115049,7.18841e-05,-5.99071e-05,0.533645,-0.455454,0.691994,0.57245,0.178239,0.150774,0.786002,0.00141323,0.00357835,-5.98318e-05,0.00147991,0.00376481,-0.000100615,2.92423,-0.519038,0.44719,-3.29108,0.207454,5.10052,-3.29108,0.170155,4.90052,0.378339,0.0970358,0.229141,0.442549,0.734987,0.646348,-0.608631,1
1.83163,-1.04942,-1.77208,-1.06324,2.01077,1.18142,-0.981357,1.83163,-1.04942,-1.77208,-1.06324,2.01077,1.18142,-0.981357,1.78098,-1.07161,-1.81437,-1.11936,1.93805,1.11784,-0.917413,0.000922756,0.0611181,0.117239,0.0831926,0.164573,0.176236,-0.197256,0.000922756,0.0611181,0.117239,0.0831926,0.164573,0.176236,-0.197256,0.533315,-0.4554,0.692665,0.572939,0.1774,0.150191,0.785947,-0.0464757,0.00151628,0.107944,-0.0618227,-0.000355561,0.115772,2.89256,-0.517498,0.49742,-3.16722,0.153929,5.02309,-3.16722,0.172927,4.82309,0.506524,0.221946,0.422949,0.561246,0.727265,0.635783,-0.639437,1
1.73072,-1.048,-1.75659,-1.04782,2.0172,1.1864,-0.995099,1.73072,-1.048,-1.75659,-1.04782,2.0172,1.1864,-0.995099,1.78096,-1.07121,-1.81217,-1.11694,1.9445,1.12356,-0.924261,0.00819703,0.00854457,0.232021,0.288106,0.829673,0.702727,-0.849878,0.00819703,0.00854457,0.232021,0.288106,0.829673,0.702727,-0.849878,0.531528,-0.456348,0.6949,0.575992,0.173961,0.146158,0.785244,-0.156846,-0.110767,0.207746,-0.209049,-0.134676,0.234228,2.86156,-0.515406,0.546666,-3.09918,0.209254,4.92452,-3.09918,0.173076,4.72452,-0.502438,0.232058,0.555828,0.691207,0.726972,0.628362,-0.708378,1
1.7188,-1.0349,-1.75596,-1.03927,2.02778,1.18759,-1.00748,1.7188,-1.0349,-1.75596,-1.03927,2.02778,1.18759,-1.00748,1.78223,-1.07226,-1.80935,-1.11219,1.95801,1.13393,-0.936499,0.176416,-0.136737,0.299335,0.546181,1.50311,1.12964,-1.31708,0.176416,-0.136737,0.299335,0.546181,1.50311,1.12964,-1.31708,0.52894,-0.458629,0.697596,0.580931,0.16896,0.137744,0.784219,-0.186116,-0.204507,0.241334,-0.270877,-0.254247,0.282229,2.83029,-0.513294,0.594783,-3.127,0.211197,4.81175,-3.127,0.183614,4.61175,-0.634294,0.373598,0.533903,0.729239,0.697714,0.536602,-0.709826,1
1.70797,-1.03343,-1.74498,-1.03024,2.0432,1.20344,-1.02358,1.70797,-1.03343,-1.74498,-1.03024,2.0432,1.20344,-1.02358,1.78556,-1.07409,-1.80602,-1.105,1.97545,1.14629,-0.950343,0.380814,-0.182647,0.357445,0.766446,1.77861,1.2513,-1.37775,0.380814,-0.182647,0.357445,0.766446,1.77861,1.2513,-1.37775,0.526343,-0.461391,0.700776,0.586233,0.163197,0.12664,0.783364,-0.154749,-0.210031,0.289321,-0.255326,-0.270185,0.334228,2.79874,-0.51181,0.641902,-3.15564,0.148362,4.71185,-3.15564,0.186738,4.51185,-0.775859,0.406603,0.610419,0.747676,0.677498,0.571515,-0.732339,1
1.71108,-1.03265,-1.74011,-1.02196,2.06059,1.21355,-1.0357,1.71108,-1.03265,-1.74011,-1.02196,2.06059,1.21355,-1.0357,1.78994,-1.07535,-1.80096,-1.09606,1.99212,1.15818,-0.963201,0.440027,-0.106993,0.562287,0.927714,1.60374,1.16001,-1.2554,0.440027,-0.106993,0.562287,0.927714,1.60374,1.16001,-1.2554,0.523749,-0.463681,0.70515,0.591202,0.156594,0.115229,0.782739,-0.160434,-0.164562,0.422738,-0.267912,-0.217533,0.466808,2.7679,-0.510478,0.687813,-3.08359,0.133246,4.59116,-3.08359,0.180581,4.39116,-0.788562,0.427037,0.608461,0.741069,0.684662,0.553736,-0.724973,1
1.71263,-1.02589,-1.73417,-1.01152,2.07234,1.2234,-1.0466,1.71263,-1.02589,-1.73417,-1.01152,2.07234,1.2234,-1.0466,1.79395,-1.07617,-1.7938,-1.08602,2.00585,1.16871,-0.975117,0.38671,-0.0840914,0.761772,1.03612,1.29622,1.01394,-1.17744,0.38671,-0.0840914,0.761772,1.03612,1.29622,1.01394,-1.17744,0.520807,-0.465711,0.710516,0.596185,0.149338,0.104472,0.781887,-0.197572,-0.162691,0.507564,-0.306207,-0.20745,0.548531,2.73637,-0.509065,0.73315,-3.15354,0.141239,4.53368,-3.15354,0.169834,4.33368,-0.813222,0.502869,0.596284,0.744986,0.664866,0.546882,-0.714827,1
1.71525,-1.02289,-1.72647,-0.999874,2.08273,1.23057,-1.0574,1.71525,-1.02289,-1.72647,-0.999874,2.08273,1.23057,-1.0574,1.79745,-1.07713,-1.7853,-1.07476,2.01728,1.17758,-0.986758,0.339385,-0.0946372,0.872611,1.14798,1.10118,0.859165,-1.16515,0.339385,-0.0946372,0.872611,1.14798,1.10118,0.859165,-1.16515,0.51754,-0.468045,0.716289,0.601524,0.142069,0.09419,0.780457,-0.230113,-0.198054,0.544435,-0.337406,-0.240311,0.581532,2.70518,-0.507888,0.777196,-3.11906,0.117707,4.40455,-3.11906,0.158311,4.20455,-0.821993,0.542366,0.58832,0.748881,0.65449,0.529928,-0.706437,1
1.71826,-1.01976,-1.71829,-0.987927,2.09233,1.23871,-1.0684,1.71826,-1.01976,-1.71829,-0.987927,2.09233,1.23871,-1.0684,1.80072,-1.07766,-1.77635,-1.06323,2.0277,1.18574,-0.998801,0.325928,-0.0337588,0.89622,1.16295,1.03639,0.817365,-1.22042,0.325928,-0.0337588,0.89622,1.16295,1.03639,0.817365,-1.22042,0.51408,-0.470296,0.722328,0.607133,0.134735,0.0842902,0.778544,-0.247809,-0.183878,0.576627,-0.355292,-0.222551,0.610644,2.67388,-0.50664,0.820376,-3.12946,0.124854,4.31803,-3.12946,0.142336,4.11803,-0.824601,0.579015,0.580618,0.753056,0.64625,0.529669,-0.695981,1
1.72175,-1.01779,-1.70842,-0.976484,2.10319,1.24825,-1.08045,1.72175,-1.01779,-1.70842,-0.976484,2.10319,1.24825,-1.08045,1.80392,-1.07731,-1.76733,-1.05163,2.03849,1.19408,-1.0114,0.318414,0.0555216,0.900846,1.14563,1.09924,0.841896,-1.26988,0.318414,0.0555216,0.900846,1.14563,1.09924,0.841896,-1.26988,0.510339,-0.472347,0.728782,0.612937,0.127124,0.0743259,0.776288,-0.270355,-0.159661,0.615214,-0.381314,-0.197288,0.647085,2.64266,-0.505104,0.862354,-3.12231,0.153577,4.19778,-3.12231,0.133928,3.99778,-0.821679,0.59526,0.589136,0.751489,0.647037,0.541732,-0.690511,1
1.72511,-1.0157,-1.6985,-0.965686,2.11509,1.25849,-1.09283,1.72511,-1.0157,-1.6985,-0.965686,2.11509,1.25849,-1.09283,1.80695,-1.07601,-1.75868,-1.0402,2.05019,1.2027,-1.02425,0.29441,0.15856,0.853557,1.14966,1.19055,0.865265,-1.28651,0.29441,0.15856,0.853557,1.14966,1.19055,0.865265,-1.28651,0.506307,-0.474271,0.7355,0.618788,0.119429,0.0641826,0.773769,-0.303132,-0.15638,0.64945,-0.416686,-0.193655,0.678726,2.6118,-0.503911,0.90316,-3.08614,0.119328,4.08064,-3.08614,0.131685,3.88064,-0.818425,0.603136,0.601742,0.745134,0.648942,0.557809,-0.685789,1
1.72771,-1.01231,-1.69074,-0.954788,2.12628,1.26875,-1.1051,1.72771,-1.01231,-1.69074,-0.954788,2.12628,1.26875,-1.1051,1.80959,-1.07364,-1.75053,-1.02907,2.06249,1.21148,-1.03701,0.257164,0.255294,0.80053,1.09407,1.23475,0.876776,-1.27143,0.257164,0.255294,0.80053,1.09407,1.23475,0.876776,-1.27143,0.501957,-0.476043,0.742467,0.624624,0.111692,0.0541113,0.771001,-0.326425,-0.135121,0.665539,-0.43974,-0.170025,0.691559,2.5808,-0.502713,0.943025,-3.09989,0.119805,3.98654,-3.09989,0.129961,3.78654,-0.818758,0.613331,0.597931,0.742872,0.637988,0.572712,-0.68097,1
1.72974,-1.00737,-1.68455,-0.943741,2.13652,1.27808,-1.11668,1.72974,-1.00737,-1.68455,-0.943741,2.13652,1.27808,-1.11668,1.81191,-1.07044,-1.74275,-1.01811,2.07473,1.22003,-1.04946,0.218921,0.343632,0.775638,1.10231,1.22002,0.849307,-1.23671,0.218921,0.343632,0.775638,1.10231,1.22002,0.849307,-1.23671,0.497387,-0.477648,0.749612,0.630382,0.103988,0.0443203,0.768011,-0.357415,-0.127445,0.698881,-0.470523,-0.158823,0.721877,2.54958,-0.501414,0.982149,-3.1214,0.129819,3.9124,-3.1214,0.12869,3.7124,-0.821688,0.63077,0.582,0.743723,0.617959,0.580561,-0.67215,1
1.73128,-1.00278,-1.67769,-0.933227,2.14682,1.28678,-1.12848,1.73128,-1.00278,-1.67769,-0.933227,2.14682,1.28678,-1.12848,1.81351,-1.0667,-1.73507,-1.0074,2.08652,1.22851,-1.06172,0.142077,0.380209,0.766039,1.06261,1.16913,0.843986,-1.22356,0.142077,0.380209,0.766039,1.06261,1.16913,0.843986,-1.22356,0.492426,-0.479234,0.756848,0.636189,0.0962239,0.0348015,0.764718,-0.394934,-0.131525,0.698336,-0.507148,-0.159747,0.718284,2.51912,-0.500166,1.02034,-3.04682,0.124878,3.81952,-3.04682,0.128606,3.61952,-0.822344,0.63925,0.573831,0.741764,0.60302,0.58273,-0.667602,1
1.7317,-0.996787,-1.67071,-0.922708,2.15635,1.29541,-1.13954,1.7317,-0.996787,-1.67071,-0.922708,2.15635,1.29541,-1.13954,1.81414,-1.0625,-1.7271,-0.996693,2.09792,1.23706,-1.07388,0.0304407,0.435625,0.813437,1.07484,1.13356,0.863209,-1.21626,0.0304407,0.435625,0.813437,1.07484,1.13356,0.863209,-1.21626,0.48682,-0.48097,0.764319,0.642194,0.0882136,0.0253096,0.761028,-0.470214,-0.153172,0.737466,-0.586551,-0.178288,0.75529,2.48835,-0.498572,1.05754,-3.07698,0.159362,3.71964,-3.07698,0.130628,3.51964,-0.824402,0.65715,0.563884,0.739851,0.584373,0.583496,-0.656601,1
