ball_x,ball_y,ball_z
3.96957,-0.204749,0.399566
3.96957,-0.204749,0.399566
3.96957,-0.204749,0.399566
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
4.00304,-0.207952,0.255618
3.99724,-0.198961,0.166015
3.99724,-0.198961,0.166015
3.99724,-0.198961,0.166015
3.99936,-0.197519,0.15835
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
3.99926,-0.199369,0.155092
4.00445,-0.185525,0.0914397
4.00445,-0.185525,0.0914397
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
4.00736,-0.184191,0.0843352
3.98797,-0.18689,-0.0406844
3.97906,-0.188463,-0.0359333
3.96551,-0.187584,-0.0437798
3.96551,-0.187584,-0.0437799
3.94929,-0.19319,-0.0198384
3.94069,-0.194646,-0.0139223
3.93007,-0.196493,-0.00759384
3.90941,-0.199158,0.00615105
3.89926,-0.200946,0.0132771
3.88659,-0.201971,0.0216063
3.87648,-0.203928,0.0291412
3.86271,-0.212644,0.037205
3.85171,-0.213903,0.046423
3.84559,-0.212098,0.0629099
3.83361,-0.213562,0.0718795
3.82195,-0.214855,0.081488
3.79884,-0.218029,0.102588
3.78117,-0.222496,0.105711
3.77449,-0.220781,0.124359
3.76225,-0.222288,0.135997
3.74985,-0.223513,0.148184
3.73165,-0.228014,0.153013
3.71863,-0.229511,0.166371
3.71073,-0.228004,0.187896
3.69687,-0.229768,0.201818
3.68006,-0.234373,0.206188
3.66686,-0.229552,0.223649
3.6389,-0.234621,0.265128
3.6389,-0.234621,0.265128
3.60322,-0.250798,0.303239
3.60322,-0.250798,0.303239
3.60322,-0.250798,0.303239
3.57255,-0.242616,0.357328
3.57255,-0.242616,0.357327
3.57255,-0.242616,0.357327
3.57255,-0.242616,0.357327
3.57255,-0.242616,0.357327
3.46117,-0.264701,0.448708
3.45287,-0.26464,0.486734
3.43149,-0.272732,0.522646
3.43149,-0.272732,0.522646
3.39982,-0.272014,0.566917
3.37499,-0.275989,0.584839
3.36043,-0.273627,0.586298
3.34736,-0.275131,0.604892
3.3315,-0.28436,0.612704
3.31,-0.281286,0.639959
3.30956,-0.285499,0.656147
3.27468,-0.28994,0.696349
3.27468,-0.28994,0.696349
3.24265,-0.295847,0.731733
3.22206,-0.288114,0.746577
3.21419,-0.298879,0.762278
3.2066,-0.299218,0.769648
3.2066,-0.299218,0.769648
3.15862,-0.311131,0.814853
3.14264,-0.303274,0.825924
3.12067,-0.308129,0.831405
3.12067,-0.308129,0.831405
3.12067,-0.308129,0.831405
3.05032,-0.318534,0.894917
3.05054,-0.324884,0.923223
3.03372,-0.326601,0.938541
3.01619,-0.32953,0.952738
2.99707,-0.332354,0.966651
2.99707,-0.332354,0.966651
2.98855,-0.323822,0.971662
2.98855,-0.323822,0.971662
2.97137,-0.336107,0.993155
2.97137,-0.336107,0.993155
2.94418,-0.339641,1.00651
2.94418,-0.339641,1.00651
2.94418,-0.339641,1.00651
2.94418,-0.339641,1.00651
2.94418,-0.339641,1.00651
2.94418,-0.339641,1.00651
2.88859,-0.347328,1.06113
2.88859,-0.347328,1.06113
2.86426,-0.337808,1.06162
2.86426,-0.337808,1.06162
2.85472,-0.356448,1.08296
2.85472,-0.356448,1.08296
2.85472,-0.356448,1.08296
2.85472,-0.356448,1.08296
2.81852,-0.357466,1.11072
2.81852,-0.357466,1.11072
2.81852,-0.357466,1.11072
2.81852,-0.357466,1.11072
