action_0,action_1,action_2,action_3,action_4,action_5,action_6
0.262206,-0.66868,0.557603,0.467847,0.39787,0.735246,-0.292021
0.286052,-0.676945,0.549717,0.440143,0.359903,0.727811,-0.290515
0.314776,-0.682048,0.539999,0.402427,0.281766,0.718989,-0.29349
0.319581,-0.684305,0.527508,0.341452,0.199042,0.707704,-0.283427
0.332056,-0.688331,0.503827,0.276778,0.0917196,0.696498,-0.283343
0.325679,-0.701146,0.457062,0.233709,-0.0399749,0.683111,-0.285691
0.275811,-0.718457,0.333549,0.157993,-0.137767,0.6681,-0.294454
0.147892,-0.730872,0.162838,0.106155,-0.233186,0.655972,-0.266691
-0.113924,-0.732888,0.0154858,0.0721189,-0.28966,0.646078,-0.223496
-0.269336,-0.741686,-0.224093,-0.112692,-0.337604,0.63184,-0.200967
-0.424083,-0.747386,-0.382042,-0.196272,-0.382166,0.606376,-0.0842017
-0.499051,-0.758129,-0.483434,-0.28911,-0.401492,0.567679,-0.0384209
