pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,eep_vel_x,eep_vel_y,eep_vel_z,ee_vel_offset_x,ee_vel_offset_y,ee_vel_offset_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.40747,-0.704408,-2.1788,-0.860745,2.23535,1.63107,-1.24742,1.40747,-0.704408,-2.1788,-0.860745,2.23535,1.63107,-1.24742,1.48639,-0.773306,-2.12018,-0.920206,2.25084,1.57886,-1.205,-0.79582,0.714517,-0.981269,0.93858,-0.0479189,0.969092,-0.816278,-0.79582,0.714517,-0.981269,0.93858,-0.0479189,0.969092,-0.816278,0.239626,-0.542574,0.848942,0.863694,-0.0928862,0.108977,0.483249,-0.805619,0.000508376,0.453764,-0.796694,0.0803029,0.430734,1.08653,-1.8449,0.0570843,0.00101328,0.00468493,-0.000667572,0.00101328,0.00440904,-0.000667572,-0.789208,0.688982,-0.58625,0.594617,-0.154959,0.522106,-0.424194,1
1.39827,-0.699697,-2.19036,-0.850489,2.22877,1.64007,-1.25433,1.39827,-0.699697,-2.19036,-0.850489,2.22877,1.64007,-1.25433,1.47811,-0.766622,-2.1306,-0.910968,2.24941,1.58834,-1.21321,-0.851788,0.652593,-1.07366,0.931629,-0.170545,0.943925,-0.823648,-0.851788,0.652593,-1.07366,0.931629,-0.170545,0.943925,-0.823648,0.231659,-0.542033,0.852807,0.869345,-0.101196,0.1135,0.470231,-0.827539,-0.0317436,0.398724,-0.80659,0.0465824,0.373264,1.08653,-1.84493,0.0570987,0.000441074,-0.00287294,0.00144243,0.000441074,0.00305985,0.00144243,-0.798353,0.669254,-0.597519,0.604785,-0.206406,0.517332,-0.411192,1
1.38965,-0.694155,-2.20198,-0.84131,2.22602,1.64849,-1.26197,1.38965,-0.694155,-2.20198,-0.84131,2.22602,1.64849,-1.26197,1.46966,-0.759705,-2.14108,-0.901298,2.24696,1.59785,-1.22147,-0.824032,0.712803,-1.02076,0.975888,-0.268262,0.954843,-0.824979,-0.824032,0.712803,-1.02076,0.975888,-0.268262,0.954843,-0.824979,0.22369,-0.541119,0.856859,0.874742,-0.109843,0.11863,0.456824,-0.804392,0.0400304,0.451739,-0.780385,0.12501,0.422074,1.08652,-1.84489,0.0570795,-0.000607967,0.00386238,-0.00191927,-0.000607967,0.00160294,-0.00191927,-0.800183,0.6555,-0.609031,0.599881,-0.209352,0.506376,-0.405036,1
1.38116,-0.68911,-2.21292,-0.831236,2.22071,1.65727,-1.26975,1.38116,-0.68911,-2.21292,-0.831236,2.22071,1.65727,-1.26975,1.46151,-0.752816,-2.1514,-0.892003,2.2438,1.6073,-1.22957,-0.829425,0.666759,-1.05448,0.925637,-0.322527,0.944332,-0.805444,-0.829425,0.666759,-1.05448,0.925637,-0.322527,0.944332,-0.805444,0.216156,-0.539864,0.86077,0.879622,-0.118424,0.124122,0.443661,-0.788536,0.0345254,0.404586,-0.75749,0.116335,0.373165,1.08652,-1.84492,0.0570988,-0.000536442,-0.00247955,0.00193119,-0.000536442,0.000755702,0.00193119,-0.803574,0.637053,-0.61526,0.607662,-0.230948,0.499735,-0.401719,1
1.37211,-0.68417,-2.2244,-0.822318,2.21637,1.66571,-1.27748,1.37211,-0.68417,-2.2244,-0.822318,2.21637,1.66571,-1.27748,1.4529,-0.746215,-2.16217,-0.882415,2.24046,1.61674,-1.23748,-0.859806,0.670594,-1.0713,0.975228,-0.343064,0.944704,-0.785214,-0.859806,0.670594,-1.0713,0.975228,-0.343064,0.944704,-0.785214,0.208355,-0.538742,0.864511,0.88434,-0.126859,0.129846,0.430105,-0.812931,0.0475154,0.418386,-0.77794,0.130022,0.384187,1.08652,-1.8449,0.0571322,0.000333786,0.00213385,0.00333786,0.000333786,0.00045257,0.00333786,-0.807896,0.620455,-0.622322,0.600969,-0.240889,0.489687,-0.400023,1
1.36388,-0.677973,-2.23482,-0.813114,2.21405,1.67441,-1.2834,1.36388,-0.677973,-2.23482,-0.813114,2.21405,1.67441,-1.2834,1.44455,-0.739351,-2.17267,-0.872927,2.23657,1.6261,-1.24512,-0.831339,0.681467,-1.0518,0.943796,-0.401644,0.932986,-0.758141,-0.831339,0.681467,-1.0518,0.943796,-0.401644,0.932986,-0.758141,0.200914,-0.53715,0.868364,0.888533,-0.135421,0.135895,0.416777,-0.774527,0.0843626,0.416236,-0.735005,0.166687,0.379297,1.08652,-1.84487,0.0571045,-2.38419e-05,0.00288486,-0.00277162,-2.38419e-05,0.000975387,-0.00277162,-0.806618,0.613784,-0.621528,0.598128,-0.22518,0.483142,-0.382824,1
1.35482,-0.673237,-2.24637,-0.803783,2.20976,1.68314,-1.28999,1.35482,-0.673237,-2.24637,-0.803783,2.20976,1.68314,-1.28999,1.43593,-0.732715,-2.18359,-0.863294,2.2324,1.63544,-1.25261,-0.871605,0.662257,-1.10436,0.982444,-0.423733,0.930841,-0.747643,-0.871605,0.662257,-1.10436,0.982444,-0.423733,0.930841,-0.747643,0.193381,-0.535604,0.872034,0.892487,-0.143819,0.142231,0.403179,-0.804445,0.0784159,0.407945,-0.759058,0.159245,0.368432,1.08651,-1.84494,0.0570761,-0.00157356,-0.00702143,-0.00283718,-0.00157356,7.06741e-05,-0.00283718,-0.811132,0.594779,-0.627852,0.595102,-0.226338,0.476964,-0.373797,1
1.3463,-0.66821,-2.25782,-0.794772,2.20783,1.69119,-1.29525,1.3463,-0.66821,-2.25782,-0.794772,2.20783,1.69119,-1.29525,1.42737,-0.726223,-2.1945,-0.853713,2.22796,1.64465,-1.26007,-0.842184,0.646666,-1.08468,0.949956,-0.451344,0.913644,-0.744371,-0.842184,0.646666,-1.08468,0.949956,-0.451344,0.913644,-0.744371,0.186019,-0.533942,0.875586,0.896091,-0.152075,0.148727,0.389582,-0.769208,0.0985162,0.392665,-0.720664,0.176668,0.351386,1.08653,-1.84492,0.0570848,0.00245571,0.00129938,0.000864267,0.00245571,-6.81196e-05,0.000864267,-0.810692,0.580126,-0.633247,0.589401,-0.201308,0.465398,-0.351831,1
1.33786,-0.662593,-2.26956,-0.785421,2.20254,1.70028,-1.30183,1.33786,-0.662593,-2.26956,-0.785421,2.20254,1.70028,-1.30183,1.41893,-0.719643,-2.20555,-0.84397,2.2233,1.65363,-1.26749,-0.859093,0.659117,-1.12195,0.99583,-0.462715,0.892445,-0.739578,-0.859093,0.659117,-1.12195,0.99583,-0.462715,0.892445,-0.739578,0.178814,-0.532074,0.87918,0.899359,-0.160285,0.155457,0.375892,-0.783765,0.113119,0.406887,-0.730279,0.190148,0.362766,1.08652,-1.84491,0.0570964,-0.00113249,0.00171661,0.00116229,-0.00113249,-0.000355073,0.00116229,-0.810693,0.570499,-0.640145,0.585495,-0.207561,0.466485,-0.343462,1
1.32922,-0.65877,-2.28179,-0.775618,2.19915,1.71024,-1.30862,1.32922,-0.65877,-2.28179,-0.775618,2.19915,1.71024,-1.30862,1.4102,-0.71321,-2.21672,-0.834266,2.21886,1.66259,-1.27476,-0.85901,0.638073,-1.10123,0.958105,-0.439475,0.894686,-0.722908,-0.85901,0.638073,-1.10123,0.958105,-0.439475,0.894686,-0.722908,0.171507,-0.530204,0.88266,0.902356,-0.168323,0.162169,0.362107,-0.7699,0.123707,0.388614,-0.715432,0.197014,0.343506,1.08652,-1.84492,0.0571323,0.000584126,-0.00150204,0.00359416,0.000584126,-0.000336766,0.00359416,-0.809788,0.544405,-0.650741,0.586476,-0.197092,0.476444,-0.33857,1
1.32114,-0.655131,-2.29362,-0.765928,2.19554,1.72051,-1.3146,1.32114,-0.655131,-2.29362,-0.765928,2.19554,1.72051,-1.3146,1.40179,-0.707021,-2.22776,-0.824758,2.21456,1.67135,-1.28177,-0.85442,0.610642,-1.12484,0.969166,-0.422084,0.868393,-0.690527,-0.85442,0.610642,-1.12484,0.969166,-0.422084,0.868393,-0.690527,0.1645,-0.528267,0.885977,0.904944,-0.176094,0.168789,0.348679,-0.768258,0.121798,0.375583,-0.710945,0.190893,0.329471,1.08653,-1.84489,0.0571136,0.000143051,0.00362396,-0.00187159,0.000143051,-0.000178388,-0.00187159,-0.806531,0.518901,-0.658622,0.588306,-0.190152,0.491645,-0.328337,1
1.31254,-0.653227,-2.30613,-0.75702,2.1939,1.73035,-1.32138,1.31254,-0.653227,-2.30613,-0.75702,2.1939,1.73035,-1.32138,1.39287,-0.700884,-2.23913,-0.815055,2.21069,1.68012,-1.2884,-0.885015,0.621787,-1.12575,0.957865,-0.382087,0.873306,-0.655366,-0.885015,0.621787,-1.12575,0.957865,-0.382087,0.873306,-0.655366,0.15717,-0.526346,0.889277,0.907314,-0.183736,0.175413,0.335042,-0.778926,0.139875,0.379223,-0.720139,0.206489,0.331557,1.08653,-1.84492,0.0571054,0.000202656,-0.00290871,-0.000822544,0.000202656,-0.000138794,-0.000822544,-0.803256,0.476572,-0.670006,0.580349,-0.167964,0.502323,-0.329747,1
1.3051,-0.652228,-2.31819,-0.748223,2.19239,1.74003,-1.32704,1.3051,-0.652228,-2.31819,-0.748223,2.19239,1.74003,-1.32704,1.38439,-0.694697,-2.25016,-0.805703,2.20685,1.68881,-1.29479,-0.848595,0.608581,-1.10829,0.947631,-0.381933,0.871065,-0.635245,-0.848595,0.608581,-1.10829,0.947631,-0.381933,0.871065,-0.635245,0.150287,-0.524141,0.892537,0.909207,-0.191296,0.181989,0.321913,-0.748605,0.158657,0.371813,-0.689112,0.222986,0.322688,1.08655,-1.84492,0.057072,0.00203848,-0.000476837,-0.00333786,0.00203848,0.000329954,-0.00333786,-0.792966,0.424697,-0.680325,0.574798,-0.144644,0.512226,-0.322486,1
