ball_x,ball_y,ball_z
0.710522,0.591164,-1.54581
0.710616,0.591202,-1.54582
0.710548,0.591152,-1.54583
0.710565,0.591176,-1.54584
0.710588,0.591202,-1.54584
0.710485,0.591183,-1.54587
0.71048,0.591175,-1.54583
0.710588,0.591207,-1.54587
0.71054,0.591173,-1.54586
0.710533,0.591209,-1.54578
0.710473,0.591203,-1.54579
0.710513,0.591159,-1.54582
0.710533,0.591166,-1.54586
0.710593,0.591168,-1.54588
0.710595,0.591198,-1.5458
0.710596,0.591158,-1.54589
0.710528,0.591161,-1.54583
0.710547,0.591182,-1.54582
0.710594,0.591195,-1.54585
0.710607,0.591114,-1.54587
0.710593,0.591198,-1.54583
0.710521,0.591151,-1.54581
0.710595,0.591202,-1.54584
0.710548,0.59117,-1.54579
0.71058,0.591182,-1.54583
0.710522,0.591174,-1.54582
0.710562,0.591093,-1.54592
0.710563,0.591142,-1.54588
0.710521,0.591185,-1.54587
0.710512,0.591179,-1.54582
0.710556,0.591198,-1.54588
0.710509,0.591142,-1.54576
0.710562,0.59121,-1.54584
0.710502,0.591194,-1.54596
0.710624,0.591186,-1.5458
0.710465,0.591166,-1.54588
0.710569,0.591204,-1.54584
0.710565,0.591175,-1.54582
0.710543,0.591184,-1.54585
0.710564,0.591137,-1.54582
0.710582,0.591182,-1.5459
0.710576,0.591181,-1.54588
0.710583,0.591202,-1.54584
0.710583,0.59118,-1.54578
0.710613,0.590989,-1.54593
0.710548,0.591194,-1.54584
0.710546,0.591195,-1.54588
0.710559,0.591187,-1.54587
0.710537,0.59117,-1.54585
0.710605,0.591187,-1.54579
0.710566,0.591203,-1.5459
0.710563,0.591179,-1.54582
0.710513,0.591177,-1.54586
0.71061,0.591194,-1.54588
0.710517,0.591105,-1.54577
0.710584,0.591192,-1.54578
0.710578,0.591179,-1.54585
0.710529,0.591188,-1.54586
0.710567,0.59114,-1.54578
0.710897,0.591205,-1.5459
0.71085,0.591175,-1.54602
0.710684,0.591268,-1.54593
0.710802,0.591272,-1.54606
0.710844,0.591193,-1.54605
0.710743,0.591336,-1.54594
0.710913,0.591266,-1.54595
0.710846,0.5912,-1.54599
