action_0,action_1,action_2,action_3,action_4,action_5,action_6
-0.72317,0.443115,-0.290168,-0.634414,-0.328258,-0.495301,0.362593
-0.723301,0.44334,-0.289382,-0.634411,-0.327863,-0.494949,0.362366
0.541363,-0.554837,0.537997,0.228771,0.392046,0.500463,-0.369178
0.538721,-0.561415,0.534308,0.22953,0.387878,0.508071,-0.372155
0.535612,-0.555975,0.538397,0.217039,0.408983,0.507751,-0.367437
0.529852,-0.54955,0.542629,0.209212,0.429542,0.508457,-0.361458
0.528576,-0.553188,0.539819,0.214849,0.41687,0.516872,-0.364027
-0.660505,0.400547,-0.360099,-0.619532,0.0992057,0.346662,0.104587
-0.657221,0.366298,-0.367768,-0.626564,0.0232102,0.339308,0.131919
-0.661166,0.333007,-0.388526,-0.628772,-0.0488281,0.338496,0.163542
-0.660135,0.312022,-0.406248,-0.627675,-0.059251,0.301432,0.16646
-0.660328,0.27505,-0.389846,-0.627993,-0.0647777,0.221658,0.17274
-0.657235,0.263056,-0.374791,-0.628951,-0.0150949,0.238446,0.165139
-0.652375,0.28626,-0.369939,-0.628067,0.00644358,0.30078,0.138221
-0.646641,0.322495,-0.380731,-0.627334,0.0334897,0.349932,0.0982802
-0.642169,0.35613,-0.397373,-0.627349,0.0633652,0.381131,0.07177
-0.638269,0.390129,-0.421778,-0.625721,0.0932801,0.400411,0.0460169
-0.636568,0.403918,-0.431644,-0.624517,0.114946,0.408077,0.0470407
-0.635473,0.408137,-0.436961,-0.623794,0.118607,0.409632,0.0462533
-0.634908,0.413949,-0.446529,-0.623342,0.123892,0.411418,0.0449889
-0.634756,0.418756,-0.456794,-0.623309,0.127671,0.411176,0.0448147
-0.634788,0.421972,-0.466726,-0.623475,0.127032,0.412375,0.0466457
-0.636378,0.426215,-0.475487,-0.623322,0.112879,0.416791,0.0442987
-0.638666,0.42577,-0.479576,-0.623238,0.0891266,0.418714,0.0377317
-0.640841,0.423248,-0.479261,-0.623371,0.0723339,0.419714,0.0325345
-0.642527,0.419661,-0.478081,-0.623365,0.0632403,0.415666,0.034965
-0.643476,0.415782,-0.474882,-0.623442,0.0595075,0.410251,0.0398573
-0.644642,0.414837,-0.474117,-0.623114,0.0577969,0.405327,0.0416478
-0.64654,0.416026,-0.477149,-0.622567,0.057536,0.392444,0.0423911
-0.647966,0.417066,-0.48007,-0.622118,0.0608918,0.382614,0.0426902
0.66629,0.159653,0.59826,0.542351,0.50282,0.558178,-0.167708
0.661835,0.0811152,0.59623,0.558663,0.511563,0.589618,-0.193095
0.655562,-0.0313666,0.593791,0.568968,0.518429,0.59572,-0.216186
