action_0,action_1,action_2,action_3,action_4,action_5,action_6
-0.139389,-0.67814,0.567246,-0.56284,0.614861,0.561116,-0.168592
-0.515034,-0.427147,0.305216,-0.643564,0.621225,0.619138,-0.278212
0.490651,-0.726597,-0.0150669,-0.533954,-0.654244,-0.58475,-0.392923
-0.49918,0.643867,0.554551,-0.146484,0.442128,0.517378,0.485048
0.438785,-0.714805,0.186301,-0.568284,-0.608047,-0.586963,-0.354809
-0.558254,0.289905,0.556396,-0.24962,0.582056,0.627919,-0.0338551
-0.594085,-0.669132,0.100655,0.334843,0.514958,0.479039,0.0905095
-0.531084,-0.668193,-0.0283788,0.48482,0.41984,0.616734,0.0328822
-0.190307,-0.709243,0.524487,-0.528485,0.446658,0.163909,-0.0544337
-0.259602,-0.722651,0.403803,-0.524585,0.472118,0.253647,-0.0347976
-0.292738,-0.721299,0.272881,-0.536272,0.451083,0.207361,-0.033698
-0.300897,-0.67324,0.462973,-0.387603,0.559269,0.286675,-0.0357964
0.340869,-0.700928,0.143586,0.252711,0.238294,0.618445,0.0628797
0.530634,-0.686236,0.521799,0.522505,0.532744,0.30134,-0.0858348
0.500603,-0.731149,0.446202,0.451198,0.539865,0.249371,-0.0783285
0.721465,-0.702892,0.562148,0.491391,0.57171,-0.288705,-0.190337
0.724833,-0.680035,0.571101,0.504714,0.568091,-0.32458,-0.191676
0.725442,-0.675523,0.57251,0.509377,0.567393,-0.341639,-0.194986
0.727434,-0.706086,0.563634,0.470829,0.561693,-0.34267,-0.199607
0.730571,-0.727299,0.556803,0.408005,0.553812,-0.364052,-0.202591
0.722395,-0.734354,0.551048,0.343762,0.538618,-0.326995,-0.2165
0.713311,-0.741712,0.546858,0.243303,0.43566,-0.209019,-0.249591
0.719803,-0.746081,0.547845,0.132727,0.421224,-0.0622985,-0.258773
0.722024,-0.745579,0.550596,0.128723,0.424981,0.181863,-0.269275
0.717361,-0.745569,0.552068,0.106861,0.397994,0.351961,-0.277243
0.714045,-0.746651,0.552578,0.0930307,0.35693,0.412107,-0.28502
0.709611,-0.74826,0.555078,0.0598264,0.315337,0.431374,-0.296514
0.708127,-0.749309,0.55503,0.0427528,0.268844,0.421165,-0.305781
0.711592,-0.749085,0.551782,0.0399937,0.233191,0.376684,-0.30975
0.716331,-0.748351,0.549816,0.028783,0.269791,0.206166,-0.303875
0.721676,-0.747953,0.547744,0.00476155,0.257629,-0.00657465,-0.285236
0.722623,-0.748981,0.543474,0.0479641,0.274985,-0.119715,-0.262775
0.725302,-0.749287,0.540348,0.102597,0.300166,-0.218321,-0.247856
0.726467,-0.746248,0.532718,0.132144,0.271371,-0.313342,-0.232868
0.724062,-0.742818,0.527023,0.144244,0.259619,-0.371723,-0.221251
0.724853,-0.740479,0.523956,0.098487,0.238884,-0.377569,-0.222483
0.723983,-0.736021,0.518776,0.0646555,0.122305,-0.375926,-0.235453
0.724562,-0.731935,0.51466,0.0639604,-0.0774504,-0.359942,-0.2547
0.718511,-0.727786,0.508596,0.130142,-0.240817,-0.330489,-0.277034
0.711538,-0.725353,0.481792,0.204739,-0.288844,-0.267147,-0.290858
0.708956,-0.725106,0.480724,0.240288,-0.272392,-0.237485,-0.293934
0.709456,-0.724541,0.490076,0.263577,-0.266011,-0.210665,-0.291401
0.708214,-0.722799,0.502924,0.293047,-0.256457,-0.17937,-0.288482
0.702247,-0.722056,0.505537,0.314842,-0.239685,-0.0890876,-0.286452
0.693485,-0.721901,0.509307,0.298799,-0.280631,0.0626647,-0.292131
0.68454,-0.720644,0.510554,0.27926,-0.33549,0.147476,-0.295307
0.677663,-0.719826,0.512602,0.261334,-0.368227,0.230944,-0.295826
0.674863,-0.718179,0.509989,0.272005,-0.361382,0.260765,-0.295083
0.671689,-0.713967,0.501248,0.299353,-0.350198,0.199141,-0.292335
0.668836,-0.707913,0.490098,0.323783,-0.354148,0.0591046,-0.285709
