ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz
2.96,-0.472257,0.334967,-3.22895,0.168592,5.34454,-3.14378,0.146491,5.36447
2.92932,-0.470581,0.386707,-3.06835,0.167596,5.17404,-3.11502,0.163375,5.30332
2.92932,-0.470581,0.386707,-3.06835,0.167596,5.17404,-3.11502,0.163375,5.30332
2.89879,-0.468789,0.437882,-3.05326,0.179207,5.11744,-3.11571,0.176325,5.21145
2.86778,-0.467251,0.487998,-3.10011,0.153795,5.01166,-3.11459,0.175314,5.09491
2.80696,-0.464471,0.584875,-3.03988,0.13625,4.8068,-3.08157,0.159252,4.85368
2.7764,-0.463175,0.632771,-3.05517,0.129625,4.78962,-3.06055,0.151501,4.75954
2.7456,-0.461516,0.679914,-3.08061,0.165939,4.71429,-3.05985,0.147153,4.67955
2.7149,-0.45945,0.725384,-3.07021,0.206569,4.54698,-3.06071,0.15052,4.59393
2.68419,-0.457746,0.769572,-3.07074,0.170407,4.4188,-3.06095,0.157994,4.50326
2.68419,-0.457746,0.769572,-3.07074,0.170407,4.4188,-3.06095,0.157994,4.50326
2.62213,-0.454408,0.854987,-3.11496,0.162512,4.22552,-3.07896,0.1723,4.29971
2.59102,-0.453106,0.89575,-3.11115,0.130171,4.07625,-3.08814,0.170852,4.18011
2.55995,-0.451666,0.935353,-3.10719,0.144053,3.96031,-3.09548,0.162768,4.0588
2.55995,-0.451666,0.935353,-3.10719,0.144053,3.96031,-3.09548,0.162768,4.0588
2.5295,-0.449831,0.974339,-3.04554,0.183466,3.89859,-3.09619,0.156943,3.94802
2.46803,-0.446579,1.05,-3.05991,0.15586,3.79333,-3.08682,0.157788,3.74485
2.43728,-0.445051,1.08556,-3.07457,0.152728,3.55544,-3.07811,0.159479,3.64615
2.40717,-0.443457,1.12028,-3.0108,0.159472,3.47252,-3.06554,0.162252,3.54879
2.37652,-0.442072,1.15406,-3.06554,0.138453,3.37811,-3.05816,0.159343,3.44821
2.34596,-0.440523,1.18695,-3.05619,0.154942,3.28912,-3.05602,0.154207,3.34325
2.34596,-0.440523,1.18695,-3.05619,0.154942,3.28912,-3.05602,0.154207,3.34325
2.31538,-0.439142,1.21856,-3.05777,0.138083,3.16076,-3.05231,0.150276,3.23532
2.25456,-0.436315,1.28015,-3.03354,0.131416,3.06172,-3.04959,0.145704,3.03858
2.22378,-0.434839,1.30954,-3.07713,0.147521,2.93903,-3.05415,0.143791,2.95198
2.19333,-0.433135,1.33747,-3.04589,0.170422,2.79291,-3.05268,0.146448,2.86073
2.16288,-0.431765,1.36408,-3.0448,0.136963,2.66105,-3.05162,0.146696,2.76151
2.13251,-0.429986,1.39045,-3.03686,0.177917,2.63691,-3.04953,0.151332,2.6646
2.10198,-0.428347,1.41558,-3.05312,0.163978,2.51281,-3.04907,0.15563,2.56168
2.07095,-0.426798,1.43929,-3.10254,0.154847,2.37137,-3.05443,0.159585,2.4517
2.07095,-0.426798,1.43929,-3.10254,0.154847,2.37137,-3.05443,0.159585,2.4517
2.04011,-0.425292,1.46165,-3.0838,0.150624,2.23523,-3.05949,0.15977,2.34089
1.9788,-0.422218,1.50436,-3.05415,0.156912,2.09025,-3.07304,0.157479,2.13186
1.9788,-0.422218,1.50436,-3.05415,0.156912,2.09025,-3.07304,0.157479,2.13186
1.91787,-0.420064,1.5429,-3.05094,0.106198,1.86551,-3.06702,0.140237,1.92343
1.88763,-0.418793,1.56029,-3.02403,0.12711,1.73955,-3.05496,0.132621,1.82241
1.88763,-0.418793,1.56029,-3.02403,0.12711,1.73955,-3.05496,0.132621,1.82241
1.82704,-0.415782,1.59268,-3.05575,0.146696,1.58769,-3.0359,0.129592,1.61633
1.79666,-0.414224,1.60707,-3.0381,0.155801,1.43969,-3.03353,0.133866,1.51037
1.7667,-0.4134,1.62138,-2.99602,0.0824898,1.43088,-3.0289,0.135241,1.41486
1.7667,-0.4134,1.62138,-2.99602,0.0824898,1.43088,-3.0289,0.135241,1.41486
1.73668,-0.412047,1.6346,-3.00193,0.135222,1.32223,-3.02287,0.135217,1.32706
1.70603,-0.410884,1.64684,-3.06479,0.11633,1.22312,-3.02496,0.130404,1.24267
1.67534,-0.409873,1.65773,-3.06934,0.101107,1.08984,-3.03133,0.121797,1.15233
1.61541,-0.406868,1.6768,-2.99997,0.15159,0.914896,-3.02729,0.122416,0.960084
1.58493,-0.405453,1.68504,-3.04796,0.141433,0.824881,-3.03013,0.131064,0.85778
1.58493,-0.405453,1.68504,-3.04796,0.141433,0.824881,-3.03013,0.131064,0.85778
1.55427,-0.404234,1.69193,-3.06624,0.12193,0.688243,-3.03334,0.133236,0.755159
1.52374,-0.402927,1.69739,-3.05347,0.130668,0.546587,-3.03389,0.135991,0.648043
1.49375,-0.401221,1.70223,-2.99845,0.170609,0.483596,-3.03303,0.141074,0.543234
1.46353,-0.400313,1.70614,-3.02258,0.0908822,0.39115,-3.03636,0.13583,0.438195
1.40273,-0.398486,1.71076,-3.02614,0.100297,0.169075,-3.03344,0.117886,0.229279
1.40273,-0.398486,1.71076,-3.02614,0.100297,0.169075,-3.03344,0.117886,0.229279
1.37261,-0.396871,1.71146,-3.01203,0.161472,0.0694871,-3.02763,0.1168,0.129222
1.31279,-0.39418,1.71018,-3.00816,0.144508,-0.0991702,-3.01639,0.118271,-0.070273
1.31279,-0.39418,1.71018,-3.00816,0.144508,-0.0991702,-3.01639,0.118271,-0.070273
1.25249,-0.392848,1.70556,-3.01175,0.0497907,-0.277591,-3.00572,0.117477,-0.259545
1.22223,-0.391662,1.70192,-3.02571,0.118592,-0.364327,-3.00721,0.10999,-0.347079
1.22223,-0.391662,1.70192,-3.02571,0.118592,-0.364327,-3.00721,0.10999,-0.347079
