ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz
2.97984,-0.492187,0.504015,-3.02444,0.252181,5.66298,-3.02444,0.252181,5.66298
2.94982,-0.489938,0.559023,-3.00174,0.224882,5.50073,-3.00174,0.224882,5.50073
2.92046,-0.487242,0.613416,-2.93596,0.269589,5.43935,-2.93596,0.269589,5.43935
2.89157,-0.484934,0.666608,-2.88906,0.230825,5.31916,-2.88906,0.230825,5.31916
2.8625,-0.482331,0.718866,-2.90682,0.260329,5.22587,-2.90682,0.260329,5.22587
2.83271,-0.479579,0.770696,-2.97902,0.275198,5.18296,-2.97902,0.275198,5.18296
2.80366,-0.47687,0.820941,-2.90556,0.270817,5.02449,-2.90556,0.270817,5.02449
2.77433,-0.474349,0.869991,-2.93303,0.252178,4.90497,-2.93303,0.252178,4.90497
2.74516,-0.471774,0.918486,-2.91677,0.257507,4.84957,-2.91677,0.257507,4.84957
2.71514,-0.46898,0.965928,-3.00221,0.279355,4.7442,-3.00221,0.279355,4.7442
2.68557,-0.466457,1.01202,-2.95632,0.25228,4.60948,-2.95632,0.25228,4.60948
2.65608,-0.464114,1.05683,-2.94914,0.234365,4.48052,-2.94914,0.234365,4.48052
2.62654,-0.461113,1.10068,-2.95444,0.300062,4.38558,-2.95444,0.300062,4.38558
2.59739,-0.459039,1.14334,-2.91476,0.20735,4.26579,-2.91476,0.20735,4.26579
2.56833,-0.456515,1.18507,-2.90625,0.252485,4.17311,-2.90625,0.252485,4.17311
2.53966,-0.454145,1.22595,-2.86648,0.236914,4.08762,-2.86648,0.236914,4.08762
2.51085,-0.451744,1.26564,-2.88124,0.240132,3.9694,-2.88124,0.240132,3.9694
2.48197,-0.449351,1.30481,-2.88796,0.239328,3.91709,-2.88796,0.239328,3.91709
2.453,-0.446976,1.34288,-2.89738,0.237504,3.80647,-2.89738,0.237504,3.80647
2.42414,-0.444501,1.3796,-2.88572,0.247493,3.67209,-2.88572,0.247493,3.67209
2.39542,-0.441883,1.41559,-2.87251,0.26176,3.59933,-2.87251,0.26176,3.59933
2.36638,-0.439454,1.45061,-2.90327,0.242949,3.50188,-2.90327,0.242949,3.50188
2.33722,-0.436852,1.4848,-2.91655,0.260156,3.41932,-2.91655,0.260156,3.41932
2.30825,-0.434393,1.51744,-2.89705,0.245881,3.26388,-2.89705,0.245881,3.26388
2.27956,-0.432186,1.54861,-2.86851,0.220752,3.11651,-2.86851,0.220752,3.11651
2.25077,-0.429439,1.57916,-2.8795,0.274688,3.05519,-2.8795,0.274688,3.05519
2.22157,-0.427073,1.60876,-2.91936,0.236595,2.95973,-2.91936,0.236595,2.95973
2.19269,-0.425085,1.63718,-2.8883,0.198829,2.84227,-2.8883,0.198829,2.84227
2.16421,-0.423109,1.66483,-2.84793,0.197577,2.765,-2.84793,0.197577,2.765
2.13599,-0.420853,1.69096,-2.82218,0.225598,2.61333,-2.82218,0.225598,2.61333
2.1075,-0.418538,1.71687,-2.84865,0.23151,2.59026,-2.84865,0.23151,2.59026
2.07901,-0.416147,1.74171,-2.84934,0.239143,2.48454,-2.84934,0.239143,2.48454
2.04996,-0.414062,1.76533,-2.90518,0.208452,2.36213,-2.90518,0.208452,2.36213
2.02194,-0.411575,1.788,-2.80185,0.248736,2.26704,-2.80185,0.248736,2.26704
1.99355,-0.408957,1.80981,-2.83874,0.261781,2.18055,-2.83874,0.261781,2.18055
1.96493,-0.407058,1.83081,-2.86254,0.189853,2.09976,-2.86254,0.189853,2.09976
1.93661,-0.404642,1.85046,-2.83173,0.241616,1.96569,-2.83173,0.241616,1.96569
1.90806,-0.4026,1.86877,-2.85488,0.204164,1.83101,-2.85488,0.204164,1.83101
1.87988,-0.400216,1.88565,-2.81811,0.238428,1.68734,-2.81811,0.238428,1.68734
1.85169,-0.39804,1.90271,-2.81906,0.21762,1.70674,-2.81906,0.21762,1.70674
1.82326,-0.396429,1.91824,-2.84271,0.161096,1.55294,-2.84271,0.161096,1.55294
1.79488,-0.3948,1.93277,-2.83804,0.162938,1.45264,-2.83804,0.162938,1.45264
1.76707,-0.392522,1.94561,-2.78138,0.227791,1.28436,-2.78138,0.227791,1.28436
1.73935,-0.390335,1.9584,-2.77194,0.218689,1.27823,-2.77194,0.218689,1.27823
1.71142,-0.388198,1.97046,-2.79289,0.213644,1.20608,-2.79289,0.213644,1.20608
1.68321,-0.385951,1.98097,-2.82087,0.224724,1.05106,-2.82087,0.224724,1.05106
1.65547,-0.383636,1.99101,-2.77425,0.231475,1.00446,-2.77425,0.231475,1.00446
1.62727,-0.382013,2.00002,-2.81985,0.162312,0.900352,-2.81985,0.162312,0.900352
1.5995,-0.379773,2.00804,-2.77665,0.224021,0.802803,-2.77665,0.224021,0.802803
1.57075,-0.377646,2.01462,-2.8756,0.212672,0.65794,-2.8756,0.212672,0.65794
1.54251,-0.376021,2.02002,-2.82357,0.162509,0.53947,-2.82357,0.162509,0.53947
1.51501,-0.373563,2.02429,-2.74968,0.245845,0.42758,-2.74968,0.245845,0.42758
1.48712,-0.371591,2.02814,-2.78889,0.197187,0.384808,-2.78889,0.197187,0.384808
