ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz
1.00912,-0.359894,1.32897,-3.01697,0.135675,-1.47973,-3.00787,0.153165,-1.45943
0.978993,-0.358395,1.31325,-3.01253,0.149921,-1.57101,-3.00838,0.149445,-1.54704
0.949024,-0.356857,1.29634,-2.99688,0.15381,-1.69156,-3.00908,0.147069,-1.63851
0.919002,-0.355498,1.27843,-3.00226,0.135851,-1.79096,-3.00924,0.144757,-1.73425
0.889017,-0.354066,1.25943,-2.99844,0.143239,-1.90024,-3.00734,0.144334,-1.83589
0.859217,-0.352717,1.23951,-2.98008,0.134939,-1.99149,-3.00146,0.143415,-1.93804
0.829972,-0.35069,1.21837,-2.92443,0.202635,-2.11426,-2.98928,0.149141,-2.04351
0.800221,-0.349484,1.19669,-2.97514,0.12061,-2.16786,-2.97931,0.149456,-2.14481
0.7707,-0.348113,1.17408,-2.95213,0.137112,-2.26088,-2.96993,0.1487,-2.24038
0.740491,-0.346645,1.15044,-3.02082,0.146773,-2.36444,-2.96844,0.148921,-2.33388
0.710981,-0.345111,1.12589,-2.95107,0.153425,-2.45433,-2.96726,0.148516,-2.42512
0.681412,-0.343564,1.09996,-2.95692,0.15474,-2.59367,-2.96831,0.148058,-2.52095
0.651817,-0.341984,1.07422,-2.95947,0.157988,-2.57417,-2.97073,0.146295,-2.60755
0.620299,-0.342479,1.04613,-3.15176,-0.0495017,-2.80824,-2.98789,0.129844,-2.70673
0.56255,-0.338436,0.989378,-2.95345,0.16447,-2.89648,-2.97402,0.127762,-2.8861
0.533346,-0.337227,0.959282,-2.92047,0.120899,-3.00962,-2.96557,0.127895,-2.97454
0.503453,-0.335944,0.927628,-2.98925,0.12832,-3.16542,-2.95916,0.130057,-3.07005
0.474151,-0.334686,0.895285,-2.93022,0.12573,-3.23432,-2.94796,0.135056,-3.17453
0.444857,-0.333874,0.861824,-2.92938,0.0812203,-3.34609,-2.93318,0.139621,-3.27428
0.415861,-0.332418,0.827503,-2.89958,0.145605,-3.43206,-2.94018,0.123754,-3.38438
0.389709,-0.333221,0.793401,-2.61524,-0.0802904,-3.41018,-2.90032,0.0976126,-3.47604
