ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz
2.98923,-0.507447,0.469989,-2.76393,0.0987431,6.02496,-2.92189,0.0847566,5.72945
2.96098,-0.506828,0.52747,-2.82919,0.0619803,5.75724,-2.87627,0.082525,5.62871
2.93243,-0.506027,0.583373,-2.90524,0.0815531,5.68991,-2.82002,0.0831461,5.53141
2.90372,-0.504983,0.638953,-2.79443,0.10162,5.4098,-2.81619,0.0827122,5.43646
2.87481,-0.503942,0.692962,-2.90081,0.104433,5.41788,-2.86089,0.0885558,5.3243
2.84602,-0.503063,0.745713,-2.86547,0.0874775,5.2512,-2.87539,0.096153,5.21074
2.81724,-0.50199,0.797404,-2.90817,0.108465,5.22291,-2.8809,0.0999439,5.0982
2.78835,-0.50097,0.848274,-2.93402,0.103524,5.16685,-2.8831,0.0997722,4.98083
2.76,-0.500262,0.898116,-2.81366,0.0702497,4.94605,-2.87285,0.0945163,4.8787
2.73112,-0.499762,0.94693,-2.93768,0.0509686,4.96628,-2.87036,0.0833046,4.78148
2.7035,-0.497808,0.995365,-2.66273,0.188263,4.66788,-2.84718,0.0957203,4.69579
2.6742,-0.497736,1.0419,-2.92772,0.00716843,4.64983,-2.84813,0.0892252,4.59492
2.64577,-0.496967,1.08729,-2.8644,0.0775689,4.57379,-2.85386,0.0861722,4.4831
2.61756,-0.495925,1.13189,-2.8789,0.106282,4.55096,-2.84862,0.0851476,4.36841
2.58949,-0.494143,1.17562,-2.72326,0.172883,4.2441,-2.84647,0.0914085,4.25513
2.56108,-0.492656,1.21812,-2.97922,0.155932,4.45492,-2.82519,0.129837,4.15776
2.53316,-0.49158,1.25976,-2.67857,0.103199,3.99572,-2.81704,0.14041,4.06179
2.50495,-0.490762,1.30057,-2.83058,0.0821081,4.0945,-2.81549,0.128886,3.96497
2.47564,-0.490091,1.34042,-2.94511,0.0674006,4.00449,-2.83826,0.0999773,3.87034
2.4478,-0.488794,1.3793,-2.82685,0.131782,3.94834,-2.84062,0.0921392,3.78022
2.42021,-0.487559,1.41656,-2.62555,0.117505,3.54552,-2.83041,0.100119,3.67329
2.39174,-0.486815,1.45261,-2.95593,0.0771622,3.74226,-2.81858,0.104262,3.55231
2.36451,-0.485108,1.48926,-2.71095,0.169966,3.64928,-2.78334,0.119443,3.46
2.33274,-0.486077,1.5234,-3.21368,-0.0979818,3.45378,-2.85827,0.0788361,3.35906
2.30538,-0.485087,1.55758,-2.65603,0.0961606,3.31792,-2.88649,0.0568283,3.27826
2.27936,-0.48342,1.59104,-2.67827,0.171452,3.44354,-2.83888,0.068121,3.20184
2.25275,-0.481922,1.62231,-2.64045,0.148636,3.10259,-2.7691,0.0902849,3.08735
2.22487,-0.480469,1.65307,-2.72132,0.141842,3.0029,-2.68385,0.143796,2.99073
2.19713,-0.478943,1.68203,-2.763,0.151984,2.88454,-2.71001,0.152373,2.85942
2.16992,-0.477944,1.71069,-2.77061,0.101813,2.91764,-2.74496,0.139326,2.74013
2.14115,-0.476661,1.73808,-3.00699,0.134042,2.86271,-2.78147,0.130484,2.64149
2.11325,-0.47536,1.76488,-2.76734,0.129,2.65803,-2.79221,0.125,2.54647
2.08511,-0.473846,1.78948,-2.76238,0.148659,2.41595,-2.807,0.127771,2.44084
2.05746,-0.472748,1.81424,-2.80161,0.111255,2.50773,-2.80953,0.132052,2.335
2.03019,-0.471457,1.83792,-2.69072,0.127411,2.3371,-2.77714,0.130208,2.24054
2.00257,-0.470025,1.8613,-2.78916,0.144613,2.36066,-2.76282,0.130606,2.16286
1.9749,-0.46973,1.88356,-2.76179,0.0294074,2.22258,-2.7531,0.109555,2.10225
1.94691,-0.468955,1.90404,-2.80086,0.0775834,2.04918,-2.76376,0.0931281,2.0025
1.9196,-0.467526,1.92355,-2.68582,0.140499,1.91782,-2.76837,0.0893122,1.88989
1.89222,-0.467063,1.94126,-2.77087,0.0468985,1.7929,-2.75995,0.0812829,1.74902
1.86408,-0.465208,1.95887,-2.78653,0.183631,1.74419,-2.76321,0.10936,1.62831
1.83668,-0.464292,1.97475,-2.75181,0.0920248,1.59426,-2.75976,0.116438,1.51738
1.80914,-0.463519,1.98986,-2.85174,0.0800602,1.56492,-2.76456,0.107855,1.41119
1.78145,-0.462344,2.00482,-2.67835,0.113627,1.44638,-2.76499,0.111274,1.33106
1.75375,-0.460951,2.01933,-2.7405,0.137858,1.43625,-2.75896,0.104633,1.25985
1.72687,-0.460335,2.03232,-2.72407,0.0623911,1.31566,-2.75014,0.10482,1.19604
1.69933,-0.459733,2.04375,-2.75705,0.0603102,1.14491,-2.74196,0.0958121,1.10277
1.67213,-0.457797,2.0544,-2.70777,0.192667,1.0598,-2.73049,0.103115,0.985776
1.64437,-0.456868,2.06258,-2.80338,0.0938665,0.826834,-2.73504,0.107043,0.835882
1.61687,-0.454713,2.07134,-2.70063,0.211626,0.860239,-2.74957,0.141094,0.7189
1.58915,-0.453916,2.07826,-2.92613,0.0841565,0.729755,-2.75627,0.147186,0.609623
1.56141,-0.452404,2.08498,-2.64801,0.144245,0.641984,-2.76663,0.137374,0.518447
1.53438,-0.450914,2.09017,-2.8225,0.155609,0.541681,-2.75435,0.142149,0.438081
1.50713,-0.4495,2.09448,-2.68184,0.139213,0.42409,-2.74254,0.134276,0.331837
1.48077,-0.449642,2.09828,-2.57967,-0.0139386,0.37228,-2.71043,0.114518,0.245491
1.45423,-0.448747,2.10163,-2.69659,0.0909637,0.340029,-2.67966,0.0858724,0.164071
1.42693,-0.447579,2.10331,-2.6589,0.113722,0.163622,-2.67803,0.074231,0.084301
1.39974,-0.446188,2.10441,-2.67531,0.136853,0.108793,-2.68627,0.0868613,-0.00100517
1.37241,-0.44468,2.10515,-2.83028,0.156258,0.075863,-2.71212,0.124839,-0.0848475
1.34601,-0.444022,2.1016,-2.61048,0.0650557,-0.350634,-2.70957,0.1235,-0.232171
1.3187,-0.44297,2.09884,-2.67518,0.102987,-0.270156,-2.70186,0.113844,-0.367455
1.2916,-0.441873,2.09529,-2.69571,0.109164,-0.353532,-2.69991,0.103403,-0.495562
1.26472,-0.441306,2.09072,-2.88368,0.0607558,-0.490573,-2.69804,0.0889534,-0.601753
1.23839,-0.439941,2.08577,-2.63569,0.136673,-0.495452,-2.69234,0.0982517,-0.647973
1.21123,-0.437794,2.08153,-2.54658,0.201368,-0.396811,-2.68146,0.122845,-0.691384
1.18501,-0.435527,2.07596,-2.71659,0.234927,-0.577325,-2.66652,0.162048,-0.728315
1.15859,-0.434308,2.0688,-2.61996,0.120866,-0.7104,-2.65615,0.184116,-0.786351
1.13142,-0.433691,2.0597,-2.79031,0.0633808,-0.93413,-2.66564,0.159869,-0.898618
1.10491,-0.432619,2.04955,-2.60155,0.105134,-0.996207,-2.66234,0.121854,-1.05229
1.07815,-0.431407,2.03622,-2.71608,0.123046,-1.35331,-2.67418,0.0992835,-1.23743
1.05182,-0.430714,2.02218,-2.55976,0.0673391,-1.36492,-2.66828,0.0947124,-1.41733
1.02483,-0.429224,2.00901,-2.68969,0.148524,-1.31202,-2.66283,0.108389,-1.53759
0.997904,-0.427572,1.99542,-2.7155,0.166637,-1.37069,-2.67332,0.122784,-1.60465
