ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz
2.99856,-0.493359,0.361251,-2.94308,0.006792,5.28621,-2.93481,-0.0195387,5.31876
2.96963,-0.49326,0.412281,-2.73039,0.00928282,4.81662,-2.89107,-0.0120918,5.17373
2.93977,-0.493059,0.461816,-3.08513,0.020765,5.11855,-2.93808,0.00197368,5.15936
2.91182,-0.493221,0.510424,-2.7754,-0.0160183,4.82656,-2.88982,0.00706078,5.00844
2.88336,-0.493414,0.558327,-3.01703,-0.0204855,5.07745,-2.89818,-0.000713262,4.9505
2.85416,-0.493366,0.605106,-2.67004,0.00434644,4.2773,-2.86505,-0.00565153,4.80726
2.82433,-0.492562,0.650755,-3.08989,0.0833191,4.72869,-2.87868,0.00846752,4.71435
2.79543,-0.492046,0.695149,-2.90605,0.0519023,4.46417,-2.92042,0.0320385,4.62236
2.76669,-0.492147,0.738492,-2.78335,-0.00977848,4.19759,-2.85917,0.0377341,4.40891
2.73682,-0.492584,0.780808,-3.03111,-0.0444101,4.29428,-2.93945,0.0198998,4.41594
2.70793,-0.492262,0.82256,-2.87137,0.0320911,4.15011,-2.90058,0.000619408,4.27293
2.67917,-0.492524,0.86329,-2.85183,-0.0260531,4.03786,-2.88918,-0.0106318,4.1694
2.65023,-0.492464,0.902748,-2.92197,0.00611563,3.98477,-2.91266,-0.00575375,4.11982
2.62188,-0.491962,0.941056,-2.85085,0.0504038,3.85147,-2.87615,0.0104176,4.00725
2.59301,-0.49157,0.9784,-2.86269,0.0388842,3.70296,-2.86995,0.0194338,3.89249
2.56438,-0.491435,1.01417,-2.95472,0.0139458,3.69191,-2.89531,0.0310103,3.81008
2.53582,-0.49182,1.04942,-2.93634,-0.0395132,3.62404,-2.90346,0.018413,3.71604
2.50749,-0.491513,1.08388,-2.69484,0.0291982,3.27784,-2.85873,0.00650451,3.56551
2.47774,-0.491382,1.11645,-2.9404,0.0128862,3.2197,-2.87097,0.00298639,3.45419
2.44979,-0.490309,1.14894,-2.80499,0.107676,3.26108,-2.84976,0.0266755,3.33914
2.42243,-0.48889,1.18031,-2.80348,0.14546,3.21401,-2.81981,0.0700097,3.2399
2.3937,-0.488904,1.21066,-2.88501,-0.00141576,3.04729,-2.84313,0.0774936,3.19024
2.36453,-0.489059,1.23985,-2.86163,-0.0152052,2.86375,-2.83391,0.0607139,3.09471
2.33733,-0.487168,1.26868,-2.77504,0.192931,2.9413,-2.8487,0.0615775,3.01171
2.30899,-0.486477,1.29633,-2.74638,0.0669273,2.67963,-2.81335,0.0651564,2.88095
2.2802,-0.486719,1.32281,-2.91225,-0.0243779,2.67791,-2.81127,0.0691664,2.79366
2.25206,-0.48666,1.34855,-2.89537,0.00606964,2.64878,-2.84027,0.0528446,2.73402
2.22394,-0.485939,1.3723,-2.85779,0.0732389,2.41425,-2.85394,0.0228991,2.61004
2.19616,-0.485329,1.39568,-2.6251,0.0576611,2.20887,-2.81725,0.0307516,2.48022
2.16712,-0.485251,1.41775,-2.96604,0.00797481,2.25435,-2.82543,0.0427419,2.37428
