pure_actions_0,pure_actions_1,pure_actions_2,pure_actions_3,pure_actions_4,pure_actions_5,pure_actions_6,action_history_actor_0,action_history_actor_1,action_history_actor_2,action_history_actor_3,action_history_actor_4,action_history_actor_5,action_history_actor_6,action_history_actor_7,action_history_actor_8,action_history_actor_9,action_history_actor_10,action_history_actor_11,action_history_actor_12,action_history_actor_13,dof_pos_scaled_0,dof_pos_scaled_1,dof_pos_scaled_2,dof_pos_scaled_3,dof_pos_scaled_4,dof_pos_scaled_5,dof_pos_scaled_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,to_final_target_0,to_final_target_1,to_final_target_2,to_throwing_pos_0,to_throwing_pos_1,to_throwing_pos_2,to_throwing_vel_0,to_throwing_vel_1,to_throwing_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6
0.74060607,-0.34406444,-0.61371243,-0.043324586,0.76398,0.7967814,0.9548613,0.73030496,-0.34778962,-0.6165669,0.037164018,0.7699307,0.8149278,0.95536023,0.74060607,-0.34406444,-0.61371243,-0.043324586,0.76398,0.7967814,0.9548613,0.27122772,-0.0063429475,0.44454408,0.5887151,0.54454803,-0.43097556,0.5162051,0.20824814,-0.122569636,-0.14090157,0.061847687,0.098329544,0.05194378,0.06090164,0.7461984,-0.1441083,0.14806329,0.33017254,-0.33240962,0.9049675,-0.50809926,0.0434162,0.7130388,-0.010905496,-0.019836897,-0.008583071,0.7802745,-0.04513732,0.6119177,-0.12120638,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7495213,-0.358884,-0.61140776,-0.12812905,0.7658298,0.7706384,0.9544573,0.74060607,-0.34406444,-0.61371243,-0.043324586,0.76398,0.7967814,0.9548613,0.7495213,-0.358884,-0.61140776,-0.12812905,0.7658298,0.7706384,0.9544573,0.27243173,-0.0073091984,0.44369555,0.58906937,0.5451118,-0.43054843,0.5165502,0.22149277,-0.12547567,-0.15609741,0.046001434,0.103710175,0.055461884,0.06533623,0.74196434,-0.1437465,0.15394355,0.3297577,-0.33307552,0.9048026,-0.50809926,0.0434162,0.70563227,-0.012330158,-0.020018645,-0.005054591,0.7812352,-0.043670814,0.6111157,-0.11959101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.75756407,-0.3859924,-0.61110497,-0.21209669,0.77345693,0.7335895,0.95426625,0.7495213,-0.358884,-0.61140776,-0.12812905,0.7658298,0.7706384,0.9544573,0.75756407,-0.3859924,-0.61110497,-0.21209669,0.77345693,0.7335895,0.95426625,0.27369976,-0.008305848,0.44277656,0.58928144,0.5457032,-0.43009806,0.5169176,0.2332592,-0.1294142,-0.1690464,0.027553558,0.108795166,0.0584774,0.06959343,0.73773026,-0.1433847,0.1597621,0.3292904,-0.33374405,0.9047732,-0.50809926,0.0434162,0.69822574,-0.013932499,-0.020116385,-0.0010000741,0.7822698,-0.04221055,0.61020076,-0.118013754,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7647687,-0.41676757,-0.6131134,-0.28724986,0.7837928,0.6830111,0.9542505,0.75756407,-0.3859924,-0.61110497,-0.21209669,0.77345693,0.7335895,0.95426625,0.7647687,-0.41676757,-0.6131134,-0.28724986,0.7837928,0.6830111,0.9542505,0.2750249,-0.009341896,0.4417975,0.58933794,0.5463209,-0.42962885,0.5173061,0.24375439,-0.13453332,-0.1801033,0.007331848,0.113643646,0.060931206,0.07355499,0.7334962,-0.1430229,0.16551892,0.32876205,-0.33441687,0.9048902,-0.50809926,0.0434162,0.6908192,-0.015753144,-0.020257898,0.0033930903,0.7833853,-0.04076698,0.6091628,-0.11647341,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.77095765,-0.44705868,-0.6154956,-0.34612873,0.79491484,0.6076642,0.95435184,0.7647687,-0.41676757,-0.6131134,-0.28724986,0.7837928,0.6830111,0.9542505,0.77095765,-0.44705868,-0.6154956,-0.34612873,0.79491484,0.6076642,0.95435184,0.27640033,-0.01042527,0.44076633,0.58923364,0.54696405,-0.42914617,0.51771474,0.25303745,-0.14067614,-0.189682,-0.013540268,0.11831474,0.062675476,0.0773983,0.7292621,-0.1426611,0.17121403,0.32816792,-0.3350973,0.9051568,-0.50809926,0.0434162,0.6834127,-0.017739866,-0.02050441,0.007865974,0.78458583,-0.039344035,0.6079967,-0.114965126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.77614355,-0.47524816,-0.61698675,-0.38941455,0.80582494,0.4827948,0.9544891,0.77095765,-0.44705868,-0.6154956,-0.34612873,0.79491484,0.6076642,0.95435184,0.77614355,-0.47524816,-0.61698675,-0.38941455,0.80582494,0.4827948,0.9544891,0.2778206,-0.011561811,0.43969023,0.58897185,0.54763174,-0.4286583,0.5181426,0.26125622,-0.1475904,-0.1979599,-0.03399849,0.12280846,0.063355446,0.0810051,0.72502804,-0.1422993,0.17684741,0.32750368,-0.3357892,0.90556777,-0.50809926,0.0434162,0.6760061,-0.019812532,-0.020860376,0.012188744,0.7858711,-0.03794524,0.60670346,-0.11347936,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.78019434,-0.49960732,-0.6171653,-0.422172,0.8159161,0.2448388,0.9546465,0.77614355,-0.47524816,-0.61698675,-0.38941455,0.80582494,0.4827948,0.9544891,0.78019434,-0.49960732,-0.6171653,-0.422172,0.8159161,0.2448388,0.9546465,0.2792803,-0.012755156,0.43857563,0.58855975,0.5483228,-0.42817992,0.5185884,0.26852894,-0.15495366,-0.20505524,-0.053510666,0.12712479,0.062113762,0.08443451,0.72079396,-0.1419375,0.18241908,0.32677126,-0.3364935,0.9061133,-0.50809926,0.0434162,0.66859955,-0.021882184,-0.021248873,0.016213782,0.7872384,-0.036578245,0.6052879,-0.11200052,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.78286934,-0.51853067,-0.6157003,-0.44913992,0.82546043,-0.22160228,0.9548636,0.78019434,-0.49960732,-0.6171653,-0.422172,0.8159161,0.2448388,0.9546465,0.78286934,-0.51853067,-0.6157003,-0.44913992,0.82546043,-0.22160228,0.9548636,0.2807746,-0.01400578,0.4374287,0.588007,0.54903626,-0.4277385,0.5190512,0.27488518,-0.16239545,-0.21096802,-0.07178116,0.13126373,0.05732441,0.08762741,0.7165599,-0.1415757,0.18792902,0.3259735,-0.33720565,0.9067812,-0.50809926,0.0434162,0.661193,-0.023860477,-0.02149911,0.019867899,0.7886824,-0.03526088,0.60375917,-0.11050569,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.78371435,-0.52949303,-0.6117797,-0.47257814,0.83468175,-0.48492166,0.9552364,0.78286934,-0.51853067,-0.6157003,-0.44913992,0.82546043,-0.22160228,0.9548636,0.78371435,-0.52949303,-0.6117797,-0.47257814,0.83468175,-0.48492166,0.9552364,0.28229868,-0.015310764,0.43625557,0.58732355,0.54977167,-0.4273489,0.5195304,0.28038406,-0.16946088,-0.2158165,-0.08875084,0.13528442,0.05058384,0.090761185,0.7123258,-0.1412139,0.19337724,0.32511473,-0.33792162,0.9075599,-0.50809926,0.0434162,0.6537865,-0.025672311,-0.021626882,0.023172261,0.7901967,-0.03400354,0.6021264,-0.10897969,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.78533506,-0.53513235,-0.60944784,-0.48035628,0.8392666,-0.59933794,0.9552703,0.78371435,-0.52949303,-0.6117797,-0.47257814,0.83468175,-0.48492166,0.9552364,0.78533506,-0.53513235,-0.60944784,-0.48035628,0.8392666,-0.59933794,0.9552703,0.28384876,-0.01666522,0.4350605,0.5865239,0.55052733,-0.42701608,0.520025,0.28514385,-0.17587197,-0.21983719,-0.10382843,0.13900948,0.043222427,0.09365845,0.70809174,-0.1408521,0.19876374,0.32420206,-0.3386395,0.9084333,-0.50809926,0.0434162,0.64637995,-0.027257409,-0.021710983,0.026011184,0.79177237,-0.032806754,0.60040146,-0.10741586,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
