torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6
-5.8003597,-18.261692,-5.500547,-26.909061,3.1128666,0.7135475,0.5323347,0.591581,-0.6145337,0.51043814,-0.4627826,0.6358897,0.328363,0.2950638,0.9012669,-0.111152746,1.4260739,1.1314601,1.7102492,-0.8556288,1.6171616,0.817259,-0.0230029,1.3535479,1.1973393,1.6166806,-0.90434253,1.5733503,0.94586563,-0.80604285,0.80802655,-0.70762426,0.3630051,0.10813241,0.08964222,2.6915836,-0.40639043,0.5997485,-3.3585608,0.024613354,4.1391697,0.33774614,-0.31525588,0.92136,0.79038215,-0.06832295,0.5985323,-0.11129712,0.13573888,0.35487837,0.36987087,1,0,0,0,0,0,0,-3.3415837,0.0063904226,-0.04974848,6.9488525,-12.973679,6.19539,-6.3565254,5.168229,1.5240341,1.434055,6.942749,-12.973583,6.1798096,-6.3705444,5.1498413,1.5258789,1.449585
-6.204941,-16.968466,-5.770851,-26.1474,2.9348218,0.798285,0.4887848,0.5858081,-0.61762774,0.5083366,-0.45937267,0.6362992,0.33435756,0.29809102,0.9051302,-0.11564706,1.4297984,1.1284333,1.7121255,-0.8541889,1.6180639,0.8221256,-0.027316429,1.3577164,1.1936686,1.6186156,-0.9037646,1.5738329,0.9733064,-0.86270684,0.83368355,-0.73410887,0.38691252,0.11557155,0.096535854,2.6747904,-0.4062674,0.6201991,-3.3585608,0.024613354,4.09012,0.33835554,-0.31349826,0.9232862,0.79296345,-0.07004317,0.5956295,-0.10736997,0.11881476,0.35130054,0.38559103,1,0,0,0,0,0,0,-3.3247905,0.0062673986,-0.07019907,5.4881573,-11.332798,5.1313996,-5.2969217,4.7814846,1.4878287,1.378727,5.493164,-11.332631,5.1498413,-5.302429,4.8065186,1.4877319,1.373291
-6.332732,-15.08027,-5.7391624,-26.069466,2.803581,0.8468826,0.42846188,0.57315135,-0.6170075,0.50804716,-0.4684774,0.6333799,0.3242142,0.30101982,0.90809834,-0.119867556,1.4339235,1.123397,1.7136226,-0.85513246,1.6189859,0.8270919,-0.031871654,1.3619937,1.1898749,1.6206594,-0.9031533,1.5743488,0.99329877,-0.9110454,0.85537297,-0.75879276,0.40878522,0.12226388,0.10317734,2.6579971,-0.40614438,0.64040446,-3.3585608,0.024613354,4.04107,0.33888006,-0.31176257,0.9252852,0.79563725,-0.071724296,0.59257513,-0.10330292,0.10137925,0.34661198,0.40014195,1,0,0,0,0,0,0,-3.3079972,0.0061443746,-0.09040445,3.9984703,-9.6677065,4.337883,-4.9367785,4.37454,1.3384655,1.3282969,3.9863586,-9.667873,4.348755,-4.9209595,4.348755,1.335144,1.335144
-5.9979167,-13.019848,-5.2953568,-25.37073,2.647525,0.8455132,0.39914045,0.57626766,-0.6177812,0.50339186,-0.46311998,0.6375962,0.31580487,0.30279505,0.913532,-0.12453884,1.4375025,1.1204069,1.7162988,-0.85578257,1.619768,0.8321449,-0.036633797,1.3663567,1.185981,1.6228061,-0.90251195,1.5748962,1.0105888,-0.9524314,0.8726833,-0.77883464,0.42928,0.1282823,0.10954388,2.6412039,-0.40602136,0.66036457,-3.3585608,0.024613354,3.99202,0.33932018,-0.31005287,0.9273453,0.7983865,-0.0733612,0.58938444,-0.09911123,0.08462935,0.3413382,0.4122979,1,0,0,0,0,0,0,-3.291204,0.0060213506,-0.11036456,3.4579992,-8.277202,3.4620643,-4.0083766,4.098958,1.203683,1.2733088,3.4713745,-8.276701,3.4332275,-4.005432,4.119873,1.2016296,1.2588501
-6.0896153,-11.813218,-5.2515373,-24.974726,2.53295,0.877867,0.3658517,0.5646219,-0.6205892,0.50631344,-0.46429822,0.6381867,0.31039804,0.3019116,0.9168382,-0.12972218,1.4423038,1.1163363,1.7185341,-0.85595226,1.620183,0.83725756,-0.041575827,1.3707961,1.1820004,1.6250472,-0.90184295,1.5754741,1.0225395,-0.98840815,0.8879598,-0.79606277,0.4482866,0.13377422,0.11554705,2.6244106,-0.40589833,0.6800794,-3.3585608,0.024613354,3.9429698,0.33967876,-0.30837345,0.92945856,0.8011957,-0.074948475,0.5860706,-0.094812706,0.067756526,0.3350143,0.42288235,1,0,0,0,0,0,0,-3.2744107,0.0058983266,-0.13007939,2.3901463,-7.1953535,3.0552983,-3.4456253,3.801316,1.0983855,1.2006342,2.3841858,-7.1954727,3.0517578,-3.4713745,3.7765503,1.1062622,1.2207031
-6.1701097,-10.86331,-5.1974983,-24.668068,2.4438267,0.9050985,0.34014496,0.55482256,-0.62518847,0.51141965,-0.46600285,0.63955283,0.31926233,0.30512053,0.92048097,-0.1353541,1.447509,1.1121,1.7209802,-0.8539536,1.6212423,0.8424074,-0.04667727,1.3753079,1.1779444,1.627377,-0.9011463,1.5760807,1.0299244,-1.0202874,0.90231,-0.81118196,0.46594447,0.1392966,0.121356055,2.6076174,-0.4057753,0.699549,-3.3585608,0.024613354,3.8939197,0.33995247,-0.30672884,0.93161863,0.8040538,-0.07648175,0.5826425,-0.09041982,0.0507845,0.32779282,0.43226945,1,0,0,0,0,0,0,-3.2576175,0.0057753026,-0.149549,1.4769793,-6.3758492,2.870047,-3.023839,3.5315752,1.104477,1.1618004,1.4877319,-6.376505,2.89917,-3.0136108,3.5476685,1.1062622,1.1444092
-5.9643545,-9.399259,-4.885309,-24.18678,2.3279424,0.9071892,0.31435534,0.5540741,-0.62410975,0.5050647,-0.46272594,0.6365592,0.31331292,0.30558082,0.9255185,-0.14029373,1.4510677,1.1085355,1.7228609,-0.85414934,1.6219178,0.8475854,-0.051914133,1.3798741,1.1738274,1.629787,-0.90042484,1.5767149,1.0356284,-1.0473709,0.91318876,-0.82331824,0.48204732,0.14432813,0.12687975,2.5908241,-0.40565228,0.71877337,-3.3585608,0.024613354,3.8448696,0.3401432,-0.3051226,0.93381786,0.8069473,-0.07795866,0.57911277,-0.08594625,0.034325656,0.32002813,0.4399763,1,0,0,0,0,0,0,-3.2408242,0.0056522787,-0.16877335,1.140809,-5.416703,2.1757483,-2.427256,3.22057,1.0063052,1.1047393,1.1253357,-5.41687,2.1743774,-2.4414062,3.2043457,0.9918213,1.1062622
-5.831884,-8.158314,-4.605898,-24.230757,2.272098,0.9054706,0.2857507,0.5458219,-0.6257229,0.50900817,-0.46979463,0.6396715,0.31478834,0.3094938,0.9294587,-0.14577258,1.4562254,1.1033583,1.7257377,-0.8532066,1.6231389,0.8527772,-0.05726827,1.3844899,1.1696513,1.6322722,-0.89967906,1.5773758,1.0383934,-1.0708286,0.92319435,-0.8352738,0.4971345,0.14914139,0.13226362,2.5740309,-0.40552926,0.73775244,-3.3585608,0.024613354,3.7958195,0.34025383,-0.30355453,0.93605375,0.8098683,-0.07937896,0.5754874,-0.08140314,0.01800075,0.31210598,0.44735065,1,0,0,0,0,0,0,-3.224031,0.0055292547,-0.18775243,0.55298805,-4.6915293,2.0011187,-2.3911119,3.0174375,0.9626508,1.0767728,0.5531311,-4.6908855,1.9836426,-2.3651123,3.0136108,0.9727478,1.0681152
-5.660102,-7.227098,-4.342942,-23.746832,2.1887434,0.90129423,0.2761781,0.5477177,-0.6286659,0.5052028,-0.46564668,0.64105016,0.3116692,0.314729,0.93493485,-0.15156816,1.4602703,1.0998043,1.7284298,-0.8529287,1.6245852,0.85798186,-0.06272621,1.3891448,1.1654274,1.6348281,-0.8989109,1.5780634,1.0409138,-1.0915884,0.9309002,-0.84468365,0.5111968,0.15359552,0.13756621,2.5572376,-0.40540624,0.7564863,-3.3585608,0.024613354,3.7467694,0.34028578,-0.30202794,0.9383201,0.8128084,-0.08074083,0.5717743,-0.076795466,0.0021831938,0.3037472,0.4533018,1,0,0,0,0,0,0,-3.2072377,0.0054062307,-0.20648628,0.5040884,-4.151964,1.5411735,-1.881969,2.812457,0.8908272,1.0605186,0.51498413,-4.1520596,1.5640259,-1.9073486,2.822876,0.89645386,1.0681152
-5.2308354,-5.2721453,-3.7512379,-23.971247,2.1307557,0.873625,0.23898198,0.5386427,-0.6222208,0.5066037,-0.4743499,0.64047647,0.32013923,0.317516,0.9387783,-0.15605932,1.4651353,1.094275,1.7308996,-0.85089,1.6256908,0.86318606,-0.06826533,1.393833,1.161154,1.6374488,-0.8981203,1.5787767,1.0408839,-1.1078264,0.93769234,-0.8547186,0.5241551,0.15812105,0.14270663,2.5404444,-0.4052832,0.7749749,-3.3585608,0.024613354,3.6977193,0.3402424,-0.30053997,0.9406163,0.81575894,-0.082047574,0.5679803,-0.07213743,-0.013071079,0.29587805,0.45927534,1,0,0,0,0,0,0,-3.1904445,0.0052832067,-0.22497487,-0.0059843063,-3.2475948,1.3584256,-2.0069957,2.5916576,0.9051055,1.0280848,-0.019073486,-3.247261,1.335144,-1.9836426,2.5939941,0.89645386,1.0299683
